timestamp,model,mode,epoch,width,depth,val_loss,neurons,best_val,es_counter,improved
2025-12-14 16:09:45,cnn_stl,width_only,1,1,5,2.2410009145736693,6,2.2410009145736693,0,True
2025-12-14 16:09:53,cnn_stl,width_only,2,1,5,2.18480007648468,6,2.18480007648468,0,True
2025-12-14 16:10:03,cnn_stl,width_only,3,1,5,2.1263965904712676,6,2.1263965904712676,0,True
2025-12-14 16:10:12,cnn_stl,width_only,4,1,5,2.099255222082138,6,2.099255222082138,0,True
2025-12-14 16:10:21,cnn_stl,width_only,5,1,5,2.0764424920082094,6,2.0764424920082094,0,True
2025-12-14 16:10:31,cnn_stl,width_only,6,1,5,2.0488981038331984,6,2.0488981038331984,0,True
2025-12-14 16:10:39,cnn_stl,width_only,7,1,5,2.0317165851593018,6,2.0317165851593018,0,True
2025-12-14 16:10:48,cnn_stl,width_only,8,1,5,2.046921190619469,6,2.0317165851593018,1,False
2025-12-14 16:10:57,cnn_stl,width_only,9,1,5,2.0164491564035414,6,2.0164491564035414,0,True
2025-12-14 16:11:07,cnn_stl,width_only,10,1,5,2.0021184533834457,6,2.0021184533834457,0,True
2025-12-14 16:11:17,cnn_stl,width_only,11,1,5,2.0067474991083145,6,2.0021184533834457,1,False
2025-12-14 16:11:28,cnn_stl,width_only,12,1,5,1.9860773533582687,6,1.9860773533582687,0,True
2025-12-14 16:11:37,cnn_stl,width_only,13,1,5,1.989047682285309,6,1.9860773533582687,1,False
2025-12-14 16:11:47,cnn_stl,width_only,14,1,5,1.9725870579481124,6,1.9725870579481124,0,True
2025-12-14 16:11:56,cnn_stl,width_only,15,1,5,1.9626311361789703,6,1.9626311361789703,0,True
2025-12-14 16:12:05,cnn_stl,width_only,16,1,5,1.9551924109458922,6,1.9551924109458922,0,True
2025-12-14 16:12:15,cnn_stl,width_only,17,1,5,1.9625376045703888,6,1.9551924109458922,1,False
2025-12-14 16:12:25,cnn_stl,width_only,18,1,5,1.9533751636743546,6,1.9533751636743546,0,True
2025-12-14 16:12:33,cnn_stl,width_only,19,1,5,1.9462695598602295,6,1.9462695598602295,0,True
2025-12-14 16:12:42,cnn_stl,width_only,20,1,5,1.9461221575737,6,1.9461221575737,0,True
2025-12-14 16:12:52,cnn_stl,width_only,21,1,5,1.9496189475059509,6,1.9461221575737,1,False
2025-12-14 16:13:01,cnn_stl,width_only,22,1,5,1.946745091676712,6,1.9461221575737,2,False
2025-12-14 16:13:10,cnn_stl,width_only,23,1,5,1.9539027154445647,6,1.9461221575737,3,False
2025-12-14 16:13:18,cnn_stl,width_only,24,1,5,1.9414385855197906,6,1.9414385855197906,0,True
2025-12-14 16:13:26,cnn_stl,width_only,25,1,5,1.9392732411623002,6,1.9392732411623002,0,True
2025-12-14 16:13:35,cnn_stl,width_only,26,1,5,1.93651240170002,6,1.93651240170002,0,True
2025-12-14 16:13:40,cnn_stl,width_only,27,1,5,1.9511196553707122,6,1.93651240170002,1,False
2025-12-14 16:13:44,cnn_stl,width_only,28,1,5,1.9385729402303695,6,1.93651240170002,2,False
2025-12-14 16:13:48,cnn_stl,width_only,29,1,5,1.9405903398990632,6,1.93651240170002,3,False
2025-12-14 16:13:57,cnn_stl,width_only,30,1,5,1.9309706270694733,6,1.9309706270694733,0,True
2025-12-14 16:14:06,cnn_stl,width_only,31,1,5,1.9352287471294403,6,1.9309706270694733,1,False
2025-12-14 16:14:17,cnn_stl,width_only,32,1,5,1.9430910617113113,6,1.9309706270694733,2,False
2025-12-14 16:14:26,cnn_stl,width_only,33,1,5,1.9336773753166199,6,1.9309706270694733,3,False
2025-12-14 16:14:35,cnn_stl,width_only,34,1,5,1.9384502977132798,6,1.9309706270694733,4,False
2025-12-14 16:14:45,cnn_stl,width_only,35,1,5,1.9261823534965514,6,1.9261823534965514,0,True
2025-12-14 16:14:56,cnn_stl,width_only,36,1,5,1.9349293261766434,6,1.9261823534965514,1,False
2025-12-14 16:15:04,cnn_stl,width_only,37,1,5,1.9396321713924407,6,1.9261823534965514,2,False
2025-12-14 16:15:13,cnn_stl,width_only,38,1,5,1.9500236839056015,6,1.9261823534965514,3,False
2025-12-14 16:15:22,cnn_stl,width_only,39,1,5,1.9314342200756074,6,1.9261823534965514,4,False
2025-12-14 16:15:30,cnn_stl,width_only,40,1,5,1.9194378495216369,6,1.9194378495216369,0,True
2025-12-14 16:15:40,cnn_stl,width_only,41,1,5,1.9347213357686996,6,1.9194378495216369,1,False
2025-12-14 16:15:48,cnn_stl,width_only,42,1,5,1.9210906118154525,6,1.9194378495216369,2,False
2025-12-14 16:15:58,cnn_stl,width_only,43,1,5,1.9218988806009292,6,1.9194378495216369,3,False
2025-12-14 16:16:07,cnn_stl,width_only,44,1,5,1.9323419481515884,6,1.9194378495216369,4,False
2025-12-14 16:16:17,cnn_stl,width_only,45,1,5,1.9250094264745712,6,1.9194378495216369,5,False
2025-12-14 16:16:26,cnn_stl,width_only,46,1,5,1.9187080711126328,6,1.9187080711126328,0,True
2025-12-14 16:16:35,cnn_stl,width_only,47,1,5,1.930685356259346,6,1.9187080711126328,1,False
2025-12-14 16:16:45,cnn_stl,width_only,48,1,5,1.9345394670963287,6,1.9187080711126328,2,False
2025-12-14 16:16:55,cnn_stl,width_only,49,1,5,1.919677549600601,6,1.9187080711126328,3,False
2025-12-14 16:17:03,cnn_stl,width_only,50,1,5,1.9106366991996766,6,1.9106366991996766,0,True
2025-12-14 16:17:12,cnn_stl,width_only,51,1,5,1.910165148973465,6,1.910165148973465,0,True
2025-12-14 16:17:21,cnn_stl,width_only,52,1,5,1.9215566575527192,6,1.910165148973465,1,False
