[2026-05-16 20:22:49] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 20:22:49] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_095_d2_w97/training_log.txt
[2026-05-16 20:22:49] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_095_d2_w97/training_stats.csv
[2026-05-16 20:22:52] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=1 train_loss=0.004941 val_loss=0.003206 best=0.003206 es=0/5
[2026-05-16 20:22:55] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=2 train_loss=0.003264 val_loss=0.002323 best=0.002323 es=0/5
[2026-05-16 20:22:58] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=3 train_loss=0.003044 val_loss=0.002267 best=0.002323 es=1/5
[2026-05-16 20:23:01] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=4 train_loss=0.003036 val_loss=0.002317 best=0.002323 es=2/5
[2026-05-16 20:23:04] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=5 train_loss=0.002692 val_loss=0.002117 best=0.002117 es=0/5
[2026-05-16 20:23:07] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=6 train_loss=0.002782 val_loss=0.002111 best=0.002117 es=1/5
[2026-05-16 20:23:10] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=7 train_loss=0.002578 val_loss=0.002072 best=0.002117 es=2/5
[2026-05-16 20:23:13] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=8 train_loss=0.002414 val_loss=0.001977 best=0.001977 es=0/5
[2026-05-16 20:23:16] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=9 train_loss=0.002602 val_loss=0.002054 best=0.001977 es=1/5
[2026-05-16 20:23:19] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=10 train_loss=0.002582 val_loss=0.001947 best=0.001977 es=2/5
[2026-05-16 20:23:22] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=11 train_loss=0.003086 val_loss=0.002189 best=0.001977 es=3/5
[2026-05-16 20:23:25] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=12 train_loss=0.002814 val_loss=0.002109 best=0.001977 es=4/5
[2026-05-16 20:23:28] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=13 train_loss=0.002505 val_loss=0.001848 best=0.001848 es=0/5
[2026-05-16 20:23:31] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=14 train_loss=0.002576 val_loss=0.001892 best=0.001848 es=1/5
[2026-05-16 20:23:34] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=15 train_loss=0.002517 val_loss=0.002020 best=0.001848 es=2/5
[2026-05-16 20:23:37] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=16 train_loss=0.002537 val_loss=0.001988 best=0.001848 es=3/5
[2026-05-16 20:23:41] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=17 train_loss=0.002418 val_loss=0.002167 best=0.001848 es=4/5
[2026-05-16 20:23:43] [autoencoding][ae_width_to_depth][cand_095_d2_w97] epoch=18 train_loss=0.002494 val_loss=0.001997 best=0.001848 es=5/5
