[2026-05-16 20:00:40] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 20:00:40] Logs: DAE/DNN/results/search_suite_20260516/representation/random/cand_027_d4_w7/training_log.txt
[2026-05-16 20:00:40] CSV: DAE/DNN/results/search_suite_20260516/representation/random/cand_027_d4_w7/training_stats.csv
[2026-05-16 20:00:43] [representation][random][cand_027_d4_w7] epoch=1 train_loss=1.159368 val_loss=1.060244 best=1.060244 es=0/5
[2026-05-16 20:00:46] [representation][random][cand_027_d4_w7] epoch=2 train_loss=1.088728 val_loss=1.047888 best=1.047888 es=0/5
[2026-05-16 20:00:49] [representation][random][cand_027_d4_w7] epoch=3 train_loss=1.042277 val_loss=1.026716 best=1.026716 es=0/5
[2026-05-16 20:00:53] [representation][random][cand_027_d4_w7] epoch=4 train_loss=1.012466 val_loss=1.006217 best=1.006217 es=0/5
[2026-05-16 20:00:56] [representation][random][cand_027_d4_w7] epoch=5 train_loss=0.992461 val_loss=0.989383 best=0.989383 es=0/5
[2026-05-16 20:00:59] [representation][random][cand_027_d4_w7] epoch=6 train_loss=0.977076 val_loss=0.975632 best=0.975632 es=0/5
[2026-05-16 20:01:02] [representation][random][cand_027_d4_w7] epoch=7 train_loss=0.963816 val_loss=0.963243 best=0.963243 es=0/5
[2026-05-16 20:01:05] [representation][random][cand_027_d4_w7] epoch=8 train_loss=0.951751 val_loss=0.951775 best=0.951775 es=0/5
[2026-05-16 20:01:09] [representation][random][cand_027_d4_w7] epoch=9 train_loss=0.940708 val_loss=0.941354 best=0.941354 es=0/5
[2026-05-16 20:01:12] [representation][random][cand_027_d4_w7] epoch=10 train_loss=0.930650 val_loss=0.931908 best=0.931908 es=0/5
[2026-05-16 20:01:15] [representation][random][cand_027_d4_w7] epoch=11 train_loss=0.921552 val_loss=0.923392 best=0.923392 es=0/5
[2026-05-16 20:01:19] [representation][random][cand_027_d4_w7] epoch=12 train_loss=0.913346 val_loss=0.915905 best=0.915905 es=0/5
[2026-05-16 20:01:22] [representation][random][cand_027_d4_w7] epoch=13 train_loss=0.906007 val_loss=0.908728 best=0.908728 es=0/5
[2026-05-16 20:01:25] [representation][random][cand_027_d4_w7] epoch=14 train_loss=0.899068 val_loss=0.902194 best=0.902194 es=0/5
[2026-05-16 20:01:28] [representation][random][cand_027_d4_w7] epoch=15 train_loss=0.892557 val_loss=0.895952 best=0.895952 es=0/5
[2026-05-16 20:01:31] [representation][random][cand_027_d4_w7] epoch=16 train_loss=0.886502 val_loss=0.890268 best=0.890268 es=0/5
[2026-05-16 20:01:35] [representation][random][cand_027_d4_w7] epoch=17 train_loss=0.880889 val_loss=0.884760 best=0.884760 es=0/5
[2026-05-16 20:01:38] [representation][random][cand_027_d4_w7] epoch=18 train_loss=0.875346 val_loss=0.879411 best=0.879411 es=0/5
