[2026-05-16 17:31:00] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 17:31:00] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_007_d2_w9/training_log.txt
[2026-05-16 17:31:00] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_007_d2_w9/training_stats.csv
[2026-05-16 17:31:03] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=1 train_loss=0.795696 val_loss=0.756374 best=0.756374 es=0/5
[2026-05-16 17:31:05] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=2 train_loss=0.750000 val_loss=0.741675 best=0.741675 es=0/5
[2026-05-16 17:31:08] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=3 train_loss=0.734541 val_loss=0.733985 best=0.733985 es=0/5
[2026-05-16 17:31:10] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=4 train_loss=0.727589 val_loss=0.729831 best=0.729831 es=0/5
[2026-05-16 17:31:13] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=5 train_loss=0.724091 val_loss=0.727226 best=0.727226 es=0/5
[2026-05-16 17:31:15] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=6 train_loss=0.721769 val_loss=0.725440 best=0.725440 es=0/5
[2026-05-16 17:31:17] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=7 train_loss=0.720044 val_loss=0.724003 best=0.724003 es=0/5
[2026-05-16 17:31:20] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=8 train_loss=0.718585 val_loss=0.722784 best=0.722784 es=0/5
[2026-05-16 17:31:22] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=9 train_loss=0.717317 val_loss=0.721665 best=0.721665 es=0/5
[2026-05-16 17:31:25] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=10 train_loss=0.716063 val_loss=0.720538 best=0.720538 es=0/5
[2026-05-16 17:31:27] [autoencoding][ae_width_to_depth][cand_007_d2_w9] epoch=11 train_loss=0.714924 val_loss=0.719507 best=0.719507 es=0/5
