2025-10-04 16:55:42 - INFO - ======== [Run 1/300] width=10 depth=1 ========
2025-10-04 16:55:42 - INFO - Device=cuda | dataset=cifar100 | batch=2048 | max_epochs=50 | patience=10 | lr=1.00e-03 | wd=1.0e-04
2025-10-04 16:55:42 - INFO - Model params=1390 | neurons=20 | pooling=[1, 3]
2025-10-04 16:55:51 - INFO - [epoch 1/50] train_loss=4.5976 | val_loss=4.5886 | val_acc=0.0196 | best_val=4.5886@1 | bad=0/10 | lr=1.00e-03 | dt=9.1s
2025-10-04 16:55:58 - INFO - [epoch 2/50] train_loss=4.5716 | val_loss=4.5500 | val_acc=0.0296 | best_val=4.5500@2 | bad=0/10 | lr=1.00e-03 | dt=7.6s
2025-10-04 16:56:05 - INFO - [epoch 3/50] train_loss=4.5373 | val_loss=4.5082 | val_acc=0.0268 | best_val=4.5082@3 | bad=0/10 | lr=1.00e-03 | dt=6.4s
2025-10-04 16:56:11 - INFO - [epoch 4/50] train_loss=4.5004 | val_loss=4.4700 | val_acc=0.0266 | best_val=4.4700@4 | bad=0/10 | lr=1.00e-03 | dt=6.2s
2025-10-04 16:56:17 - INFO - [epoch 5/50] train_loss=4.4661 | val_loss=4.4360 | val_acc=0.0270 | best_val=4.4360@5 | bad=0/10 | lr=1.00e-03 | dt=6.3s
2025-10-04 16:56:24 - INFO - [epoch 6/50] train_loss=4.4349 | val_loss=4.4044 | val_acc=0.0308 | best_val=4.4044@6 | bad=0/10 | lr=1.00e-03 | dt=6.5s
2025-10-04 16:56:30 - INFO - [epoch 7/50] train_loss=4.4064 | val_loss=4.3759 | val_acc=0.0352 | best_val=4.3759@7 | bad=0/10 | lr=1.00e-03 | dt=6.4s
2025-10-04 16:56:37 - INFO - [epoch 8/50] train_loss=4.3799 | val_loss=4.3490 | val_acc=0.0390 | best_val=4.3490@8 | bad=0/10 | lr=1.00e-03 | dt=6.3s
2025-10-04 16:56:43 - INFO - [epoch 9/50] train_loss=4.3554 | val_loss=4.3217 | val_acc=0.0410 | best_val=4.3217@9 | bad=0/10 | lr=1.00e-03 | dt=6.3s
2025-10-04 16:56:49 - INFO - [epoch 10/50] train_loss=4.3334 | val_loss=4.3008 | val_acc=0.0438 | best_val=4.3008@10 | bad=0/10 | lr=1.00e-03 | dt=6.4s
2025-10-04 16:56:56 - INFO - [epoch 11/50] train_loss=4.3135 | val_loss=4.2811 | val_acc=0.0446 | best_val=4.2811@11 | bad=0/10 | lr=1.00e-03 | dt=6.3s
2025-10-04 16:57:02 - INFO - [epoch 12/50] train_loss=4.2959 | val_loss=4.2657 | val_acc=0.0456 | best_val=4.2657@12 | bad=0/10 | lr=1.00e-03 | dt=6.5s
2025-10-04 16:57:13 - INFO - [epoch 13/50] train_loss=4.2797 | val_loss=4.2495 | val_acc=0.0482 | best_val=4.2495@13 | bad=0/10 | lr=1.00e-03 | dt=11.3s
2025-10-04 16:57:20 - INFO - [epoch 14/50] train_loss=4.2659 | val_loss=4.2374 | val_acc=0.0470 | best_val=4.2374@14 | bad=0/10 | lr=1.00e-03 | dt=6.8s
2025-10-04 16:57:27 - INFO - [epoch 15/50] train_loss=4.2525 | val_loss=4.2258 | val_acc=0.0510 | best_val=4.2258@15 | bad=0/10 | lr=1.00e-03 | dt=6.9s
2025-10-04 16:57:34 - INFO - [epoch 16/50] train_loss=4.2408 | val_loss=4.2162 | val_acc=0.0512 | best_val=4.2162@16 | bad=0/10 | lr=1.00e-03 | dt=6.9s
2025-10-04 16:57:40 - INFO - [epoch 17/50] train_loss=4.2298 | val_loss=4.2077 | val_acc=0.0538 | best_val=4.2077@17 | bad=0/10 | lr=1.00e-03 | dt=6.3s
2025-10-04 16:57:48 - INFO - [epoch 18/50] train_loss=4.2204 | val_loss=4.1998 | val_acc=0.0550 | best_val=4.1998@18 | bad=0/10 | lr=1.00e-03 | dt=7.3s
2025-10-04 16:57:58 - INFO - [epoch 19/50] train_loss=4.2117 | val_loss=4.1917 | val_acc=0.0572 | best_val=4.1917@19 | bad=0/10 | lr=1.00e-03 | dt=10.8s
2025-10-04 16:58:10 - INFO - [epoch 20/50] train_loss=4.2032 | val_loss=4.1864 | val_acc=0.0546 | best_val=4.1864@20 | bad=0/10 | lr=1.00e-03 | dt=11.4s
2025-10-04 16:58:22 - INFO - [epoch 21/50] train_loss=4.1955 | val_loss=4.1786 | val_acc=0.0556 | best_val=4.1786@21 | bad=0/10 | lr=1.00e-03 | dt=12.3s
2025-10-04 16:58:33 - INFO - [epoch 22/50] train_loss=4.1874 | val_loss=4.1722 | val_acc=0.0586 | best_val=4.1722@22 | bad=0/10 | lr=1.00e-03 | dt=10.5s
2025-10-04 16:58:45 - INFO - [epoch 23/50] train_loss=4.1809 | val_loss=4.1683 | val_acc=0.0604 | best_val=4.1683@23 | bad=0/10 | lr=1.00e-03 | dt=12.0s
2025-10-04 16:58:56 - INFO - [epoch 24/50] train_loss=4.1742 | val_loss=4.1619 | val_acc=0.0616 | best_val=4.1619@24 | bad=0/10 | lr=1.00e-03 | dt=11.4s
2025-10-04 16:59:07 - INFO - [epoch 25/50] train_loss=4.1687 | val_loss=4.1555 | val_acc=0.0624 | best_val=4.1555@25 | bad=0/10 | lr=1.00e-03 | dt=11.2s
2025-10-04 16:59:20 - INFO - [epoch 26/50] train_loss=4.1617 | val_loss=4.1498 | val_acc=0.0622 | best_val=4.1498@26 | bad=0/10 | lr=1.00e-03 | dt=12.8s
2025-10-04 16:59:33 - INFO - [epoch 27/50] train_loss=4.1559 | val_loss=4.1450 | val_acc=0.0648 | best_val=4.1450@27 | bad=0/10 | lr=1.00e-03 | dt=12.5s
2025-10-04 16:59:45 - INFO - [epoch 28/50] train_loss=4.1488 | val_loss=4.1390 | val_acc=0.0644 | best_val=4.1390@28 | bad=0/10 | lr=1.00e-03 | dt=12.2s
2025-10-04 16:59:55 - INFO - [epoch 29/50] train_loss=4.1431 | val_loss=4.1344 | val_acc=0.0648 | best_val=4.1344@29 | bad=0/10 | lr=1.00e-03 | dt=10.6s
2025-10-04 17:00:10 - INFO - [epoch 30/50] train_loss=4.1369 | val_loss=4.1276 | val_acc=0.0676 | best_val=4.1276@30 | bad=0/10 | lr=1.00e-03 | dt=14.2s
2025-10-04 17:00:22 - INFO - [epoch 31/50] train_loss=4.1303 | val_loss=4.1219 | val_acc=0.0664 | best_val=4.1219@31 | bad=0/10 | lr=1.00e-03 | dt=12.9s
2025-10-04 17:00:38 - INFO - [epoch 32/50] train_loss=4.1246 | val_loss=4.1140 | val_acc=0.0704 | best_val=4.1140@32 | bad=0/10 | lr=1.00e-03 | dt=15.3s
2025-10-04 17:00:50 - INFO - [epoch 33/50] train_loss=4.1182 | val_loss=4.1096 | val_acc=0.0690 | best_val=4.1096@33 | bad=0/10 | lr=1.00e-03 | dt=12.6s
2025-10-04 17:01:03 - INFO - [epoch 34/50] train_loss=4.1135 | val_loss=4.1048 | val_acc=0.0698 | best_val=4.1048@34 | bad=0/10 | lr=1.00e-03 | dt=12.6s
