[2026-05-16 11:46:23] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 11:46:23] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_040_d2_w42/training_log.txt
[2026-05-16 11:46:23] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_040_d2_w42/training_stats.csv
[2026-05-16 11:46:26] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=1 train_loss=0.093601 val_loss=0.071217 best=0.071217 es=0/5
[2026-05-16 11:46:28] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=2 train_loss=0.089038 val_loss=0.069004 best=0.069004 es=0/5
[2026-05-16 11:46:31] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=3 train_loss=0.087776 val_loss=0.068292 best=0.068292 es=0/5
[2026-05-16 11:46:34] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=4 train_loss=0.086953 val_loss=0.067486 best=0.067486 es=0/5
[2026-05-16 11:46:36] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=5 train_loss=0.086359 val_loss=0.066716 best=0.066716 es=0/5
[2026-05-16 11:46:39] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=6 train_loss=0.085681 val_loss=0.066169 best=0.066169 es=0/5
[2026-05-16 11:46:41] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=7 train_loss=0.084995 val_loss=0.065298 best=0.065298 es=0/5
[2026-05-16 11:46:44] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=8 train_loss=0.084085 val_loss=0.064280 best=0.064280 es=0/5
[2026-05-16 11:46:46] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=9 train_loss=0.083034 val_loss=0.063493 best=0.063493 es=0/5
[2026-05-16 11:46:49] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=10 train_loss=0.082033 val_loss=0.062672 best=0.062672 es=0/5
[2026-05-16 11:46:51] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=11 train_loss=0.081552 val_loss=0.061920 best=0.061920 es=0/5
[2026-05-16 11:46:54] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=12 train_loss=0.080520 val_loss=0.061201 best=0.061201 es=0/5
[2026-05-16 11:46:56] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=13 train_loss=0.079614 val_loss=0.060030 best=0.060030 es=0/5
[2026-05-16 11:46:59] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=14 train_loss=0.078888 val_loss=0.059426 best=0.059426 es=0/5
[2026-05-16 11:47:02] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=15 train_loss=0.078304 val_loss=0.059094 best=0.059094 es=0/5
[2026-05-16 11:47:04] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=16 train_loss=0.078088 val_loss=0.058647 best=0.058647 es=0/5
[2026-05-16 11:47:07] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=17 train_loss=0.077547 val_loss=0.058169 best=0.058169 es=0/5
[2026-05-16 11:47:09] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=18 train_loss=0.077201 val_loss=0.057899 best=0.057899 es=0/5
[2026-05-16 11:47:12] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=19 train_loss=0.076882 val_loss=0.057713 best=0.057713 es=0/5
[2026-05-16 11:47:14] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=20 train_loss=0.076731 val_loss=0.057756 best=0.057713 es=1/5
[2026-05-16 11:47:17] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=21 train_loss=0.076968 val_loss=0.057534 best=0.057534 es=0/5
[2026-05-16 11:47:19] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=22 train_loss=0.076517 val_loss=0.057196 best=0.057196 es=0/5
[2026-05-16 11:47:22] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=23 train_loss=0.076468 val_loss=0.057258 best=0.057196 es=1/5
[2026-05-16 11:47:24] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=24 train_loss=0.076392 val_loss=0.057141 best=0.057196 es=2/5
[2026-05-16 11:47:27] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=25 train_loss=0.076383 val_loss=0.057102 best=0.057196 es=3/5
[2026-05-16 11:47:30] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=26 train_loss=0.076215 val_loss=0.056952 best=0.056952 es=0/5
[2026-05-16 11:47:32] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=27 train_loss=0.075985 val_loss=0.056936 best=0.056952 es=1/5
[2026-05-16 11:47:35] [representation][ae_width_to_depth][cand_040_d2_w42] epoch=28 train_loss=0.076194 val_loss=0.057081 best=0.056952 es=2/5
