task,row_type,phase,architecture,best_val,best_epoch,final_epoch,test_loss,test_acc
generation,ablation_stl,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",1.0085170053033967,21,26,1.0676558492795152,
generation,ablation_stl,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",1.0088299125039544,19,24,1.0680001523395786,
generation,ablation_stl,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",1.0089622873578437,20,25,1.068208249318485,
generation,ablation_stl,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",1.0094375936304365,17,22,1.0685250724121735,
generation,ablation_stl,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",1.0094935594824854,12,17,1.0687954354000178,
generation,ablation_stl,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",1.0102027109926148,14,19,1.0693635043871221,
generation,ablation_stl,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",1.0104810059397842,10,15,1.0696994718574877,
generation,ablation_stl,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",1.0084379768056022,20,25,1.0675817234594398,
generation,ablation_stl,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",1.0086562507659464,15,20,1.067859776822165,
generation,ablation_stl,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",1.0089335622021103,15,20,1.0681149751228531,
generation,ablation_stl,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",1.0088417024711405,14,19,1.0680930507041297,
generation,ablation_stl,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",1.0090246266628184,10,15,1.0682419408313772,
generation,ablation_stl,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",1.0092564413640708,9,14,1.0684314717897825,
generation,ablation_stl,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",1.0096479920999857,7,12,1.0688023006474303,
generation,ablation_stl,stl_ablation_d06_w064_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64]",1.008415324765186,12,17,1.0675942603389634,
generation,ablation_stl,stl_ablation_d06_w096_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96]",1.0085975145684678,9,14,1.0678297356462252,
generation,ablation_stl,stl_ablation_d06_w128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128]",1.0084074269666337,7,12,1.0675876703905105,
generation,ablation_stl,stl_ablation_d06_w160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160]",1.0086488863920846,9,14,1.0677825900638838,
generation,ablation_stl,stl_ablation_d06_w192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192]",1.0085640201712063,10,15,1.0677642253230593,
generation,ablation_stl,stl_ablation_d06_w224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224]",1.0085369159353759,5,10,1.067723124315032,
generation,ablation_stl,stl_ablation_d06_w256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256]",1.0084959256782586,7,12,1.0677287238872912,
generation,ablation_stl,stl_ablation_d08_w064_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64]",1.0084469474580098,14,19,1.0676304344523517,
generation,ablation_stl,stl_ablation_d08_w096_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96]",1.0083859133799595,9,14,1.0675565599318029,
generation,ablation_stl,stl_ablation_d08_w128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128]",1.0084120943618886,7,12,1.0675831463137473,
generation,ablation_stl,stl_ablation_d08_w160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160]",1.0083165386782191,5,10,1.0675488074891397,
generation,ablation_stl,stl_ablation_d08_w192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192]",1.0084579712109292,7,12,1.0676581805586307,
generation,ablation_stl,stl_ablation_d08_w224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224]",1.0084094486280315,5,10,1.0675869113091863,
generation,ablation_stl,stl_ablation_d08_w256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256]",1.0084091335003131,5,10,1.067579618450434,
generation,ablation_stl,stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1.0084660592691572,8,13,1.0676238300595107,
generation,ablation_stl,stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",1.0083682066753985,8,13,1.067533925520106,
generation,ablation_stl,stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",1.0083838507131184,5,10,1.06753906240209,
generation,ablation_stl,stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]",1.0082621260380036,5,10,1.0674681465661997,
generation,ablation_stl,stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]",1.0083358720506879,5,10,1.0675202693194994,
generation,ablation_stl,stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]",1.0084104722150333,5,10,1.0676305604488623,
generation,ablation_stl,stl_ablation_d10_w256_256_256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",1.0083754788472836,5,10,1.067578880559684,
