[2026-05-16 12:26:23] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 12:26:23] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_085_d2_w87/training_log.txt
[2026-05-16 12:26:23] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_085_d2_w87/training_stats.csv
[2026-05-16 12:26:26] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=1 train_loss=0.005515 val_loss=0.003709 best=0.003709 es=0/5
[2026-05-16 12:26:28] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=2 train_loss=0.003889 val_loss=0.003055 best=0.003055 es=0/5
[2026-05-16 12:26:31] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=3 train_loss=0.003617 val_loss=0.002958 best=0.003055 es=1/5
[2026-05-16 12:26:33] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=4 train_loss=0.003499 val_loss=0.002876 best=0.002876 es=0/5
[2026-05-16 12:26:36] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=5 train_loss=0.003783 val_loss=0.003005 best=0.002876 es=1/5
[2026-05-16 12:26:39] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=6 train_loss=0.003682 val_loss=0.002850 best=0.002876 es=2/5
[2026-05-16 12:26:41] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=7 train_loss=0.003290 val_loss=0.002958 best=0.002876 es=3/5
[2026-05-16 12:26:44] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=8 train_loss=0.003377 val_loss=0.002721 best=0.002721 es=0/5
[2026-05-16 12:26:46] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=9 train_loss=0.003440 val_loss=0.002818 best=0.002721 es=1/5
[2026-05-16 12:26:49] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=10 train_loss=0.003474 val_loss=0.002770 best=0.002721 es=2/5
[2026-05-16 12:26:51] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=11 train_loss=0.003457 val_loss=0.002720 best=0.002721 es=3/5
[2026-05-16 12:26:54] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=12 train_loss=0.003321 val_loss=0.002523 best=0.002523 es=0/5
[2026-05-16 12:26:56] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=13 train_loss=0.003321 val_loss=0.002610 best=0.002523 es=1/5
[2026-05-16 12:26:59] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=14 train_loss=0.003329 val_loss=0.002563 best=0.002523 es=2/5
[2026-05-16 12:27:01] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=15 train_loss=0.003175 val_loss=0.002802 best=0.002523 es=3/5
[2026-05-16 12:27:04] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=16 train_loss=0.003686 val_loss=0.002877 best=0.002523 es=4/5
[2026-05-16 12:27:07] [representation][ae_width_to_depth][cand_085_d2_w87] epoch=17 train_loss=0.004123 val_loss=0.002736 best=0.002523 es=5/5
