width,depth,best_val_loss,val_acc_at_best_loss,best_val_acc,epoch_at_best_loss,epoch_at_best_acc
2,2,0.9421570496559143,0.6868333333333333,0.6885,173,180
4,2,0.4823232426643372,0.864,0.867,255,246
6,2,0.3038102841377258,0.9148333333333334,0.9178333333333333,72,58
8,2,0.23503640655676525,0.9308333333333333,0.9343333333333333,51,55
10,2,0.20871822396914164,0.9395,0.9398333333333333,23,27
12,2,0.1769800583124161,0.9491666666666667,0.95,24,34
14,2,0.1660956646601359,0.9501666666666667,0.9516666666666667,27,28
16,2,0.15778228330612182,0.9516666666666667,0.9518333333333333,21,24
18,2,0.1542263312737147,0.9533333333333334,0.955,20,22
20,2,0.13326189984877904,0.9595,0.9603333333333334,21,22
