[2026-05-16 19:26:14] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 19:26:14] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_037_d2_w39/training_log.txt
[2026-05-16 19:26:14] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_037_d2_w39/training_stats.csv
[2026-05-16 19:26:17] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=1 train_loss=0.145637 val_loss=0.122404 best=0.122404 es=0/5
[2026-05-16 19:26:19] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=2 train_loss=0.137057 val_loss=0.119034 best=0.119034 es=0/5
[2026-05-16 19:26:21] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=3 train_loss=0.135671 val_loss=0.118296 best=0.118296 es=0/5
[2026-05-16 19:26:24] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=4 train_loss=0.135034 val_loss=0.117429 best=0.117429 es=0/5
[2026-05-16 19:26:26] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=5 train_loss=0.134148 val_loss=0.116585 best=0.116585 es=0/5
[2026-05-16 19:26:28] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=6 train_loss=0.133314 val_loss=0.115704 best=0.115704 es=0/5
[2026-05-16 19:26:31] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=7 train_loss=0.132412 val_loss=0.114740 best=0.114740 es=0/5
[2026-05-16 19:26:33] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=8 train_loss=0.131703 val_loss=0.113686 best=0.113686 es=0/5
[2026-05-16 19:26:35] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=9 train_loss=0.130179 val_loss=0.112567 best=0.112567 es=0/5
[2026-05-16 19:26:38] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=10 train_loss=0.129053 val_loss=0.111367 best=0.111367 es=0/5
[2026-05-16 19:26:40] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=11 train_loss=0.127996 val_loss=0.109909 best=0.109909 es=0/5
[2026-05-16 19:26:42] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=12 train_loss=0.126635 val_loss=0.108991 best=0.108991 es=0/5
[2026-05-16 19:26:45] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=13 train_loss=0.125793 val_loss=0.107911 best=0.107911 es=0/5
[2026-05-16 19:26:47] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=14 train_loss=0.124779 val_loss=0.106456 best=0.106456 es=0/5
[2026-05-16 19:26:50] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=15 train_loss=0.123814 val_loss=0.105751 best=0.105751 es=0/5
[2026-05-16 19:26:52] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=16 train_loss=0.123150 val_loss=0.105089 best=0.105089 es=0/5
[2026-05-16 19:26:54] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=17 train_loss=0.122454 val_loss=0.104045 best=0.104045 es=0/5
[2026-05-16 19:26:57] [autoencoding][ae_width_to_depth][cand_037_d2_w39] epoch=18 train_loss=0.121605 val_loss=0.103197 best=0.103197 es=0/5
