[2026-05-18 00:28:33] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 00:28:33] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_007_d1_w8/training_log.txt
[2026-05-18 00:28:33] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_007_d1_w8/training_stats.csv
[2026-05-18 00:28:33] [CANDIDATE] task=representation phase=ae_alt_width index=7 search_phase=width architecture=[8]
[2026-05-18 00:30:02] [representation][ae_alt_width][cand_007_d1_w8] epoch=36 architecture=[8] train_loss=0.581412 val_loss=0.581236 best=0.580822 es=1/5
[2026-05-18 00:30:04] [representation][ae_alt_width][cand_007_d1_w8] epoch=37 architecture=[8] train_loss=0.581325 val_loss=0.580953 best=0.580822 es=2/5
[2026-05-18 00:30:06] [representation][ae_alt_width][cand_007_d1_w8] epoch=38 architecture=[8] train_loss=0.581293 val_loss=0.580812 best=0.580822 es=3/5
[2026-05-18 00:30:09] [representation][ae_alt_width][cand_007_d1_w8] epoch=39 architecture=[8] train_loss=0.581202 val_loss=0.581045 best=0.580822 es=4/5
[2026-05-18 00:30:12] [representation][ae_alt_width][cand_007_d1_w8] epoch=40 architecture=[8] train_loss=0.581135 val_loss=0.580579 best=0.580579 es=0/5
[2026-05-18 00:30:14] [representation][ae_alt_width][cand_007_d1_w8] epoch=41 architecture=[8] train_loss=0.580940 val_loss=0.580363 best=0.580363 es=0/5
[2026-05-18 00:30:16] [representation][ae_alt_width][cand_007_d1_w8] epoch=42 architecture=[8] train_loss=0.580853 val_loss=0.580332 best=0.580363 es=1/5
[2026-05-18 00:30:18] [representation][ae_alt_width][cand_007_d1_w8] epoch=43 architecture=[8] train_loss=0.580897 val_loss=0.580663 best=0.580363 es=2/5
[2026-05-18 00:30:21] [representation][ae_alt_width][cand_007_d1_w8] epoch=44 architecture=[8] train_loss=0.580865 val_loss=0.580403 best=0.580363 es=3/5
[2026-05-18 00:30:23] [representation][ae_alt_width][cand_007_d1_w8] epoch=45 architecture=[8] train_loss=0.580723 val_loss=0.580286 best=0.580363 es=4/5
[2026-05-18 00:30:26] [representation][ae_alt_width][cand_007_d1_w8] epoch=46 architecture=[8] train_loss=0.580638 val_loss=0.579941 best=0.579941 es=0/5
[2026-05-18 00:30:28] [representation][ae_alt_width][cand_007_d1_w8] epoch=47 architecture=[8] train_loss=0.580713 val_loss=0.579900 best=0.579941 es=1/5
[2026-05-18 00:30:30] [representation][ae_alt_width][cand_007_d1_w8] epoch=48 architecture=[8] train_loss=0.580688 val_loss=0.579851 best=0.579941 es=2/5
[2026-05-18 00:30:33] [representation][ae_alt_width][cand_007_d1_w8] epoch=49 architecture=[8] train_loss=0.580470 val_loss=0.579988 best=0.579941 es=3/5
[2026-05-18 00:30:35] [representation][ae_alt_width][cand_007_d1_w8] epoch=50 architecture=[8] train_loss=0.580449 val_loss=0.579973 best=0.579941 es=4/5
[2026-05-18 00:30:38] [representation][ae_alt_width][cand_007_d1_w8] epoch=51 architecture=[8] train_loss=0.580314 val_loss=0.579750 best=0.579750 es=0/5
[2026-05-18 00:30:40] [representation][ae_alt_width][cand_007_d1_w8] epoch=52 architecture=[8] train_loss=0.580104 val_loss=0.579715 best=0.579750 es=1/5
[2026-05-18 00:30:42] [representation][ae_alt_width][cand_007_d1_w8] epoch=53 architecture=[8] train_loss=0.580334 val_loss=0.579787 best=0.579750 es=2/5
[2026-05-18 00:30:45] [representation][ae_alt_width][cand_007_d1_w8] epoch=54 architecture=[8] train_loss=0.580161 val_loss=0.579438 best=0.579438 es=0/5
[2026-05-18 00:30:48] [representation][ae_alt_width][cand_007_d1_w8] epoch=55 architecture=[8] train_loss=0.580146 val_loss=0.579412 best=0.579438 es=1/5
[2026-05-18 00:30:50] [representation][ae_alt_width][cand_007_d1_w8] epoch=56 architecture=[8] train_loss=0.580155 val_loss=0.579358 best=0.579438 es=2/5
[2026-05-18 00:30:52] [representation][ae_alt_width][cand_007_d1_w8] epoch=57 architecture=[8] train_loss=0.579980 val_loss=0.579562 best=0.579438 es=3/5
[2026-05-18 00:30:55] [representation][ae_alt_width][cand_007_d1_w8] epoch=58 architecture=[8] train_loss=0.580054 val_loss=0.579361 best=0.579438 es=4/5
[2026-05-18 00:30:57] [representation][ae_alt_width][cand_007_d1_w8] epoch=59 architecture=[8] train_loss=0.580001 val_loss=0.579412 best=0.579438 es=5/5
