[2026-05-18 03:09:34] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 03:09:34] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_182_d1_w183/training_log.txt
[2026-05-18 03:09:34] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_182_d1_w183/training_stats.csv
[2026-05-18 03:09:34] [CANDIDATE] task=representation phase=ae_alt_width index=182 search_phase=width architecture=[183]
[2026-05-18 03:09:41] [representation][ae_alt_width][cand_182_d1_w183] epoch=1 architecture=[183] train_loss=0.326166 val_loss=0.317654 best=0.305688 es=0/5
[2026-05-18 03:09:43] [representation][ae_alt_width][cand_182_d1_w183] epoch=2 architecture=[183] train_loss=0.303939 val_loss=0.309181 best=0.305688 es=0/5
[2026-05-18 03:09:45] [representation][ae_alt_width][cand_182_d1_w183] epoch=3 architecture=[183] train_loss=0.301542 val_loss=0.307279 best=0.305688 es=0/5
[2026-05-18 03:09:48] [representation][ae_alt_width][cand_182_d1_w183] epoch=4 architecture=[183] train_loss=0.299999 val_loss=0.306869 best=0.305688 es=0/5
[2026-05-18 03:09:55] [representation][ae_alt_width][cand_182_d1_w183] epoch=5 architecture=[183] train_loss=0.300414 val_loss=0.308607 best=0.305688 es=1/5
[2026-05-18 03:09:57] [representation][ae_alt_width][cand_182_d1_w183] epoch=6 architecture=[183] train_loss=0.301046 val_loss=0.307120 best=0.305688 es=2/5
[2026-05-18 03:09:59] [representation][ae_alt_width][cand_182_d1_w183] epoch=7 architecture=[183] train_loss=0.299399 val_loss=0.305521 best=0.305521 es=0/5
[2026-05-18 03:10:02] [representation][ae_alt_width][cand_182_d1_w183] epoch=8 architecture=[183] train_loss=0.299776 val_loss=0.305901 best=0.305521 es=1/5
[2026-05-18 03:10:04] [representation][ae_alt_width][cand_182_d1_w183] epoch=9 architecture=[183] train_loss=0.299553 val_loss=0.307077 best=0.305521 es=2/5
[2026-05-18 03:10:11] [representation][ae_alt_width][cand_182_d1_w183] epoch=10 architecture=[183] train_loss=0.300201 val_loss=0.307633 best=0.305521 es=3/5
[2026-05-18 03:10:13] [representation][ae_alt_width][cand_182_d1_w183] epoch=11 architecture=[183] train_loss=0.298786 val_loss=0.311312 best=0.305521 es=4/5
[2026-05-18 03:10:16] [representation][ae_alt_width][cand_182_d1_w183] epoch=12 architecture=[183] train_loss=0.299463 val_loss=0.306970 best=0.305521 es=5/5
