depth,candidate_dir,parameter_count,best_val
1,cand_000_d1_w1,71,0.941394860730196
1,cand_001_d1_w2,135,0.6716740344237982
1,cand_002_d1_w3,199,0.6457417217052482
1,cand_003_d1_w4,263,0.6255253939942028
1,cand_004_d1_w5,327,0.6087505817782647
1,cand_005_d1_w6,391,0.5980151965787157
1,cand_006_d1_w7,455,0.5834773331211183
1,cand_007_d1_w8,519,0.5782630358732735
1,cand_008_d1_w9,583,0.5680206973951443
1,cand_009_d1_w10,647,0.5596459074323308
1,cand_010_d1_w11,711,0.5562064310006211
1,cand_011_d1_w12,775,0.545768378356474
1,cand_012_d1_w13,839,0.537823677262009
1,cand_013_d1_w14,903,0.5240643149571145
1,cand_014_d1_w15,967,0.5145392642698506
1,cand_015_d1_w16,1031,0.5091869362586399
1,cand_016_d1_w17,1095,0.4984711124112985
1,cand_017_d1_w18,1159,0.4923973475684828
1,cand_018_d1_w19,1223,0.4876292846793388
1,cand_019_d1_w20,1287,0.4871535827120668
1,cand_020_d1_w21,1351,0.4793999680581124
1,cand_021_d1_w22,1415,0.4757532319090715
1,cand_022_d1_w23,1479,0.4679588917365523
1,cand_023_d1_w24,1543,0.4643698289144843
1,cand_024_d1_w25,1607,0.4610047518234467
1,cand_025_d1_w26,1671,0.4567785908139898
1,cand_026_d1_w27,1735,0.451439361554128
1,cand_027_d1_w28,1799,0.4457320733978564
1,cand_028_d1_w29,1863,0.4443701197404635
1,cand_029_d1_w30,1927,0.4414611838359052
1,cand_030_d1_w31,1991,0.4413852374915118
1,cand_031_d1_w32,2055,0.4361167502737491
1,cand_032_d1_w33,2119,0.4348420599891209
1,cand_033_d1_w34,2183,0.4312214967739816
1,cand_034_d1_w35,2247,0.426878724712646
1,cand_035_d1_w36,2311,0.4221008037542534
1,cand_036_d1_w37,2375,0.4174653357163663
1,cand_037_d1_w38,2439,0.4141078674063432
1,cand_038_d1_w39,2503,0.411364495548553
1,cand_039_d1_w40,2567,0.4108195402324061
1,cand_040_d1_w41,2631,0.4100478861444212
1,cand_041_d1_w42,2695,0.4087475406412836
1,cand_042_d1_w43,2759,0.4036669965097164
1,cand_043_d1_w44,2823,0.4018327035858135
1,cand_044_d1_w45,2887,0.4006912148998427
1,cand_045_d1_w46,2951,0.3995507086097463
1,cand_046_d1_w47,3015,0.3988001838051261
1,cand_047_d1_w48,3079,0.3940870669947374
1,cand_048_d1_w49,3143,0.3903951657474748
1,cand_049_d1_w50,3207,0.3895662434263071
1,cand_050_d1_w51,3271,0.3892918265737257
1,cand_051_d1_w52,3335,0.3894081884327223
1,cand_052_d1_w53,3399,0.3873956406292526
1,cand_053_d1_w54,3463,0.386282278981316
1,cand_054_d1_w55,3527,0.3844100282729011
1,cand_055_d1_w56,3591,0.3838665015893299
1,cand_056_d1_w57,3655,0.3823727832811244
1,cand_057_d1_w58,3719,0.3813280809483912
1,cand_058_d1_w59,3783,0.3808231768307552
1,cand_059_d1_w60,3847,0.3799546616075084
1,cand_060_d1_w61,3911,0.3795543125623828
1,cand_061_d1_w62,3975,0.3786150715136326
1,cand_062_d1_w63,4039,0.3764373013254956
1,cand_063_d1_w64,4103,0.3750092156843212
1,cand_064_d1_w65,4167,0.372395280313825
1,cand_065_d1_w66,4231,0.3705800614486912
1,cand_066_d1_w67,4295,0.3696354142091099
1,cand_067_d1_w68,4359,0.3673853077667268
1,cand_068_d1_w69,4423,0.3652219397877336
1,cand_069_d1_w70,4487,0.3642736148735538
1,cand_070_d1_w71,4551,0.3643654618584796
1,cand_071_d1_w72,4615,0.3627911633086802
1,cand_072_d1_w73,4679,0.3621362213555926
1,cand_073_d1_w74,4743,0.3617682571396852
1,cand_074_d1_w75,4807,0.3579039149919505
1,cand_075_d1_w76,4871,0.3568635840686459
1,cand_076_d1_w77,4935,0.3543090370505224
1,cand_077_d1_w78,4999,0.3514308207352185
1,cand_078_d1_w79,5063,0.3506659627190551
1,cand_079_d1_w80,5127,0.3496727041754098
1,cand_080_d1_w81,5191,0.3495496106760011
1,cand_081_d1_w82,5255,0.3492462910191516
1,cand_082_d1_w83,5319,0.3478806083300764
1,cand_083_d1_w84,5383,0.3475645764928946
1,cand_084_d1_w85,5447,0.3457530631134488
1,cand_085_d1_w86,5511,0.3451272683620363
1,cand_086_d1_w87,5575,0.3438417088204543
1,cand_087_d1_w89,5703,0.3424503703814641
1,cand_088_d1_w90,5767,0.3416608925401314
1,cand_089_d1_w92,5895,0.3420321059837183
