[2026-05-20 09:07:22] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 09:07:22] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_038_d1_w39/training_log.txt
[2026-05-20 09:07:22] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_038_d1_w39/training_stats.csv
[2026-05-20 09:07:22] [CANDIDATE] task=autoencoding phase=ae_alt_width index=38 search_phase=width architecture=[39]
[2026-05-20 09:07:24] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=1 architecture=[39] train_loss=0.135169 val_loss=0.119014 best=0.119014 es=0/5
[2026-05-20 09:07:26] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=2 architecture=[39] train_loss=0.132840 val_loss=0.117766 best=0.117766 es=0/5
[2026-05-20 09:07:28] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=3 architecture=[39] train_loss=0.131687 val_loss=0.116535 best=0.116535 es=0/5
[2026-05-20 09:07:31] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=4 architecture=[39] train_loss=0.130178 val_loss=0.114873 best=0.114873 es=0/5
[2026-05-20 09:07:33] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=5 architecture=[39] train_loss=0.128428 val_loss=0.112842 best=0.112842 es=0/5
[2026-05-20 09:07:35] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=6 architecture=[39] train_loss=0.126407 val_loss=0.110820 best=0.110820 es=0/5
[2026-05-20 09:07:37] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=7 architecture=[39] train_loss=0.124463 val_loss=0.108963 best=0.108963 es=0/5
[2026-05-20 09:07:39] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=8 architecture=[39] train_loss=0.122916 val_loss=0.107363 best=0.107363 es=0/5
[2026-05-20 09:07:41] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=9 architecture=[39] train_loss=0.121513 val_loss=0.106212 best=0.106212 es=0/5
[2026-05-20 09:07:43] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=10 architecture=[39] train_loss=0.120440 val_loss=0.104852 best=0.104852 es=0/5
[2026-05-20 09:07:46] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=11 architecture=[39] train_loss=0.119536 val_loss=0.103846 best=0.103846 es=0/5
[2026-05-20 09:07:48] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=12 architecture=[39] train_loss=0.118925 val_loss=0.103018 best=0.103018 es=0/5
[2026-05-20 09:07:50] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=13 architecture=[39] train_loss=0.118533 val_loss=0.102372 best=0.102372 es=0/5
[2026-05-20 09:07:52] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=14 architecture=[39] train_loss=0.117776 val_loss=0.101820 best=0.101820 es=0/5
[2026-05-20 09:07:54] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=15 architecture=[39] train_loss=0.117691 val_loss=0.101475 best=0.101475 es=0/5
[2026-05-20 09:07:56] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=16 architecture=[39] train_loss=0.117141 val_loss=0.101321 best=0.101321 es=0/5
[2026-05-20 09:07:58] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=17 architecture=[39] train_loss=0.117138 val_loss=0.100757 best=0.100757 es=0/5
[2026-05-20 09:08:00] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=18 architecture=[39] train_loss=0.116668 val_loss=0.100456 best=0.100456 es=0/5
[2026-05-20 09:08:03] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=19 architecture=[39] train_loss=0.116338 val_loss=0.100159 best=0.100159 es=0/5
[2026-05-20 09:08:05] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=20 architecture=[39] train_loss=0.116229 val_loss=0.099978 best=0.099978 es=0/5
[2026-05-20 09:08:07] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=21 architecture=[39] train_loss=0.116071 val_loss=0.099652 best=0.099652 es=0/5
[2026-05-20 09:08:09] [autoencoding][ae_alt_width][cand_038_d1_w39] epoch=22 architecture=[39] train_loss=0.116090 val_loss=0.099434 best=0.099434 es=0/5
