[2026-05-16 19:47:01] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 19:47:01] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_048_d2_w50/training_log.txt
[2026-05-16 19:47:01] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_048_d2_w50/training_stats.csv
[2026-05-16 19:47:04] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=1 train_loss=0.031040 val_loss=0.025342 best=0.025342 es=0/5
[2026-05-16 19:47:07] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=2 train_loss=0.023690 val_loss=0.021536 best=0.021536 es=0/5
[2026-05-16 19:47:10] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=3 train_loss=0.022356 val_loss=0.020839 best=0.020839 es=0/5
[2026-05-16 19:47:13] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=4 train_loss=0.021754 val_loss=0.020669 best=0.020669 es=0/5
[2026-05-16 19:47:16] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=5 train_loss=0.022800 val_loss=0.020631 best=0.020669 es=1/5
[2026-05-16 19:47:20] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=6 train_loss=0.021538 val_loss=0.020145 best=0.020145 es=0/5
[2026-05-16 19:47:23] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=7 train_loss=0.021047 val_loss=0.020025 best=0.020025 es=0/5
[2026-05-16 19:47:26] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=8 train_loss=0.021055 val_loss=0.019946 best=0.020025 es=1/5
[2026-05-16 19:47:29] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=9 train_loss=0.022728 val_loss=0.020807 best=0.020025 es=2/5
[2026-05-16 19:47:32] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=10 train_loss=0.021919 val_loss=0.020330 best=0.020025 es=3/5
[2026-05-16 19:47:35] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=11 train_loss=0.021473 val_loss=0.019942 best=0.020025 es=4/5
[2026-05-16 19:47:38] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=12 train_loss=0.020858 val_loss=0.019728 best=0.019728 es=0/5
[2026-05-16 19:47:41] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=13 train_loss=0.020809 val_loss=0.019829 best=0.019728 es=1/5
[2026-05-16 19:47:44] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=14 train_loss=0.020787 val_loss=0.019757 best=0.019728 es=2/5
[2026-05-16 19:47:47] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=15 train_loss=0.020713 val_loss=0.019660 best=0.019728 es=3/5
[2026-05-16 19:47:50] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=16 train_loss=0.020678 val_loss=0.019634 best=0.019728 es=4/5
[2026-05-16 19:47:53] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=17 train_loss=0.020661 val_loss=0.019543 best=0.019543 es=0/5
[2026-05-16 19:47:56] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=18 train_loss=0.020532 val_loss=0.019504 best=0.019543 es=1/5
[2026-05-16 19:47:59] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=19 train_loss=0.020469 val_loss=0.019648 best=0.019543 es=2/5
[2026-05-16 19:48:02] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=20 train_loss=0.020729 val_loss=0.019660 best=0.019543 es=3/5
[2026-05-16 19:48:05] [autoencoding][ae_width_to_depth][cand_048_d2_w50] epoch=21 train_loss=0.020538 val_loss=0.019348 best=0.019348 es=0/5
