task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc,source_root
generation,1,,stl_ablation_r01_d03_w0047_47_47_47,"[47, 47, 47]",9971,1.0082075163662794,10,20,1.0674344854460236,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r02_d03_w0047_47_47_47,"[47, 47, 47]",9971,1.0082831522445523,7,17,1.0674152432188755,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r03_d03_w0047_47_47_47,"[47, 47, 47]",9971,1.0082567618518226,7,17,1.0674284905181386,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r04_d03_w0047_47_47_47,"[47, 47, 47]",9971,1.0082877344866508,9,19,1.067507706851455,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r05_d03_w0047_47_47_47,"[47, 47, 47]",9971,1.008282043411039,6,16,1.067407868382065,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r01_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,1.0082201354793052,3,13,1.0673696242729498,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r02_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,1.0082101347173515,3,13,1.0673429840712971,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r03_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,1.0082364144043099,3,13,1.0673484682187375,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r04_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,1.008185660456838,3,13,1.0673572185265172,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r05_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,1.0081896303009898,3,13,1.0673584695654428,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r01_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,1.008171590498373,3,13,1.0673576453243343,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r02_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,1.0081864413032289,3,13,1.0673325273909011,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r03_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,1.0081719787887644,3,13,1.0673507839639806,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r04_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,1.0081808915220478,3,13,1.067328967355996,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r05_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,1.008230422984934,2,12,1.0673350534681851,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r02_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,1.0081886347984748,2,12,1.0673324577931609,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r03_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,1.0081464330542036,12,22,1.0673717712958386,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r04_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,1.0081948093466355,2,12,1.0673254455853833,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
generation,1,,stl_ablation_r05_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,1.008212592812656,2,12,1.067355116800327,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
