task,depth,candidate_index,width,architecture,parameter_count,log10_parameter_count,selected_for_run
autoencoding,1,1,1,[1],165,2.217484,True
autoencoding,1,2,2,[2],276,2.440909,True
autoencoding,1,3,3,[3],387,2.587711,True
autoencoding,1,4,4,[4],498,2.697229,True
autoencoding,1,5,5,[5],609,2.784617,True
autoencoding,1,6,6,[6],720,2.857332,True
autoencoding,1,7,7,[7],831,2.919601,True
autoencoding,1,8,8,[8],942,2.974051,True
autoencoding,1,9,9,[9],1053,3.022428,True
autoencoding,1,10,18,[18],2052,3.312177,True
autoencoding,1,11,27,[27],3051,3.484442,True
autoencoding,1,12,36,[36],4050,3.607455,True
autoencoding,1,13,45,[45],5049,3.703205,True
autoencoding,1,14,54,[54],6048,3.781612,True
autoencoding,1,15,63,[63],7047,3.848004,True
autoencoding,1,16,72,[72],8046,3.90558,True
autoencoding,1,17,81,[81],9045,3.956409,True
autoencoding,1,18,90,[90],10044,4.001907,True
autoencoding,1,19,180,[180],20034,4.301768,True
autoencoding,1,20,270,[270],30024,4.477469,True
autoencoding,1,21,360,[360],40014,4.602212,True
autoencoding,1,22,450,[450],50004,4.699005,True
autoencoding,1,23,540,[540],59994,4.778108,True
autoencoding,1,24,630,[630],69984,4.844999,True
autoencoding,1,25,720,[720],79974,4.902949,True
autoencoding,1,26,810,[810],89964,4.954069,True
autoencoding,1,27,900,[900],99954,4.9998,True
autoencoding,1,28,1801,[1801],199965,5.300954,True
autoencoding,1,29,2702,[2702],299976,5.477087,True
autoencoding,1,30,3603,[3603],399987,5.602046,True
autoencoding,1,31,4504,[4504],499998,5.698968,True
autoencoding,1,32,5405,[5405],600009,5.778158,True
autoencoding,1,33,6306,[6306],700020,5.84511,True
autoencoding,1,34,7207,[7207],800031,5.903107,True
autoencoding,1,35,8108,[8108],900042,5.954263,True
autoencoding,1,36,9009,[9009],1000053,6.000023,True
autoencoding,1,37,11328,[11328],1257462,6.099495,True
autoencoding,1,38,13648,[13648],1514982,6.180407,True
autoencoding,1,39,15968,[15968],1772502,6.248587,True
autoencoding,1,40,18288,[18288],2030022,6.307501,True
autoencoding,1,41,20608,[20608],2287542,6.359369,True
autoencoding,1,42,22928,[22928],2545062,6.405698,True
autoencoding,1,43,25248,[25248],2802582,6.447558,True
autoencoding,1,44,27568,[27568],3060102,6.485736,True
autoencoding,1,45,29888,[29888],3317622,6.520827,True
autoencoding,2,1,1,"[1, 1]",169,2.227887,True
autoencoding,2,2,2,"[2, 2]",286,2.456366,True
autoencoding,2,3,3,"[3, 3]",405,2.607455,True
autoencoding,2,4,4,"[4, 4]",526,2.720986,True
autoencoding,2,5,5,"[5, 5]",649,2.812245,True
autoencoding,2,6,6,"[6, 6]",774,2.888741,True
autoencoding,2,7,7,"[7, 7]",901,2.954725,True
autoencoding,2,8,8,"[8, 8]",1030,3.012837,True
autoencoding,2,9,15,"[15, 15]",1989,3.298635,True
autoencoding,2,10,22,"[22, 22]",3046,3.48373,True
autoencoding,2,11,28,"[28, 28]",4030,3.605305,True
autoencoding,2,12,34,"[34, 34]",5086,3.706376,True
autoencoding,2,13,39,"[39, 39]",6021,3.779669,True
