task,row_type,phase,architecture,best_val,best_epoch,final_epoch,test_loss,test_acc
simulation,ablation_stl,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",0.040229879319667816,42,47,0.0860501304268837,
simulation,ablation_stl,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",0.005708180367946625,100,105,0.023597270250320435,
simulation,ablation_stl,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",0.0094051044434309,60,65,0.03364395722746849,
simulation,ablation_stl,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",0.00645723519846797,70,75,0.014066517353057861,
simulation,ablation_stl,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",0.014363933354616165,44,49,0.04030528664588928,
simulation,ablation_stl,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",0.003890520893037319,60,65,0.012402419000864029,
simulation,ablation_stl,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",0.004321231506764889,62,67,0.010952843353152275,
simulation,ablation_stl,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",0.0249842070043087,45,50,0.04371839389204979,
simulation,ablation_stl,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",0.00688562635332346,64,69,0.028379278257489204,
simulation,ablation_stl,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",0.005519050173461437,66,71,0.03371576592326164,
simulation,ablation_stl,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",0.004036880098283291,50,55,0.017464712262153625,
simulation,ablation_stl,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",0.0023980611003935337,65,70,0.012133189477026463,
simulation,ablation_stl,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",0.0033031816128641367,49,54,0.01575927436351776,
simulation,ablation_stl,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",0.0031094984151422977,57,62,0.007471420802175999,
