[2026-05-18 05:32:28] Initialized ContinuousLogger for representation_ae_alt_depth (Mode: ae_alt_depth)
[2026-05-18 05:32:28] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_000_d1_w1/training_log.txt
[2026-05-18 05:32:28] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_000_d1_w1/training_stats.csv
[2026-05-18 05:32:28] [CANDIDATE] task=representation phase=ae_alt_depth index=0 search_phase=depth architecture=[1]
[2026-05-18 05:35:41] [representation][ae_alt_depth][cand_000_d1_w1] epoch=71 architecture=[1] train_loss=1.132318 val_loss=1.133292 best=1.133292 es=0/5
[2026-05-18 05:35:44] [representation][ae_alt_depth][cand_000_d1_w1] epoch=72 architecture=[1] train_loss=1.130019 val_loss=1.131257 best=1.131257 es=0/5
[2026-05-18 05:35:46] [representation][ae_alt_depth][cand_000_d1_w1] epoch=73 architecture=[1] train_loss=1.127833 val_loss=1.129217 best=1.129217 es=0/5
[2026-05-18 05:35:49] [representation][ae_alt_depth][cand_000_d1_w1] epoch=74 architecture=[1] train_loss=1.125770 val_loss=1.127285 best=1.127285 es=0/5
[2026-05-18 05:35:52] [representation][ae_alt_depth][cand_000_d1_w1] epoch=75 architecture=[1] train_loss=1.123804 val_loss=1.125115 best=1.125115 es=0/5
[2026-05-18 05:35:55] [representation][ae_alt_depth][cand_000_d1_w1] epoch=76 architecture=[1] train_loss=1.121890 val_loss=1.123434 best=1.123434 es=0/5
[2026-05-18 05:35:57] [representation][ae_alt_depth][cand_000_d1_w1] epoch=77 architecture=[1] train_loss=1.120093 val_loss=1.121549 best=1.121549 es=0/5
[2026-05-18 05:35:59] [representation][ae_alt_depth][cand_000_d1_w1] epoch=78 architecture=[1] train_loss=1.118356 val_loss=1.119796 best=1.119796 es=0/5
[2026-05-18 05:36:01] [representation][ae_alt_depth][cand_000_d1_w1] epoch=79 architecture=[1] train_loss=1.116710 val_loss=1.118216 best=1.118216 es=0/5
[2026-05-18 05:36:05] [representation][ae_alt_depth][cand_000_d1_w1] epoch=80 architecture=[1] train_loss=1.115117 val_loss=1.116763 best=1.116763 es=0/5
[2026-05-18 05:36:07] [representation][ae_alt_depth][cand_000_d1_w1] epoch=81 architecture=[1] train_loss=1.113576 val_loss=1.115378 best=1.115378 es=0/5
[2026-05-18 05:36:09] [representation][ae_alt_depth][cand_000_d1_w1] epoch=82 architecture=[1] train_loss=1.112105 val_loss=1.113938 best=1.113938 es=0/5
[2026-05-18 05:36:12] [representation][ae_alt_depth][cand_000_d1_w1] epoch=83 architecture=[1] train_loss=1.110697 val_loss=1.112471 best=1.112471 es=0/5
[2026-05-18 05:36:14] [representation][ae_alt_depth][cand_000_d1_w1] epoch=84 architecture=[1] train_loss=1.109340 val_loss=1.111308 best=1.111308 es=0/5
[2026-05-18 05:36:17] [representation][ae_alt_depth][cand_000_d1_w1] epoch=85 architecture=[1] train_loss=1.108009 val_loss=1.110056 best=1.110056 es=0/5
