width,depth,neurons,best_val_loss,best_val_acc,best_epoch,epochs_ran,test_loss,test_acc
1,2,3,1.0478523538589477,0.5596,75,85,1.0482559009552002,0.5568
6,2,18,0.4357401652812958,0.8392,74,84,0.45807760615348814,0.8392
11,2,33,0.36171873354911804,0.8844,57,67,0.3995469008922577,0.8664
16,2,48,0.38007601346969605,0.8784,39,49,0.48618316717147825,0.866
21,2,63,0.38188360629081725,0.8712,23,33,0.49388587560653685,0.854
26,2,78,0.3461177240371704,0.8844,26,36,0.46592235651016234,0.8624
