[2026-06-15 07:40:41] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-15 07:40:41] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_279_d3_w94/training_log.txt
[2026-06-15 07:40:41] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_279_d3_w94/training_stats.csv
[2026-06-15 07:40:42] Epoch 1 | architecture=[94, 93, 93] train_loss=0.004819 val_loss=0.003341 best=0.003341 es=0/10
[2026-06-15 07:40:42] Epoch 1 | architecture=[94, 93, 93] train_loss=0.003701 val_loss=0.002338 best=0.002338 es=0/10
[2026-06-15 07:40:42] Epoch 1 | architecture=[94, 93, 93] train_loss=0.003339 val_loss=0.004226 best=0.004226 es=0/10
[2026-06-15 07:40:42] Epoch 1 | architecture=[94, 93, 93] train_loss=0.003374 val_loss=0.003845 best=0.003845 es=0/10
[2026-06-15 07:40:42] Epoch 1 | architecture=[94, 93, 93] train_loss=0.002141 val_loss=0.001290 best=0.001290 es=0/10
[2026-06-15 07:40:43] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001938 val_loss=0.001883 best=0.001883 es=0/10
[2026-06-15 07:40:43] Epoch 1 | architecture=[94, 93, 93] train_loss=0.003727 val_loss=0.001886 best=0.001886 es=0/10
[2026-06-15 07:40:43] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001680 val_loss=0.000927 best=0.000927 es=0/10
[2026-06-15 07:40:43] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001060 val_loss=0.001450 best=0.001450 es=0/10
[2026-06-15 07:40:43] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001153 val_loss=0.001425 best=0.001425 es=0/10
[2026-06-15 07:40:44] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001510 val_loss=0.001035 best=0.001035 es=0/10
[2026-06-15 07:40:44] Epoch 1 | architecture=[94, 93, 93] train_loss=0.002115 val_loss=0.000681 best=0.000681 es=0/10
[2026-06-15 07:40:44] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001051 val_loss=0.000844 best=0.000844 es=0/10
[2026-06-15 07:40:44] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001348 val_loss=0.000662 best=0.000662 es=0/10
[2026-06-15 07:40:45] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001165 val_loss=0.000970 best=0.000970 es=0/10
[2026-06-15 07:40:45] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000802 val_loss=0.000934 best=0.000934 es=0/10
[2026-06-15 07:40:45] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000667 val_loss=0.000568 best=0.000568 es=0/10
[2026-06-15 07:40:45] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001349 val_loss=0.000799 best=0.000799 es=0/10
[2026-06-15 07:40:46] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001624 val_loss=0.000805 best=0.000805 es=0/10
[2026-06-15 07:40:46] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001011 val_loss=0.000789 best=0.000789 es=0/10
[2026-06-15 07:40:46] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001413 val_loss=0.000449 best=0.000449 es=0/10
[2026-06-15 07:40:46] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001619 val_loss=0.000660 best=0.000660 es=0/10
[2026-06-15 07:40:46] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000739 val_loss=0.000870 best=0.000870 es=0/10
[2026-06-15 07:40:47] Epoch 1 | architecture=[94, 93, 93] train_loss=0.001222 val_loss=0.000661 best=0.000661 es=0/10
[2026-06-15 07:40:47] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000523 val_loss=0.000614 best=0.000614 es=0/10
[2026-06-15 07:40:47] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000482 val_loss=0.000526 best=0.000526 es=0/10
[2026-06-15 07:40:47] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000804 val_loss=0.000455 best=0.000455 es=0/10
[2026-06-15 07:40:47] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000678 val_loss=0.000435 best=0.000435 es=0/10
[2026-06-15 07:40:47] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000561 val_loss=0.000454 best=0.000454 es=0/10
[2026-06-15 07:40:48] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000997 val_loss=0.000430 best=0.000430 es=0/10
[2026-06-15 07:40:48] Epoch 1 | architecture=[94, 93, 93] train_loss=0.000650 val_loss=0.000429 best=0.000429 es=0/10
