depth,candidate_dir,architecture,params,best_val,family
1,cand_000_d1_w1,[1],165,0.9550553540734464,ADP
1,cand_001_d1_w2,[2],276,0.913006539590055,ADP
1,cand_002_d1_w4,[4],498,0.8306108183837061,ADP
1,cand_003_d1_w4,[4],498,0.8314911517417217,ADP
1,cand_004_d1_w5,[5],609,0.7947427453275568,ADP
1,cand_005_d1_w6,[6],720,0.7708253370215914,ADP
1,cand_006_d1_w7,[7],831,0.7454392678739569,ADP
1,cand_007_d1_w8,[8],942,0.722740032164415,ADP
1,cand_008_d1_w9,[9],1053,0.7015220589019028,ADP
1,cand_009_d1_w10,[10],1164,0.682072091156151,ADP
1,cand_010_d1_w11,[11],1275,0.6572347084147736,ADP
1,cand_011_d1_w12,[12],1386,0.6375278620253668,ADP
1,cand_012_d1_w13,[13],1497,0.6156269134868823,ADP
1,cand_013_d1_w14,[14],1608,0.5951472303916213,ADP
1,cand_014_d1_w15,[15],1719,0.575503641539409,ADP
1,cand_015_d1_w16,[16],1830,0.5565726111135093,ADP
1,cand_016_d1_w17,[17],1941,0.5350923284538699,ADP
1,cand_017_d1_w18,[18],2052,0.5150973058036595,ADP
1,cand_018_d1_w19,[19],2163,0.4963866090339973,ADP
1,cand_019_d1_w20,[20],2274,0.4767949776273716,ADP
1,cand_020_d1_w21,[21],2385,0.4550085515078799,ADP
1,cand_021_d1_w22,[22],2496,0.4309538069109861,ADP
1,cand_022_d1_w23,[23],2607,0.4128785838182304,ADP
1,cand_023_d1_w24,[24],2718,0.394508958485563,ADP
1,cand_024_d1_w25,[25],2829,0.3746001812085701,ADP
1,cand_025_d1_w26,[26],2940,0.3566681986129956,ADP
1,cand_026_d1_w27,[27],3051,0.33671344171791,ADP
1,cand_027_d1_w28,[28],3162,0.3174984073948116,ADP
1,cand_028_d1_w29,[29],3273,0.2982602561389708,ADP
1,cand_029_d1_w30,[30],3384,0.280104173395987,ADP
1,cand_030_d1_w31,[31],3495,0.2612550364897109,ADP
1,cand_031_d1_w32,[32],3606,0.2412872491548197,ADP
1,cand_032_d1_w33,[33],3717,0.2200368131008376,ADP
1,cand_033_d1_w34,[34],3828,0.2017299763862037,ADP
1,cand_034_d1_w35,[35],3939,0.1818790237927005,ADP
1,cand_035_d1_w36,[36],4050,0.158407813392078,ADP
1,cand_036_d1_w37,[37],4161,0.1385028528407716,ADP
1,cand_037_d1_w38,[38],4272,0.1180729572304327,ADP
1,cand_038_d1_w39,[39],4383,0.0971062957198728,ADP
1,cand_039_d1_w40,[40],4494,0.0816911085183383,ADP
1,cand_040_d1_w41,[41],4605,0.0667350405328298,ADP
1,cand_041_d1_w42,[42],4716,0.0552436474399925,ADP
1,cand_042_d1_w43,[43],4827,0.0434310165952522,ADP
1,cand_043_d1_w44,[44],4938,0.0378599941359387,ADP
1,cand_044_d1_w45,[45],5049,0.0316779862466293,ADP
1,cand_045_d1_w46,[46],5160,0.025737471661587,ADP
1,cand_046_d1_w47,[47],5271,0.020074001722172,ADP
1,cand_047_d1_w48,[48],5382,0.0139283571488057,ADP
1,cand_048_d1_w49,[49],5493,0.0092744263610926,ADP
1,cand_049_d1_w50,[50],5604,0.0062160018484102,ADP
1,cand_050_d1_w51,[51],5715,0.0035066603437581,ADP
1,cand_051_d1_w52,[52],5826,0.0034811108214887,ADP
1,cand_052_d1_w53,[53],5937,0.0033728507187167,ADP
1,cand_053_d1_w54,[54],6048,0.0029703313201989,ADP
1,cand_054_d1_w55,[55],6159,0.0029872144056876,ADP
1,cand_055_d1_w56,[56],6270,0.0028484525703903,ADP
1,cand_056_d1_w57,[57],6381,0.0027803526210524,ADP
1,cand_057_d1_w58,[58],6492,0.0027430851434609,ADP
1,cand_058_d1_w59,[59],6603,0.0027194087017548,ADP
1,cand_059_d1_w60,[60],6714,0.0026408941681547,ADP
1,cand_060_d1_w61,[61],6825,0.0026490694169045,ADP
1,cand_061_d1_w62,[62],6936,0.0025533247567826,ADP
1,cand_062_d1_w63,[63],7047,0.0026078158527421,ADP
1,cand_063_d1_w64,[64],7158,0.002572375064069,ADP
1,cand_064_d1_w65,[65],7269,0.0016416726755192,ADP
1,cand_065_d1_w66,[66],7380,0.001639548673897,ADP
1,cand_066_d1_w67,[67],7491,0.0015935067382184,ADP
1,cand_067_d1_w68,[68],7602,0.0015929399814817,ADP
1,cand_068_d1_w69,[69],7713,0.0014557822209179,ADP
1,cand_069_d1_w70,[70],7824,0.0015185757148821,ADP
1,cand_070_d1_w71,[71],7935,0.001292694265733,ADP
1,cand_071_d1_w72,[72],8046,0.001315688581782,ADP
1,cand_072_d1_w73,[73],8157,0.0013421036991637,ADP
1,cand_073_d1_w74,[74],8268,0.0012199286863727,ADP
1,cand_074_d1_w75,[75],8379,0.0011792647742308,ADP
1,cand_075_d1_w76,[76],8490,0.0011126223057387,ADP
1,cand_076_d1_w77,[77],8601,0.0011564188378117,ADP
1,cand_077_d1_w78,[78],8712,0.001198761065257,ADP
1,cand_078_d1_w79,[79],8823,0.0010496996250401,ADP
1,cand_079_d1_w80,[80],8934,0.0010978523882826,ADP
1,cand_080_d1_w81,[81],9045,0.0011117496752507,ADP
1,cand_081_d1_w82,[82],9156,0.0010752302171555,ADP
1,cand_082_d1_w83,[83],9267,0.0010183374597162,ADP
1,cand_083_d1_w84,[84],9378,0.001063722320295,ADP
1,cand_084_d1_w85,[85],9489,0.0010016823714604,ADP
1,cand_085_d1_w86,[86],9600,0.00093714254136,ADP
1,cand_086_d1_w87,[87],9711,0.0009312520421633,ADP
1,cand_087_d1_w88,[88],9822,0.0009280304083363,ADP
1,cand_088_d1_w89,[89],9933,0.0009476441703507,ADP
1,cand_089_d1_w90,[90],10044,0.000931594319889,ADP
1,cand_090_d1_w91,[91],10155,0.0009037830570147,ADP
1,cand_091_d1_w92,[92],10266,0.0009003720850787,ADP
1,cand_092_d1_w93,[93],10377,0.0009481899708407,ADP
1,cand_093_d1_w94,[94],10488,0.000882487659001,ADP
1,cand_094_d1_w95,[95],10599,0.0008130057158612,ADP
1,cand_095_d1_w96,[96],10710,0.000845687346805,ADP
1,cand_096_d1_w97,[97],10821,0.0008585345797315,ADP
1,cand_097_d1_w98,[98],10932,0.0008133652703993,ADP
1,cand_098_d1_w99,[99],11043,0.0008900143265322,ADP
1,cand_099_d1_w100,[100],11154,0.0007730631342632,ADP
1,cand_100_d1_w101,[101],11265,0.0007920565100261,ADP
1,cand_101_d1_w102,[102],11376,0.0007397252712683,ADP
1,cand_102_d1_w103,[103],11487,0.0007439295460427,ADP
1,cand_103_d1_w104,[104],11598,0.000749769308816,ADP
1,cand_104_d1_w105,[105],11709,0.0007420065575261,ADP
2,cand_000_d2_w1,"[1, 1]",169,0.982657465565888,ADP
2,cand_001_d2_w2,"[2, 1]",227,0.9647368663254072,ADP
2,cand_002_d2_w3,"[3, 2]",345,0.9121417740489388,ADP
2,cand_003_d2_w3,"[3, 3]",405,0.8800240148560495,ADP
2,cand_004_d2_w4,"[4, 3]",465,0.870067502842477,ADP
