depth,architecture,params,best_val
1,[1],165,0.9550553540734464
1,[2],276,0.913006539590055
1,[4],498,0.8306108183837061
1,[4],498,0.8314911517417217
1,[5],609,0.7947427453275568
1,[6],720,0.7708253370215914
1,[7],831,0.7454392678739569
1,[8],942,0.722740032164415
1,[9],1053,0.7015220589019028
1,[10],1164,0.682072091156151
1,[11],1275,0.6572347084147736
1,[12],1386,0.6375278620253668
1,[13],1497,0.6156269134868823
1,[14],1608,0.5951472303916213
1,[15],1719,0.575503641539409
1,[16],1830,0.5565726111135093
1,[17],1941,0.5350923284538699
1,[18],2052,0.5150973058036595
1,[19],2163,0.4963866090339973
1,[20],2274,0.4767949776273716
1,[21],2385,0.4550085515078799
1,[22],2496,0.4309538069109861
1,[23],2607,0.4128785838182304
1,[24],2718,0.394508958485563
1,[25],2829,0.3746001812085701
1,[26],2940,0.3566681986129956
1,[27],3051,0.33671344171791
1,[28],3162,0.3174984073948116
1,[29],3273,0.2982602561389708
1,[30],3384,0.280104173395987
1,[31],3495,0.2612550364897109
1,[32],3606,0.2412872491548197
1,[33],3717,0.2200368131008376
1,[34],3828,0.2017299763862037
1,[35],3939,0.1818790237927005
1,[36],4050,0.158407813392078
1,[37],4161,0.1385028528407716
1,[38],4272,0.1180729572304327
1,[39],4383,0.0971062957198728
1,[40],4494,0.0816911085183383
1,[41],4605,0.0667350405328298
1,[42],4716,0.0552436474399925
1,[43],4827,0.0434310165952522
1,[44],4938,0.0378599941359387
1,[45],5049,0.0316779862466293
1,[46],5160,0.025737471661587
1,[47],5271,0.020074001722172
1,[48],5382,0.0139283571488057
1,[49],5493,0.0092744263610926
1,[50],5604,0.0062160018484102
1,[51],5715,0.0035066603437581
1,[52],5826,0.0034811108214887
1,[53],5937,0.0033728507187167
1,[54],6048,0.0029703313201989
1,[55],6159,0.0029872144056876
1,[56],6270,0.0028484525703903
1,[57],6381,0.0027803526210524
1,[58],6492,0.0027430851434609
1,[59],6603,0.0027194087017548
1,[60],6714,0.0026408941681547
1,[61],6825,0.0026490694169045
1,[62],6936,0.0025533247567826
1,[63],7047,0.0026078158527421
1,[64],7158,0.002572375064069
