[2026-05-16 17:48:11] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 17:48:11] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_012_d2_w14/training_log.txt
[2026-05-16 17:48:11] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_012_d2_w14/training_stats.csv
[2026-05-16 17:48:14] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=1 train_loss=0.655028 val_loss=0.638174 best=0.638174 es=0/5
[2026-05-16 17:48:16] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=2 train_loss=0.625036 val_loss=0.626073 best=0.626073 es=0/5
[2026-05-16 17:48:19] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=3 train_loss=0.617032 val_loss=0.621209 best=0.621209 es=0/5
[2026-05-16 17:48:21] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=4 train_loss=0.613396 val_loss=0.618308 best=0.618308 es=0/5
[2026-05-16 17:48:23] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=5 train_loss=0.611123 val_loss=0.616408 best=0.616408 es=0/5
[2026-05-16 17:48:26] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=6 train_loss=0.609262 val_loss=0.614767 best=0.614767 es=0/5
[2026-05-16 17:48:28] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=7 train_loss=0.607698 val_loss=0.613271 best=0.613271 es=0/5
[2026-05-16 17:48:31] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=8 train_loss=0.606240 val_loss=0.611841 best=0.611841 es=0/5
[2026-05-16 17:48:33] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=9 train_loss=0.604804 val_loss=0.610474 best=0.610474 es=0/5
[2026-05-16 17:48:35] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=10 train_loss=0.603458 val_loss=0.609086 best=0.609086 es=0/5
[2026-05-16 17:48:38] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=11 train_loss=0.602045 val_loss=0.607748 best=0.607748 es=0/5
[2026-05-16 17:48:40] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=12 train_loss=0.600669 val_loss=0.606462 best=0.606462 es=0/5
[2026-05-16 17:48:42] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=13 train_loss=0.599499 val_loss=0.605272 best=0.605272 es=0/5
[2026-05-16 17:48:45] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=14 train_loss=0.598346 val_loss=0.604194 best=0.604194 es=0/5
[2026-05-16 17:48:47] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=15 train_loss=0.597331 val_loss=0.603303 best=0.603303 es=0/5
[2026-05-16 17:48:50] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=16 train_loss=0.596487 val_loss=0.602517 best=0.602517 es=0/5
[2026-05-16 17:48:52] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=17 train_loss=0.595760 val_loss=0.601847 best=0.601847 es=0/5
[2026-05-16 17:48:55] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=18 train_loss=0.595173 val_loss=0.601402 best=0.601402 es=0/5
[2026-05-16 17:48:57] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=19 train_loss=0.594722 val_loss=0.600852 best=0.600852 es=0/5
[2026-05-16 17:48:59] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=20 train_loss=0.594295 val_loss=0.600510 best=0.600510 es=0/5
[2026-05-16 17:49:02] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=21 train_loss=0.593969 val_loss=0.600231 best=0.600231 es=0/5
[2026-05-16 17:49:04] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=22 train_loss=0.593692 val_loss=0.599988 best=0.599988 es=0/5
[2026-05-16 17:49:06] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=23 train_loss=0.593557 val_loss=0.599873 best=0.599873 es=0/5
[2026-05-16 17:49:09] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=24 train_loss=0.593395 val_loss=0.599681 best=0.599681 es=0/5
[2026-05-16 17:49:11] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=25 train_loss=0.593285 val_loss=0.599563 best=0.599563 es=0/5
[2026-05-16 17:49:14] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=26 train_loss=0.593208 val_loss=0.599558 best=0.599563 es=1/5
[2026-05-16 17:49:16] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=27 train_loss=0.593124 val_loss=0.599400 best=0.599400 es=0/5
[2026-05-16 17:49:18] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=28 train_loss=0.593048 val_loss=0.599373 best=0.599400 es=1/5
[2026-05-16 17:49:21] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=29 train_loss=0.592986 val_loss=0.599294 best=0.599294 es=0/5
[2026-05-16 17:49:23] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=30 train_loss=0.592942 val_loss=0.599202 best=0.599294 es=1/5
[2026-05-16 17:49:26] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=31 train_loss=0.592854 val_loss=0.599133 best=0.599133 es=0/5
[2026-05-16 17:49:28] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=32 train_loss=0.592790 val_loss=0.599053 best=0.599133 es=1/5
[2026-05-16 17:49:30] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=33 train_loss=0.592708 val_loss=0.598974 best=0.598974 es=0/5
[2026-05-16 17:49:33] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=34 train_loss=0.592615 val_loss=0.598924 best=0.598974 es=1/5
[2026-05-16 17:49:35] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=35 train_loss=0.592629 val_loss=0.598833 best=0.598833 es=0/5
[2026-05-16 17:49:38] [autoencoding][ae_width_to_depth][cand_012_d2_w14] epoch=36 train_loss=0.592525 val_loss=0.598823 best=0.598833 es=1/5
