task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
generation,ae_width_only,width_only,0.00018974987784796003,31,31,,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d1/generation/ae_width_only/cand_055_d1_w57/checkpoint_best.pt,cand_055_d1_w57
generation,stl_from_ae_width_only,stl_refit,1.008484963963371,29,39,1.0676396250636566,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d1/generation/stl_from_ae_width_only/cand_000_d1_w57/checkpoint_best.pt,cand_000_d1_w57
