[2026-05-16 11:04:19] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 11:04:19] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_015_d2_w17/training_log.txt
[2026-05-16 11:04:19] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_015_d2_w17/training_stats.csv
[2026-05-16 11:04:22] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=1 train_loss=0.569648 val_loss=0.564418 best=0.564418 es=0/5
[2026-05-16 11:04:24] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=2 train_loss=0.558217 val_loss=0.560261 best=0.560261 es=0/5
[2026-05-16 11:04:27] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=3 train_loss=0.554539 val_loss=0.557732 best=0.557732 es=0/5
[2026-05-16 11:04:29] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=4 train_loss=0.552297 val_loss=0.555753 best=0.555753 es=0/5
[2026-05-16 11:04:32] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=5 train_loss=0.550661 val_loss=0.554045 best=0.554045 es=0/5
[2026-05-16 11:04:34] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=6 train_loss=0.548959 val_loss=0.552066 best=0.552066 es=0/5
[2026-05-16 11:04:37] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=7 train_loss=0.546967 val_loss=0.549899 best=0.549899 es=0/5
[2026-05-16 11:04:39] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=8 train_loss=0.544978 val_loss=0.547601 best=0.547601 es=0/5
[2026-05-16 11:04:42] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=9 train_loss=0.542951 val_loss=0.545397 best=0.545397 es=0/5
[2026-05-16 11:04:44] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=10 train_loss=0.540940 val_loss=0.543178 best=0.543178 es=0/5
[2026-05-16 11:04:47] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=11 train_loss=0.539224 val_loss=0.541392 best=0.541392 es=0/5
[2026-05-16 11:04:49] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=12 train_loss=0.537838 val_loss=0.540013 best=0.540013 es=0/5
[2026-05-16 11:04:52] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=13 train_loss=0.537062 val_loss=0.539106 best=0.539106 es=0/5
[2026-05-16 11:04:54] [representation][ae_width_to_depth][cand_015_d2_w17] epoch=14 train_loss=0.536351 val_loss=0.538528 best=0.538528 es=0/5
