task,row_type,phase,architecture,best_val,best_epoch,final_epoch,test_loss,test_acc
control,ablation_stl,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",2.012927532196045,55,60,9.26118278503418,
control,ablation_stl,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",2.001102924346924,48,53,9.147881507873535,
control,ablation_stl,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",2.00235652923584,53,58,9.193193435668945,
control,ablation_stl,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",1.9963102340698242,54,59,9.148246765136719,
control,ablation_stl,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",1.9997622966766357,37,42,9.20654582977295,
control,ablation_stl,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",2.009866952896118,37,42,9.231534004211426,
control,ablation_stl,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",1.9986793994903564,35,40,9.229398727416992,
control,ablation_stl,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",1.9974583387374878,63,68,9.186440467834473,
control,ablation_stl,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",2.004572629928589,42,47,9.185626029968262,
control,ablation_stl,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",2.0047409534454346,39,44,9.260360717773438,
control,ablation_stl,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",2.0135247707366943,42,47,9.428171157836914,
control,ablation_stl,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",2.011190176010132,37,42,9.509190559387207,
control,ablation_stl,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",2.011636257171631,34,39,9.415543556213379,
control,ablation_stl,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",2.0095670223236084,33,38,9.426695823669434,
control,ablation_stl,stl_ablation_d06_w064_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64]",2.1237645149230957,2,7,9.482996940612793,
control,ablation_stl,stl_ablation_d06_w096_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96]",2.00288724899292,63,68,9.232109069824219,
control,ablation_stl,stl_ablation_d06_w128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128]",2.001980781555176,52,57,9.352481842041016,
control,ablation_stl,stl_ablation_d06_w160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160]",1.9916836023330688,44,49,9.365090370178223,
control,ablation_stl,stl_ablation_d06_w192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192]",2.0224461555480957,41,46,9.387832641601562,
control,ablation_stl,stl_ablation_d06_w224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224]",1.9730201959609985,47,52,9.40931224822998,
control,ablation_stl,stl_ablation_d06_w256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256]",2.0010247230529785,36,41,9.378437995910645,
control,ablation_stl,stl_ablation_d08_w064_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64]",2.023608684539795,47,52,9.399107933044434,
control,ablation_stl,stl_ablation_d08_w096_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96]",2.009432554244995,41,46,9.40274715423584,
control,ablation_stl,stl_ablation_d08_w128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128]",2.008643865585327,48,53,9.367685317993164,
control,ablation_stl,stl_ablation_d08_w160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160]",2.00941801071167,38,43,9.394067764282227,
control,ablation_stl,stl_ablation_d08_w192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192]",2.119697332382202,1,6,9.476484298706055,
control,ablation_stl,stl_ablation_d08_w224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224]",2.117502212524414,6,11,9.472898483276367,
control,ablation_stl,stl_ablation_d08_w256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256]",2.0138368606567383,38,43,9.392542839050293,
control,ablation_stl,stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",2.0114028453826904,46,51,9.367362976074219,
control,ablation_stl,stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",2.118680715560913,1,6,9.47066593170166,
control,ablation_stl,stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",2.118938446044922,5,10,9.472579002380371,
control,ablation_stl,stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]",2.118657112121582,1,6,9.470514297485352,
control,ablation_stl,stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]",2.0197806358337402,40,45,9.422179222106934,
control,ablation_stl,stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]",2.1210169792175293,3,8,9.479288101196289,
control,ablation_stl,stl_ablation_d10_w256_256_256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",2.119584798812866,1,6,9.476425170898438,
