[2026-05-24 07:53:04] Initialized ContinuousLogger for denoising_ae_alt_width (Mode: ae_alt_width)
[2026-05-24 07:53:04] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_alt_width/cand_033_d1_w34/training_log.txt
[2026-05-24 07:53:04] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_alt_width/cand_033_d1_w34/training_stats.csv
[2026-05-24 07:53:04] [CANDIDATE] task=denoising phase=ae_alt_width index=33 search_phase=width architecture=[34]
[2026-05-24 07:53:06] [denoising][ae_alt_width][cand_033_d1_w34] epoch=1 architecture=[34] train_loss=0.236025 val_loss=0.226919 candidate_best=0.226919 global_best=0.226919 es=0/5
[2026-05-24 07:53:09] [denoising][ae_alt_width][cand_033_d1_w34] epoch=2 architecture=[34] train_loss=0.230387 val_loss=0.226107 candidate_best=0.226107 global_best=0.226107 es=0/5
[2026-05-24 07:53:11] [denoising][ae_alt_width][cand_033_d1_w34] epoch=3 architecture=[34] train_loss=0.229829 val_loss=0.225806 candidate_best=0.225806 global_best=0.225806 es=0/5
[2026-05-24 07:53:14] [denoising][ae_alt_width][cand_033_d1_w34] epoch=4 architecture=[34] train_loss=0.229629 val_loss=0.225973 candidate_best=0.225806 global_best=0.225806 es=1/5
[2026-05-24 07:53:17] [denoising][ae_alt_width][cand_033_d1_w34] epoch=5 architecture=[34] train_loss=0.229359 val_loss=0.225646 candidate_best=0.225646 global_best=0.225646 es=0/5
[2026-05-24 07:53:20] [denoising][ae_alt_width][cand_033_d1_w34] epoch=6 architecture=[34] train_loss=0.229337 val_loss=0.225742 candidate_best=0.225646 global_best=0.225646 es=1/5
[2026-05-24 07:53:23] [denoising][ae_alt_width][cand_033_d1_w34] epoch=7 architecture=[34] train_loss=0.229216 val_loss=0.225617 candidate_best=0.225646 global_best=0.225646 es=2/5
[2026-05-24 07:53:26] [denoising][ae_alt_width][cand_033_d1_w34] epoch=8 architecture=[34] train_loss=0.229080 val_loss=0.225401 candidate_best=0.225401 global_best=0.225401 es=0/5
[2026-05-24 07:53:29] [denoising][ae_alt_width][cand_033_d1_w34] epoch=9 architecture=[34] train_loss=0.229102 val_loss=0.225439 candidate_best=0.225401 global_best=0.225401 es=1/5
[2026-05-24 07:53:32] [denoising][ae_alt_width][cand_033_d1_w34] epoch=10 architecture=[34] train_loss=0.228952 val_loss=0.225543 candidate_best=0.225401 global_best=0.225401 es=2/5
[2026-05-24 07:53:35] [denoising][ae_alt_width][cand_033_d1_w34] epoch=11 architecture=[34] train_loss=0.228927 val_loss=0.225659 candidate_best=0.225401 global_best=0.225401 es=3/5
[2026-05-24 07:53:38] [denoising][ae_alt_width][cand_033_d1_w34] epoch=12 architecture=[34] train_loss=0.228911 val_loss=0.225534 candidate_best=0.225401 global_best=0.225401 es=4/5
[2026-05-24 07:53:41] [denoising][ae_alt_width][cand_033_d1_w34] epoch=13 architecture=[34] train_loss=0.228820 val_loss=0.225355 candidate_best=0.225401 global_best=0.225401 es=5/5
