task,depth,candidate_index,width,architecture,parameter_count,log10_parameter_count,selected_for_run
denoising,1,1,1,[1],165,2.217484,True
denoising,1,2,2,[2],276,2.440909,True
denoising,1,3,3,[3],387,2.587711,True
denoising,1,4,4,[4],498,2.697229,True
denoising,1,5,5,[5],609,2.784617,True
denoising,1,6,6,[6],720,2.857332,True
denoising,1,7,7,[7],831,2.919601,True
denoising,1,8,8,[8],942,2.974051,True
denoising,1,9,9,[9],1053,3.022428,True
denoising,1,10,18,[18],2052,3.312177,True
denoising,1,11,27,[27],3051,3.484442,True
denoising,1,12,36,[36],4050,3.607455,True
denoising,1,13,45,[45],5049,3.703205,True
denoising,1,14,54,[54],6048,3.781612,True
denoising,1,15,63,[63],7047,3.848004,True
denoising,1,16,72,[72],8046,3.90558,True
denoising,1,17,81,[81],9045,3.956409,True
denoising,1,18,90,[90],10044,4.001907,True
denoising,1,19,180,[180],20034,4.301768,True
denoising,1,20,270,[270],30024,4.477469,True
denoising,1,21,360,[360],40014,4.602212,True
denoising,1,22,450,[450],50004,4.699005,True
denoising,1,23,540,[540],59994,4.778108,True
denoising,1,24,630,[630],69984,4.844999,True
denoising,1,25,720,[720],79974,4.902949,True
denoising,1,26,810,[810],89964,4.954069,True
denoising,1,27,900,[900],99954,4.9998,True
denoising,1,28,1801,[1801],199965,5.300954,True
denoising,1,29,2702,[2702],299976,5.477087,True
denoising,1,30,3603,[3603],399987,5.602046,True
denoising,1,31,4504,[4504],499998,5.698968,True
denoising,1,32,5405,[5405],600009,5.778158,True
denoising,1,33,6306,[6306],700020,5.84511,True
denoising,1,34,7207,[7207],800031,5.903107,True
denoising,1,35,8108,[8108],900042,5.954263,True
denoising,1,36,9009,[9009],1000053,6.000023,True
denoising,1,37,12125,[12125],1345929,6.129022,True
denoising,1,38,15241,[15241],1691805,6.22835,True
denoising,1,39,18358,[18358],2037792,6.30916,True
denoising,1,40,21474,[21474],2383668,6.377246,True
denoising,1,41,24590,[24590],2729544,6.43609,True
denoising,1,42,27707,[27707],3075531,6.48792,True
denoising,1,43,30823,[30823],3421407,6.534205,True
denoising,1,44,32769,[32769],3637413,6.560793,True
denoising,1,45,37056,[37056],4113270,6.614187,True
denoising,2,1,1,"[1, 1]",169,2.227887,True
denoising,2,2,2,"[2, 2]",286,2.456366,True
denoising,2,3,3,"[3, 3]",405,2.607455,True
denoising,2,4,4,"[4, 4]",526,2.720986,True
denoising,2,5,5,"[5, 5]",649,2.812245,True
