[2026-05-20 09:13:48] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 09:13:48] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_042_d1_w43/training_log.txt
[2026-05-20 09:13:48] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_042_d1_w43/training_stats.csv
[2026-05-20 09:13:48] [CANDIDATE] task=autoencoding phase=ae_alt_width index=42 search_phase=width architecture=[43]
[2026-05-20 09:13:50] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=1 architecture=[43] train_loss=0.074088 val_loss=0.054675 best=0.054008 es=0/5
[2026-05-20 09:13:52] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=2 architecture=[43] train_loss=0.072857 val_loss=0.054242 best=0.054008 es=0/5
[2026-05-20 09:13:54] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=3 architecture=[43] train_loss=0.072326 val_loss=0.053972 best=0.053972 es=0/5
[2026-05-20 09:13:56] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=4 architecture=[43] train_loss=0.072067 val_loss=0.053691 best=0.053691 es=0/5
[2026-05-20 09:13:59] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=5 architecture=[43] train_loss=0.071739 val_loss=0.053445 best=0.053445 es=0/5
[2026-05-20 09:14:01] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=6 architecture=[43] train_loss=0.071483 val_loss=0.052998 best=0.052998 es=0/5
[2026-05-20 09:14:03] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=7 architecture=[43] train_loss=0.070682 val_loss=0.052360 best=0.052360 es=0/5
[2026-05-20 09:14:05] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=8 architecture=[43] train_loss=0.069783 val_loss=0.051605 best=0.051605 es=0/5
[2026-05-20 09:14:07] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=9 architecture=[43] train_loss=0.068782 val_loss=0.050730 best=0.050730 es=0/5
[2026-05-20 09:14:09] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=10 architecture=[43] train_loss=0.067845 val_loss=0.049915 best=0.049915 es=0/5
[2026-05-20 09:14:11] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=11 architecture=[43] train_loss=0.066916 val_loss=0.049234 best=0.049234 es=0/5
[2026-05-20 09:14:14] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=12 architecture=[43] train_loss=0.066163 val_loss=0.048581 best=0.048581 es=0/5
[2026-05-20 09:14:16] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=13 architecture=[43] train_loss=0.065677 val_loss=0.048162 best=0.048162 es=0/5
[2026-05-20 09:14:18] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=14 architecture=[43] train_loss=0.065188 val_loss=0.047662 best=0.047662 es=0/5
[2026-05-20 09:14:20] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=15 architecture=[43] train_loss=0.064534 val_loss=0.047163 best=0.047163 es=0/5
[2026-05-20 09:14:22] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=16 architecture=[43] train_loss=0.064072 val_loss=0.046721 best=0.046721 es=0/5
[2026-05-20 09:14:24] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=17 architecture=[43] train_loss=0.063578 val_loss=0.046347 best=0.046347 es=0/5
[2026-05-20 09:14:27] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=18 architecture=[43] train_loss=0.063197 val_loss=0.045928 best=0.045928 es=0/5
[2026-05-20 09:14:29] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=19 architecture=[43] train_loss=0.062687 val_loss=0.045648 best=0.045648 es=0/5
[2026-05-20 09:14:31] [autoencoding][ae_alt_width][cand_042_d1_w43] epoch=20 architecture=[43] train_loss=0.062513 val_loss=0.045374 best=0.045374 es=0/5
