[2026-05-20 08:44:22] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 08:44:22] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_017_d1_w18/training_log.txt
[2026-05-20 08:44:22] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_017_d1_w18/training_stats.csv
[2026-05-20 08:44:22] [CANDIDATE] task=autoencoding phase=ae_alt_width index=17 search_phase=width architecture=[18]
[2026-05-20 08:44:24] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=1 architecture=[18] train_loss=0.529856 val_loss=0.535077 best=0.535077 es=0/5
[2026-05-20 08:44:27] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=2 architecture=[18] train_loss=0.526864 val_loss=0.532970 best=0.532970 es=0/5
[2026-05-20 08:44:29] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=3 architecture=[18] train_loss=0.524798 val_loss=0.530985 best=0.530985 es=0/5
[2026-05-20 08:44:31] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=4 architecture=[18] train_loss=0.522739 val_loss=0.528880 best=0.528880 es=0/5
[2026-05-20 08:44:33] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=5 architecture=[18] train_loss=0.520579 val_loss=0.526738 best=0.526738 es=0/5
[2026-05-20 08:44:35] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=6 architecture=[18] train_loss=0.518484 val_loss=0.524712 best=0.524712 es=0/5
[2026-05-20 08:44:37] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=7 architecture=[18] train_loss=0.516557 val_loss=0.522910 best=0.522910 es=0/5
[2026-05-20 08:44:39] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=8 architecture=[18] train_loss=0.514959 val_loss=0.521503 best=0.521503 es=0/5
[2026-05-20 08:44:41] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=9 architecture=[18] train_loss=0.513661 val_loss=0.520381 best=0.520381 es=0/5
[2026-05-20 08:44:43] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=10 architecture=[18] train_loss=0.512659 val_loss=0.519587 best=0.519587 es=0/5
[2026-05-20 08:44:45] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=11 architecture=[18] train_loss=0.511907 val_loss=0.518972 best=0.518972 es=0/5
[2026-05-20 08:44:47] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=12 architecture=[18] train_loss=0.511361 val_loss=0.518486 best=0.518486 es=0/5
[2026-05-20 08:44:49] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=13 architecture=[18] train_loss=0.510936 val_loss=0.518166 best=0.518166 es=0/5
[2026-05-20 08:44:52] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=14 architecture=[18] train_loss=0.510651 val_loss=0.517924 best=0.517924 es=0/5
[2026-05-20 08:44:54] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=15 architecture=[18] train_loss=0.510448 val_loss=0.517740 best=0.517740 es=0/5
[2026-05-20 08:44:56] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=16 architecture=[18] train_loss=0.510286 val_loss=0.517573 best=0.517573 es=0/5
[2026-05-20 08:44:58] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=17 architecture=[18] train_loss=0.510169 val_loss=0.517471 best=0.517471 es=0/5
[2026-05-20 08:45:00] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=18 architecture=[18] train_loss=0.510064 val_loss=0.517387 best=0.517471 es=1/5
[2026-05-20 08:45:02] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=19 architecture=[18] train_loss=0.510002 val_loss=0.517388 best=0.517471 es=2/5
[2026-05-20 08:45:04] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=20 architecture=[18] train_loss=0.509940 val_loss=0.517302 best=0.517302 es=0/5
[2026-05-20 08:45:06] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=21 architecture=[18] train_loss=0.509881 val_loss=0.517281 best=0.517302 es=1/5
[2026-05-20 08:45:08] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=22 architecture=[18] train_loss=0.509831 val_loss=0.517254 best=0.517302 es=2/5
[2026-05-20 08:45:10] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=23 architecture=[18] train_loss=0.509802 val_loss=0.517231 best=0.517302 es=3/5
[2026-05-20 08:45:12] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=24 architecture=[18] train_loss=0.509764 val_loss=0.517189 best=0.517189 es=0/5
[2026-05-20 08:45:14] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=25 architecture=[18] train_loss=0.509729 val_loss=0.517165 best=0.517189 es=1/5
[2026-05-20 08:45:17] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=26 architecture=[18] train_loss=0.509702 val_loss=0.517124 best=0.517189 es=2/5
[2026-05-20 08:45:19] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=27 architecture=[18] train_loss=0.509694 val_loss=0.517164 best=0.517189 es=3/5
[2026-05-20 08:45:21] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=28 architecture=[18] train_loss=0.509640 val_loss=0.517139 best=0.517189 es=4/5
[2026-05-20 08:45:23] [autoencoding][ae_alt_width][cand_017_d1_w18] epoch=29 architecture=[18] train_loss=0.509625 val_loss=0.517134 best=0.517189 es=5/5
