[2026-05-18 03:23:31] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 03:23:31] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_199_d1_w200/training_log.txt
[2026-05-18 03:23:31] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_199_d1_w200/training_stats.csv
[2026-05-18 03:23:31] [CANDIDATE] task=representation phase=ae_alt_width index=199 search_phase=width architecture=[200]
[2026-05-18 03:23:39] [representation][ae_alt_width][cand_199_d1_w200] epoch=1 architecture=[200] train_loss=0.327650 val_loss=0.301630 best=0.293833 es=0/5
[2026-05-18 03:23:41] [representation][ae_alt_width][cand_199_d1_w200] epoch=2 architecture=[200] train_loss=0.292234 val_loss=0.295961 best=0.293833 es=0/5
[2026-05-18 03:23:44] [representation][ae_alt_width][cand_199_d1_w200] epoch=3 architecture=[200] train_loss=0.289009 val_loss=0.295496 best=0.293833 es=0/5
[2026-05-18 03:23:46] [representation][ae_alt_width][cand_199_d1_w200] epoch=4 architecture=[200] train_loss=0.289108 val_loss=0.298073 best=0.293833 es=1/5
[2026-05-18 03:23:53] [representation][ae_alt_width][cand_199_d1_w200] epoch=5 architecture=[200] train_loss=0.289746 val_loss=0.297721 best=0.293833 es=2/5
[2026-05-18 03:23:56] [representation][ae_alt_width][cand_199_d1_w200] epoch=6 architecture=[200] train_loss=0.289977 val_loss=0.296077 best=0.293833 es=3/5
[2026-05-18 03:23:58] [representation][ae_alt_width][cand_199_d1_w200] epoch=7 architecture=[200] train_loss=0.289200 val_loss=0.295329 best=0.293833 es=0/5
[2026-05-18 03:24:01] [representation][ae_alt_width][cand_199_d1_w200] epoch=8 architecture=[200] train_loss=0.287877 val_loss=0.293798 best=0.293798 es=0/5
[2026-05-18 03:24:03] [representation][ae_alt_width][cand_199_d1_w200] epoch=9 architecture=[200] train_loss=0.287371 val_loss=0.295802 best=0.293798 es=1/5
[2026-05-18 03:24:11] [representation][ae_alt_width][cand_199_d1_w200] epoch=10 architecture=[200] train_loss=0.288843 val_loss=0.294959 best=0.293798 es=2/5
[2026-05-18 03:24:13] [representation][ae_alt_width][cand_199_d1_w200] epoch=11 architecture=[200] train_loss=0.287458 val_loss=0.298562 best=0.293798 es=3/5
[2026-05-18 03:24:16] [representation][ae_alt_width][cand_199_d1_w200] epoch=12 architecture=[200] train_loss=0.290189 val_loss=0.300712 best=0.293798 es=4/5
[2026-05-18 03:24:18] [representation][ae_alt_width][cand_199_d1_w200] epoch=13 architecture=[200] train_loss=0.288875 val_loss=0.294623 best=0.293798 es=5/5
