[2026-05-20 08:47:43] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 08:47:43] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_020_d1_w21/training_log.txt
[2026-05-20 08:47:43] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_020_d1_w21/training_stats.csv
[2026-05-20 08:47:43] [CANDIDATE] task=autoencoding phase=ae_alt_width index=20 search_phase=width architecture=[21]
[2026-05-20 08:47:45] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=1 architecture=[21] train_loss=0.475842 val_loss=0.480131 best=0.478711 es=0/5
[2026-05-20 08:47:47] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=2 architecture=[21] train_loss=0.471308 val_loss=0.477144 best=0.477144 es=0/5
[2026-05-20 08:47:49] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=3 architecture=[21] train_loss=0.468450 val_loss=0.474363 best=0.474363 es=0/5
[2026-05-20 08:47:51] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=4 architecture=[21] train_loss=0.466140 val_loss=0.472036 best=0.472036 es=0/5
[2026-05-20 08:47:53] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=5 architecture=[21] train_loss=0.464035 val_loss=0.469903 best=0.469903 es=0/5
[2026-05-20 08:47:55] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=6 architecture=[21] train_loss=0.462094 val_loss=0.467841 best=0.467841 es=0/5
[2026-05-20 08:47:58] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=7 architecture=[21] train_loss=0.460333 val_loss=0.466059 best=0.466059 es=0/5
[2026-05-20 08:48:00] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=8 architecture=[21] train_loss=0.458737 val_loss=0.464446 best=0.464446 es=0/5
[2026-05-20 08:48:02] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=9 architecture=[21] train_loss=0.457371 val_loss=0.462988 best=0.462988 es=0/5
[2026-05-20 08:48:04] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=10 architecture=[21] train_loss=0.456230 val_loss=0.461825 best=0.461825 es=0/5
[2026-05-20 08:48:06] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=11 architecture=[21] train_loss=0.455348 val_loss=0.460973 best=0.460973 es=0/5
[2026-05-20 08:48:08] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=12 architecture=[21] train_loss=0.454664 val_loss=0.460347 best=0.460347 es=0/5
[2026-05-20 08:48:10] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=13 architecture=[21] train_loss=0.454159 val_loss=0.459946 best=0.459946 es=0/5
[2026-05-20 08:48:12] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=14 architecture=[21] train_loss=0.453767 val_loss=0.459546 best=0.459546 es=0/5
[2026-05-20 08:48:14] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=15 architecture=[21] train_loss=0.453496 val_loss=0.459298 best=0.459298 es=0/5
[2026-05-20 08:48:16] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=16 architecture=[21] train_loss=0.453298 val_loss=0.459041 best=0.459041 es=0/5
[2026-05-20 08:48:18] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=17 architecture=[21] train_loss=0.453142 val_loss=0.458922 best=0.458922 es=0/5
[2026-05-20 08:48:21] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=18 architecture=[21] train_loss=0.453062 val_loss=0.458825 best=0.458922 es=1/5
[2026-05-20 08:48:23] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=19 architecture=[21] train_loss=0.452946 val_loss=0.458766 best=0.458766 es=0/5
[2026-05-20 08:48:25] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=20 architecture=[21] train_loss=0.452861 val_loss=0.458677 best=0.458766 es=1/5
[2026-05-20 08:48:27] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=21 architecture=[21] train_loss=0.452785 val_loss=0.458604 best=0.458604 es=0/5
[2026-05-20 08:48:29] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=22 architecture=[21] train_loss=0.452731 val_loss=0.458555 best=0.458604 es=1/5
[2026-05-20 08:48:31] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=23 architecture=[21] train_loss=0.452724 val_loss=0.458500 best=0.458500 es=0/5
[2026-05-20 08:48:33] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=24 architecture=[21] train_loss=0.452676 val_loss=0.458445 best=0.458500 es=1/5
[2026-05-20 08:48:35] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=25 architecture=[21] train_loss=0.452632 val_loss=0.458458 best=0.458500 es=2/5
[2026-05-20 08:48:37] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=26 architecture=[21] train_loss=0.452594 val_loss=0.458459 best=0.458500 es=3/5
[2026-05-20 08:48:39] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=27 architecture=[21] train_loss=0.452552 val_loss=0.458471 best=0.458500 es=4/5
[2026-05-20 08:48:41] [autoencoding][ae_alt_width][cand_020_d1_w21] epoch=28 architecture=[21] train_loss=0.452509 val_loss=0.458443 best=0.458500 es=5/5
