task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc
autoencoding,4,ablation_stl,stl_ablation_r04_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.36170221153549953,55,65,0.4320663628626443,
autoencoding,5,ablation_stl,stl_ablation_r05_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.36402957666367747,66,76,0.43733268059844377,
