[2025-12-15 20:18:27] Initialized ContinuousLogger for adp_resnet (Mode: width_only)
[2025-12-15 20:18:27] Logs: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_log.txt
[2025-12-15 20:18:27] CSV: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_stats.csv
[2025-12-15 20:18:27] [INITIAL TRAINING]
[2025-12-15 21:19:59]   Epoch 032/10000000000000000000 | train=1.1355 | val=1.0954 | best=1.0954 | ES=0/10
[2025-12-15 21:21:06]   Epoch 033/10000000000000000000 | train=1.1349 | val=1.0965 | best=1.0954 | ES=1/10
[2025-12-15 21:22:02]   Epoch 034/10000000000000000000 | train=1.1287 | val=1.0933 | best=1.0933 | ES=0/10
[2025-12-15 21:22:56]   Epoch 035/10000000000000000000 | train=1.1255 | val=1.0884 | best=1.0884 | ES=0/10
[2025-12-15 21:23:51]   Epoch 036/10000000000000000000 | train=1.1280 | val=1.0962 | best=1.0884 | ES=1/10
[2025-12-15 21:24:45]   Epoch 037/10000000000000000000 | train=1.1205 | val=1.0922 | best=1.0884 | ES=2/10
[2025-12-15 21:25:40]   Epoch 038/10000000000000000000 | train=1.1218 | val=1.0906 | best=1.0884 | ES=3/10
[2025-12-15 21:26:35]   Epoch 039/10000000000000000000 | train=1.1183 | val=1.1275 | best=1.0884 | ES=4/10
[2025-12-15 21:27:28]   Epoch 040/10000000000000000000 | train=1.1160 | val=1.0776 | best=1.0776 | ES=0/10
[2025-12-15 21:28:22]   Epoch 041/10000000000000000000 | train=1.1112 | val=1.1161 | best=1.0776 | ES=1/10
[2025-12-15 21:29:16]   Epoch 042/10000000000000000000 | train=1.1091 | val=1.0847 | best=1.0776 | ES=2/10
[2025-12-15 21:30:10]   Epoch 043/10000000000000000000 | train=1.1042 | val=1.0776 | best=1.0776 | ES=0/10
[2025-12-15 21:31:07]   Epoch 044/10000000000000000000 | train=1.1053 | val=1.0789 | best=1.0776 | ES=1/10
[2025-12-15 21:32:05]   Epoch 045/10000000000000000000 | train=1.1051 | val=1.0714 | best=1.0714 | ES=0/10
[2025-12-15 21:33:03]   Epoch 046/10000000000000000000 | train=1.1035 | val=1.0855 | best=1.0714 | ES=1/10
[2025-12-15 21:33:58]   Epoch 047/10000000000000000000 | train=1.1009 | val=1.0562 | best=1.0562 | ES=0/10
[2025-12-15 21:34:57]   Epoch 048/10000000000000000000 | train=1.0915 | val=1.0610 | best=1.0562 | ES=1/10
