task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc
classification,3,ablation_stl,stl_ablation_r03_d05_w0041_41_41_41_41_41,"[41, 41, 41, 41, 41]",9847,0.2669428477642083,82,92,0.26493054277675165,0.8947694531935767
classification,4,ablation_stl,stl_ablation_r04_d05_w0041_41_41_41_41_41,"[41, 41, 41, 41, 41]",9847,0.24806855428063113,149,159,0.2566672001321973,0.8979535636219687
classification,5,ablation_stl,stl_ablation_r05_d05_w0041_41_41_41_41_41,"[41, 41, 41, 41, 41]",9847,0.26317204077747186,125,135,0.27283702990860664,0.8915681313574637
