[2026-05-16 21:50:41] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 21:50:41] Logs: DAE/DNN/results/search_suite_20260516/representation/random/cand_045_d2_w256/training_log.txt
[2026-05-16 21:50:41] CSV: DAE/DNN/results/search_suite_20260516/representation/random/cand_045_d2_w256/training_stats.csv
[2026-05-16 21:50:45] [representation][random][cand_045_d2_w256] epoch=1 train_loss=0.634400 val_loss=0.455710 best=0.455710 es=0/5
[2026-05-16 21:50:48] [representation][random][cand_045_d2_w256] epoch=2 train_loss=0.181722 val_loss=0.099023 best=0.099023 es=0/5
[2026-05-16 21:50:51] [representation][random][cand_045_d2_w256] epoch=3 train_loss=0.065014 val_loss=0.038674 best=0.038674 es=0/5
[2026-05-16 21:50:54] [representation][random][cand_045_d2_w256] epoch=4 train_loss=0.034354 val_loss=0.024662 best=0.024662 es=0/5
[2026-05-16 21:50:58] [representation][random][cand_045_d2_w256] epoch=5 train_loss=0.022361 val_loss=0.017345 best=0.017345 es=0/5
[2026-05-16 21:51:01] [representation][random][cand_045_d2_w256] epoch=6 train_loss=0.017145 val_loss=0.013242 best=0.013242 es=0/5
[2026-05-16 21:51:04] [representation][random][cand_045_d2_w256] epoch=7 train_loss=0.013109 val_loss=0.010481 best=0.010481 es=0/5
[2026-05-16 21:51:07] [representation][random][cand_045_d2_w256] epoch=8 train_loss=0.011183 val_loss=0.009213 best=0.009213 es=0/5
[2026-05-16 21:51:11] [representation][random][cand_045_d2_w256] epoch=9 train_loss=0.009661 val_loss=0.007786 best=0.007786 es=0/5
[2026-05-16 21:51:14] [representation][random][cand_045_d2_w256] epoch=10 train_loss=0.008431 val_loss=0.007050 best=0.007050 es=0/5
[2026-05-16 21:51:17] [representation][random][cand_045_d2_w256] epoch=11 train_loss=0.007840 val_loss=0.006575 best=0.006575 es=0/5
[2026-05-16 21:51:21] [representation][random][cand_045_d2_w256] epoch=12 train_loss=0.008017 val_loss=0.005924 best=0.005924 es=0/5
[2026-05-16 21:51:24] [representation][random][cand_045_d2_w256] epoch=13 train_loss=0.006562 val_loss=0.005079 best=0.005079 es=0/5
[2026-05-16 21:51:27] [representation][random][cand_045_d2_w256] epoch=14 train_loss=0.005850 val_loss=0.004657 best=0.004657 es=0/5
[2026-05-16 21:51:30] [representation][random][cand_045_d2_w256] epoch=15 train_loss=0.005510 val_loss=0.004442 best=0.004442 es=0/5
[2026-05-16 21:51:33] [representation][random][cand_045_d2_w256] epoch=16 train_loss=0.004921 val_loss=0.004336 best=0.004336 es=0/5
[2026-05-16 21:51:37] [representation][random][cand_045_d2_w256] epoch=17 train_loss=0.005586 val_loss=0.004234 best=0.004234 es=0/5
[2026-05-16 21:51:40] [representation][random][cand_045_d2_w256] epoch=18 train_loss=0.004787 val_loss=0.003640 best=0.003640 es=0/5
[2026-05-16 21:51:44] [representation][random][cand_045_d2_w256] epoch=19 train_loss=0.004171 val_loss=0.003457 best=0.003457 es=0/5
[2026-05-16 21:51:47] [representation][random][cand_045_d2_w256] epoch=20 train_loss=0.004036 val_loss=0.003322 best=0.003322 es=0/5
[2026-05-16 21:51:50] [representation][random][cand_045_d2_w256] epoch=21 train_loss=0.003786 val_loss=0.002946 best=0.002946 es=0/5
[2026-05-16 21:51:53] [representation][random][cand_045_d2_w256] epoch=22 train_loss=0.003536 val_loss=0.003041 best=0.002946 es=1/5
[2026-05-16 21:51:57] [representation][random][cand_045_d2_w256] epoch=23 train_loss=0.004688 val_loss=0.004052 best=0.002946 es=2/5
[2026-05-16 21:52:00] [representation][random][cand_045_d2_w256] epoch=24 train_loss=0.006609 val_loss=0.004898 best=0.002946 es=3/5
[2026-05-16 21:52:03] [representation][random][cand_045_d2_w256] epoch=25 train_loss=0.004407 val_loss=0.003537 best=0.002946 es=4/5
[2026-05-16 21:52:06] [representation][random][cand_045_d2_w256] epoch=26 train_loss=0.003751 val_loss=0.003107 best=0.002946 es=5/5
