task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc,source_root
autoencoding,1,,stl_ablation_r03_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.020098971511214384,91,101,0.019946480083429877,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r04_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.019934476193238924,91,101,0.01966702143308278,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r05_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.019399374069820754,133,143,0.019223036169590316,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r01_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.25566120864210334,81,91,0.3283865732154929,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r02_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.2636341877343603,75,85,0.3273224563865341,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r03_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.26500883392238306,83,93,0.3285842331878142,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r04_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.2621639400109685,75,85,0.3278892069328685,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r05_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.2703270631566626,49,59,0.3273333702564375,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r03_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.3014388581435017,72,82,0.36657238501783995,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r04_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.29697716869338836,85,95,0.3733007195270775,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r05_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.31011918545224776,102,112,0.372792550376544,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r04_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.36170221153549953,55,65,0.4320663628626443,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
autoencoding,1,,stl_ablation_r05_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.36402957666367747,66,76,0.43733268059844377,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
