[2026-05-16 16:39:41] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 16:39:41] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_000_d2_w2/training_log.txt
[2026-05-16 16:39:41] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_000_d2_w2/training_stats.csv
[2026-05-16 16:39:44] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=1 train_loss=1.315106 val_loss=1.158455 best=1.158455 es=0/5
[2026-05-16 16:39:47] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=2 train_loss=1.258399 val_loss=1.195025 best=1.158455 es=1/5
[2026-05-16 16:39:50] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=3 train_loss=1.215049 val_loss=1.193625 best=1.158455 es=2/5
[2026-05-16 16:39:53] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=4 train_loss=1.180978 val_loss=1.171311 best=1.158455 es=3/5
[2026-05-16 16:39:55] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=5 train_loss=1.153043 val_loss=1.146815 best=1.146815 es=0/5
[2026-05-16 16:39:58] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=6 train_loss=1.129618 val_loss=1.125185 best=1.125185 es=0/5
[2026-05-16 16:40:01] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=7 train_loss=1.110126 val_loss=1.107459 best=1.107459 es=0/5
[2026-05-16 16:40:05] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=8 train_loss=1.093335 val_loss=1.092035 best=1.092035 es=0/5
[2026-05-16 16:40:07] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=9 train_loss=1.078490 val_loss=1.078092 best=1.078092 es=0/5
[2026-05-16 16:40:10] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=10 train_loss=1.065100 val_loss=1.065695 best=1.065695 es=0/5
[2026-05-16 16:40:13] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=11 train_loss=1.053248 val_loss=1.054695 best=1.054695 es=0/5
[2026-05-16 16:40:16] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=12 train_loss=1.042895 val_loss=1.045564 best=1.045564 es=0/5
[2026-05-16 16:40:19] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=13 train_loss=1.034254 val_loss=1.037922 best=1.037922 es=0/5
[2026-05-16 16:40:22] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=14 train_loss=1.026863 val_loss=1.031177 best=1.031177 es=0/5
[2026-05-16 16:40:25] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=15 train_loss=1.020435 val_loss=1.025285 best=1.025285 es=0/5
[2026-05-16 16:40:28] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=16 train_loss=1.014869 val_loss=1.020278 best=1.020278 es=0/5
[2026-05-16 16:40:31] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=17 train_loss=1.010077 val_loss=1.015934 best=1.015934 es=0/5
[2026-05-16 16:40:34] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=18 train_loss=1.005866 val_loss=1.012025 best=1.012025 es=0/5
[2026-05-16 16:40:37] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=19 train_loss=1.002109 val_loss=1.008535 best=1.008535 es=0/5
[2026-05-16 16:40:40] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=20 train_loss=0.998788 val_loss=1.005444 best=1.005444 es=0/5
[2026-05-16 16:40:43] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=21 train_loss=0.995839 val_loss=1.002647 best=1.002647 es=0/5
[2026-05-16 16:40:46] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=22 train_loss=0.993128 val_loss=1.000087 best=1.000087 es=0/5
[2026-05-16 16:40:49] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=23 train_loss=0.990677 val_loss=0.997731 best=0.997731 es=0/5
[2026-05-16 16:40:52] [autoencoding][ae_width_to_depth][cand_000_d2_w2] epoch=24 train_loss=0.988372 val_loss=0.995534 best=0.995534 es=0/5
