[2026-05-16 17:24:31] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 17:24:31] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_005_d2_w7/training_log.txt
[2026-05-16 17:24:31] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_005_d2_w7/training_stats.csv
[2026-05-16 17:24:34] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=1 train_loss=0.843290 val_loss=0.805530 best=0.805530 es=0/5
[2026-05-16 17:24:36] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=2 train_loss=0.790684 val_loss=0.793390 best=0.793390 es=0/5
[2026-05-16 17:24:38] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=3 train_loss=0.780922 val_loss=0.786504 best=0.786504 es=0/5
[2026-05-16 17:24:41] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=4 train_loss=0.776627 val_loss=0.783094 best=0.783094 es=0/5
[2026-05-16 17:24:43] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=5 train_loss=0.774090 val_loss=0.781095 best=0.781095 es=0/5
[2026-05-16 17:24:46] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=6 train_loss=0.772227 val_loss=0.779424 best=0.779424 es=0/5
[2026-05-16 17:24:48] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=7 train_loss=0.770633 val_loss=0.777785 best=0.777785 es=0/5
[2026-05-16 17:24:50] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=8 train_loss=0.769114 val_loss=0.776209 best=0.776209 es=0/5
[2026-05-16 17:24:53] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=9 train_loss=0.767629 val_loss=0.774593 best=0.774593 es=0/5
[2026-05-16 17:24:55] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=10 train_loss=0.766067 val_loss=0.772913 best=0.772913 es=0/5
[2026-05-16 17:24:58] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=11 train_loss=0.764275 val_loss=0.771001 best=0.771001 es=0/5
[2026-05-16 17:25:00] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=12 train_loss=0.762401 val_loss=0.768969 best=0.768969 es=0/5
[2026-05-16 17:25:03] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=13 train_loss=0.760373 val_loss=0.766768 best=0.766768 es=0/5
[2026-05-16 17:25:05] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=14 train_loss=0.758322 val_loss=0.764811 best=0.764811 es=0/5
[2026-05-16 17:25:08] [autoencoding][ae_width_to_depth][cand_005_d2_w7] epoch=15 train_loss=0.756484 val_loss=0.763080 best=0.763080 es=0/5
