[2026-06-12 22:09:00] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-12 22:09:00] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_782_d7_w126/training_log.txt
[2026-06-12 22:09:00] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_782_d7_w126/training_stats.csv
[2026-06-12 22:09:01] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.017616 val_loss=0.004794 best=0.004794 es=0/10
[2026-06-12 22:09:01] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.005878 val_loss=0.001700 best=0.001700 es=0/10
[2026-06-12 22:09:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.007640 val_loss=0.000623 best=0.000623 es=0/10
[2026-06-12 22:09:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.002962 val_loss=0.001087 best=0.001087 es=0/10
[2026-06-12 22:09:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.003864 val_loss=0.000790 best=0.000790 es=0/10
[2026-06-12 22:09:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001349 val_loss=0.000468 best=0.000468 es=0/10
[2026-06-12 22:09:03] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.002425 val_loss=0.000903 best=0.000903 es=0/10
[2026-06-12 22:09:03] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.003855 val_loss=0.000400 best=0.000400 es=0/10
[2026-06-12 22:09:04] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.000708 val_loss=0.000516 best=0.000516 es=0/10
[2026-06-12 22:09:04] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.002743 val_loss=0.000371 best=0.000371 es=0/10
[2026-06-12 22:09:04] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001978 val_loss=0.000560 best=0.000560 es=0/10
[2026-06-12 22:09:05] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001377 val_loss=0.000785 best=0.000785 es=0/10
[2026-06-12 22:09:05] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001821 val_loss=0.000275 best=0.000275 es=0/10
[2026-06-12 22:09:05] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001013 val_loss=0.000312 best=0.000312 es=0/10
[2026-06-12 22:09:06] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001577 val_loss=0.000325 best=0.000325 es=0/10
[2026-06-12 22:09:06] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.000602 val_loss=0.000248 best=0.000248 es=0/10
[2026-06-12 22:09:06] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001401 val_loss=0.000365 best=0.000365 es=0/10
[2026-06-12 22:09:06] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.002343 val_loss=0.000457 best=0.000457 es=0/10
[2026-06-12 22:09:07] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001694 val_loss=0.000540 best=0.000540 es=0/10
[2026-06-12 22:09:07] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.004097 val_loss=0.000239 best=0.000239 es=0/10
[2026-06-12 22:09:07] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.000238 val_loss=0.000361 best=0.000361 es=0/10
[2026-06-12 22:09:08] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.001781 val_loss=0.000351 best=0.000351 es=0/10
[2026-06-12 22:09:08] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 27] train_loss=0.002752 val_loss=0.000253 best=0.000253 es=0/10
