neurons,best_val,best_acc,depth_at_best,widths_at_best,global_epoch_at_best
2,2.0787,0.1882,1,[1],34
3,2.0587,0.1938,2,"[1,1]",62
6,1.9217,0.2494,2,"[2,2]",86
9,1.8007,0.3092,2,"[3,3]",144
12,1.7793,0.3196,2,"[4,4]",155
15,1.6453,0.3856,2,"[5,5]",213
18,1.5777,0.4236,2,"[6,6]",244
21,1.5706,0.421,2,"[7,7]",261
24,1.4489,0.4818,2,"[8,8]",320
27,1.437,0.4806,2,"[9,9]",344
30,1.3789,0.5012,2,"[10,10]",372
33,1.357,0.5088,2,"[11,11]",395
36,1.27,0.5512,2,"[12,12]",440
39,1.2336,0.5618,2,"[13,13]",497
42,1.2129,0.573,2,"[14,14]",517
45,1.2036,0.5824,2,"[15,15]",541
48,1.1908,0.5798,2,"[16,16]",573
51,1.1821,0.5778,2,"[17,17]",589
54,1.1788,0.5878,2,"[18,18]",604
57,1.1374,0.6014,2,"[19,19]",645
60,1.1131,0.6078,2,"[20,20]",682
63,1.0635,0.6224,2,"[21,21]",778
66,1.063,0.6204,2,"[22,22]",793
69,1.0614,0.6228,2,"[23,23]",862
72,1.0493,0.6332,2,"[24,24]",905
75,1.0479,0.6256,2,"[25,25]",930
78,1.0312,0.6298,2,"[26,26]",952
81,1.0288,0.6326,2,"[27,27]",1095
84,1.0145,0.6386,2,"[28,28]",1109
87,0.997,0.6402,2,"[29,29]",1149
90,0.9853,0.653,2,"[30,30]",1193
93,0.9803,0.66,2,"[31,31]",1238
96,0.9596,0.6692,2,"[32,32]",1269
99,0.9563,0.6658,2,"[33,33]",1358
102,0.9472,0.6624,2,"[34,34]",1370
105,0.9285,0.6694,2,"[35,35]",1559
108,0.9275,0.6764,2,"[36,36]",1630
111,0.9309,0.6752,2,"[37,37]",1704
144,0.7978,0.721,3,"[36,36,36]",1880
148,0.719,0.7464,3,"[37,37,37]",1947
152,0.7146,0.7522,3,"[38,38,38]",2103
156,0.7099,0.7564,3,"[39,39,39]",2157
160,0.7001,0.7544,3,"[40,40,40]",2171
164,0.6627,0.7706,3,"[41,41,41]",2202
168,0.6485,0.7666,3,"[42,42,42]",2259
172,0.616,0.781,3,"[43,43,43]",2354
176,0.6267,0.779,3,"[44,44,44]",2551
215,0.5815,0.802,4,"[43,43,43,43]",2677
220,0.5685,0.8066,4,"[44,44,44,44]",2698
225,0.555,0.8118,4,"[45,45,45,45]",2727
230,0.5469,0.8128,4,"[46,46,46,46]",2781
235,0.5342,0.8186,4,"[47,47,47,47]",2829
240,0.519,0.8226,4,"[48,48,48,48]",2852
245,0.5161,0.8278,4,"[49,49,49,49]",2894
250,0.5042,0.8346,4,"[50,50,50,50]",2922
255,0.5047,0.8288,4,"[51,51,51,51]",3024
300,0.501,0.8338,5,"[50,50,50,50,50]",3233
306,0.4974,0.839,5,"[51,51,51,51,51]",3383
312,0.4991,0.8428,5,"[52,52,52,52,52]",3427
357,0.4881,0.84,6,"[51,51,51,51,51,51]",3734
364,0.5213,0.8368,6,"[52,52,52,52,52,52]",3795
408,0.5063,0.845,7,"[51,51,51,51,51,51,51]",3978
