[2026-05-20 11:37:25] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 11:37:25] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_009_d1_w10/training_log.txt
[2026-05-20 11:37:25] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_009_d1_w10/training_stats.csv
[2026-05-20 11:37:25] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=9 search_phase=width architecture=[10]
[2026-05-20 11:37:27] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=1 architecture=[10] train_loss=0.693935 val_loss=0.696585 best=0.696089 es=0/5
[2026-05-20 11:37:29] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=2 architecture=[10] train_loss=0.687679 val_loss=0.693198 best=0.693198 es=0/5
[2026-05-20 11:37:32] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=3 architecture=[10] train_loss=0.684522 val_loss=0.690506 best=0.690506 es=0/5
[2026-05-20 11:37:34] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=4 architecture=[10] train_loss=0.682301 val_loss=0.688491 best=0.688491 es=0/5
[2026-05-20 11:37:36] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=5 architecture=[10] train_loss=0.680580 val_loss=0.686828 best=0.686828 es=0/5
[2026-05-20 11:37:39] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=6 architecture=[10] train_loss=0.679080 val_loss=0.685363 best=0.685363 es=0/5
[2026-05-20 11:37:41] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=7 architecture=[10] train_loss=0.677734 val_loss=0.684237 best=0.684237 es=0/5
[2026-05-20 11:37:43] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=8 architecture=[10] train_loss=0.676563 val_loss=0.683019 best=0.683019 es=0/5
[2026-05-20 11:37:46] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=9 architecture=[10] train_loss=0.675533 val_loss=0.682077 best=0.682077 es=0/5
[2026-05-20 11:37:48] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=10 architecture=[10] train_loss=0.674641 val_loss=0.681273 best=0.681273 es=0/5
[2026-05-20 11:37:50] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=11 architecture=[10] train_loss=0.673864 val_loss=0.680542 best=0.680542 es=0/5
[2026-05-20 11:37:52] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=12 architecture=[10] train_loss=0.673188 val_loss=0.679908 best=0.679908 es=0/5
[2026-05-20 11:37:54] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=13 architecture=[10] train_loss=0.672610 val_loss=0.679375 best=0.679375 es=0/5
[2026-05-20 11:37:57] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=14 architecture=[10] train_loss=0.672083 val_loss=0.678935 best=0.678935 es=0/5
[2026-05-20 11:37:59] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=15 architecture=[10] train_loss=0.671654 val_loss=0.678537 best=0.678537 es=0/5
[2026-05-20 11:38:01] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=16 architecture=[10] train_loss=0.671289 val_loss=0.678197 best=0.678197 es=0/5
[2026-05-20 11:38:03] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=17 architecture=[10] train_loss=0.670973 val_loss=0.677920 best=0.677920 es=0/5
[2026-05-20 11:38:05] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=18 architecture=[10] train_loss=0.670700 val_loss=0.677682 best=0.677682 es=0/5
[2026-05-20 11:38:08] [autoencoding][ae_width_to_depth][cand_009_d1_w10] epoch=19 architecture=[10] train_loss=0.670474 val_loss=0.677473 best=0.677473 es=0/5
