task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
anomaly,ae_width_only,width_only,0.0006620671483688056,15,15,,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/anomaly_d1/anomaly/ae_width_only/cand_113_d1_w114/checkpoint_best.pt,cand_113_d1_w114
anomaly,stl_from_ae_width_only,stl_refit,0.0018310918239876628,163,173,0.3596818017248865,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/anomaly_d1/anomaly/stl_from_ae_width_only/cand_000_d1_w114/checkpoint_best.pt,cand_000_d1_w114
