task,row_type,phase,architecture,best_val,best_epoch,final_epoch,test_loss,test_acc
representation,ablation_stl,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",0.30542102837104607,87,92,0.3048931299692193,0.8803635049310683
representation,ablation_stl,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",0.2585177361884135,93,98,0.2580462274095942,0.8979363522142476
representation,ablation_stl,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",0.2512279202784362,67,72,0.24970539639064693,0.9012065196812448
representation,ablation_stl,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",0.25172888078931027,53,58,0.25060270833859555,0.9005180633724033
representation,ablation_stl,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",0.22023146868093693,74,79,0.2203175602057754,0.9142871895492333
representation,ablation_stl,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",0.2295195092951947,52,57,0.22760032534669064,0.9102597201425104
representation,ablation_stl,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",0.2092157300511719,70,75,0.21117488111399718,0.9154059310511007
representation,ablation_stl,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",0.2754223306223857,70,75,0.27412841838507257,0.8928761983442626
representation,ablation_stl,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",0.24066188776993291,66,71,0.2397110177781487,0.904958606564431
representation,ablation_stl,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",0.2222438145196983,58,63,0.2195655834010886,0.9130996024164817
representation,ablation_stl,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",0.21775596534978506,54,59,0.2158194041931679,0.913684790278997
representation,ablation_stl,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",0.2107421139685747,45,50,0.2127879540440474,0.916008330321337
representation,ablation_stl,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",0.19641964207903878,44,49,0.1978543567757186,0.9227207793325416
representation,ablation_stl,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",0.17418516722513913,53,58,0.1761724535025175,0.9301561074680298
representation,ablation_stl,stl_ablation_d06_w064_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64]",0.22261346594632525,65,70,0.22191651780936347,0.9143216123646754
representation,ablation_stl,stl_ablation_d06_w096_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96]",0.19835008727677528,57,62,0.19918900515560817,0.9220323230237001
representation,ablation_stl,stl_ablation_d06_w128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128]",0.19251240835952294,44,49,0.19122050184528194,0.9248377824822293
representation,ablation_stl,stl_ablation_d06_w160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160]",0.16211466004468042,53,58,0.16367605530068324,0.9350269358530834
representation,ablation_stl,stl_ablation_d06_w192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192]",0.14901119815009825,57,62,0.1495006317488698,0.9415672707870777
representation,ablation_stl,stl_ablation_d06_w224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224]",0.14650343214431868,42,47,0.14798197624212542,0.9420147673878246
representation,ablation_stl,stl_ablation_d06_w256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256]",0.1530013402534396,37,42,0.15659113980239706,0.9371955732259342
representation,ablation_stl,stl_ablation_d08_w064_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64]",0.1857988435572879,98,103,0.18596786793292966,0.927918624464295
representation,ablation_stl,stl_ablation_d08_w096_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96]",0.1613953873614896,69,74,0.16318001106505292,0.9373676873031446
representation,ablation_stl,stl_ablation_d08_w128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128]",0.15327302497230694,57,62,0.1541949401125785,0.9401731467616736
representation,ablation_stl,stl_ablation_d08_w160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160]",0.14383182086727464,53,58,0.14664062747345785,0.9439768678680229
representation,ablation_stl,stl_ablation_d08_w192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192]",0.15823118069527228,33,38,0.15844004955797056,0.9378668181270546
representation,ablation_stl,stl_ablation_d08_w224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224]",0.14246149557743448,47,52,0.14195611136213757,0.9449923409235641
representation,ablation_stl,stl_ablation_d08_w256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256]",0.1426603563605782,30,35,0.14388541654192172,0.9423245727268034
representation,ablation_stl,stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.19756630283492876,63,68,0.20068150691830272,0.9230650074869624
representation,ablation_stl,stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",0.16678078392954718,49,54,0.17032470364825733,0.93480318755271
representation,ablation_stl,stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.15064050648681712,57,62,0.15491870757032655,0.9400870897230684
representation,ablation_stl,stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]",0.178949126048629,25,30,0.17880360195779182,0.9302937987297981
representation,ablation_stl,stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]",0.15468879496725418,31,36,0.152817166124118,0.9405345863238155
representation,ablation_stl,stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]",0.12744512650040726,58,63,0.12784770474780893,0.9522899777972841
