[2026-05-16 11:30:09] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 11:30:09] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_032_d2_w34/training_log.txt
[2026-05-16 11:30:09] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_032_d2_w34/training_stats.csv
[2026-05-16 11:30:11] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=1 train_loss=0.240770 val_loss=0.226998 best=0.226998 es=0/5
[2026-05-16 11:30:14] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=2 train_loss=0.232133 val_loss=0.223727 best=0.223727 es=0/5
[2026-05-16 11:30:16] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=3 train_loss=0.229625 val_loss=0.222014 best=0.222014 es=0/5
[2026-05-16 11:30:19] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=4 train_loss=0.228216 val_loss=0.220474 best=0.220474 es=0/5
[2026-05-16 11:30:21] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=5 train_loss=0.226598 val_loss=0.219001 best=0.219001 es=0/5
[2026-05-16 11:30:24] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=6 train_loss=0.225245 val_loss=0.217172 best=0.217172 es=0/5
[2026-05-16 11:30:26] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=7 train_loss=0.223731 val_loss=0.215487 best=0.215487 es=0/5
[2026-05-16 11:30:29] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=8 train_loss=0.222078 val_loss=0.213752 best=0.213752 es=0/5
[2026-05-16 11:30:31] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=9 train_loss=0.220599 val_loss=0.212130 best=0.212130 es=0/5
[2026-05-16 11:30:34] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=10 train_loss=0.218942 val_loss=0.210392 best=0.210392 es=0/5
[2026-05-16 11:30:36] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=11 train_loss=0.217428 val_loss=0.209289 best=0.209289 es=0/5
[2026-05-16 11:30:39] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=12 train_loss=0.216486 val_loss=0.208364 best=0.208364 es=0/5
[2026-05-16 11:30:41] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=13 train_loss=0.215814 val_loss=0.207229 best=0.207229 es=0/5
[2026-05-16 11:30:44] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=14 train_loss=0.214806 val_loss=0.206386 best=0.206386 es=0/5
[2026-05-16 11:30:46] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=15 train_loss=0.214175 val_loss=0.205663 best=0.205663 es=0/5
[2026-05-16 11:30:49] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=16 train_loss=0.213457 val_loss=0.205118 best=0.205118 es=0/5
[2026-05-16 11:30:51] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=17 train_loss=0.212846 val_loss=0.204281 best=0.204281 es=0/5
[2026-05-16 11:30:54] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=18 train_loss=0.212736 val_loss=0.204109 best=0.204109 es=0/5
[2026-05-16 11:30:56] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=19 train_loss=0.212250 val_loss=0.203828 best=0.203828 es=0/5
[2026-05-16 11:30:59] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=20 train_loss=0.212169 val_loss=0.203468 best=0.203468 es=0/5
[2026-05-16 11:31:02] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=21 train_loss=0.211736 val_loss=0.203421 best=0.203468 es=1/5
[2026-05-16 11:31:04] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=22 train_loss=0.211737 val_loss=0.203181 best=0.203181 es=0/5
[2026-05-16 11:31:07] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=23 train_loss=0.211914 val_loss=0.203474 best=0.203181 es=1/5
[2026-05-16 11:31:09] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=24 train_loss=0.211512 val_loss=0.203059 best=0.203059 es=0/5
[2026-05-16 11:31:12] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=25 train_loss=0.211291 val_loss=0.202689 best=0.202689 es=0/5
[2026-05-16 11:31:14] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=26 train_loss=0.210859 val_loss=0.203065 best=0.202689 es=1/5
[2026-05-16 11:31:17] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=27 train_loss=0.210980 val_loss=0.202830 best=0.202689 es=2/5
[2026-05-16 11:31:19] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=28 train_loss=0.210839 val_loss=0.202682 best=0.202689 es=3/5
[2026-05-16 11:31:22] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=29 train_loss=0.211037 val_loss=0.202655 best=0.202689 es=4/5
[2026-05-16 11:31:24] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=30 train_loss=0.210780 val_loss=0.202422 best=0.202422 es=0/5
[2026-05-16 11:31:27] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=31 train_loss=0.210948 val_loss=0.202135 best=0.202135 es=0/5
[2026-05-16 11:31:29] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=32 train_loss=0.210533 val_loss=0.202270 best=0.202135 es=1/5
[2026-05-16 11:31:32] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=33 train_loss=0.210571 val_loss=0.202176 best=0.202135 es=2/5
[2026-05-16 11:31:34] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=34 train_loss=0.210487 val_loss=0.202288 best=0.202135 es=3/5
[2026-05-16 11:31:37] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=35 train_loss=0.210847 val_loss=0.202265 best=0.202135 es=4/5
[2026-05-16 11:31:40] [representation][ae_width_to_depth][cand_032_d2_w34] epoch=36 train_loss=0.210563 val_loss=0.202446 best=0.202135 es=5/5
