2025-12-16 08:11:12 - INFO - ======== [Run 1/6] width=1 depth=2 ========
2025-12-16 08:11:12 - INFO - Device=cuda | dataset=cifar10 | batch=512 | max_epochs=10000000000000000000 | patience=10 | lr=1.00e-03 | wd=5.0e-04 | cutmix_p=0.00
2025-12-16 08:11:12 - INFO - Model params=798 | neurons=3
2025-12-16 08:13:42 - INFO - [epoch 12/10000000000000000000] train_loss=1.2528 | val_loss=1.2343 | val_acc=0.4436 | best_val=1.2343@12 | bad=0/10 | dt=12.4s
2025-12-16 08:13:54 - INFO - [epoch 13/10000000000000000000] train_loss=1.2416 | val_loss=1.2414 | val_acc=0.4364 | best_val=1.2343@12 | bad=1/10 | dt=12.4s
2025-12-16 08:14:07 - INFO - [epoch 14/10000000000000000000] train_loss=1.2389 | val_loss=1.2288 | val_acc=0.4464 | best_val=1.2288@14 | bad=0/10 | dt=12.4s
2025-12-16 08:14:19 - INFO - [epoch 15/10000000000000000000] train_loss=1.2358 | val_loss=1.2755 | val_acc=0.4248 | best_val=1.2288@14 | bad=1/10 | dt=12.3s
2025-12-16 08:14:31 - INFO - [epoch 16/10000000000000000000] train_loss=1.2299 | val_loss=1.2255 | val_acc=0.4460 | best_val=1.2255@16 | bad=0/10 | dt=12.1s
2025-12-16 08:14:43 - INFO - [epoch 17/10000000000000000000] train_loss=1.2346 | val_loss=1.2324 | val_acc=0.4428 | best_val=1.2255@16 | bad=1/10 | dt=12.4s
2025-12-16 08:14:56 - INFO - [epoch 18/10000000000000000000] train_loss=1.2267 | val_loss=1.2459 | val_acc=0.4544 | best_val=1.2255@16 | bad=2/10 | dt=12.3s
2025-12-16 08:15:08 - INFO - [epoch 19/10000000000000000000] train_loss=1.2217 | val_loss=1.2147 | val_acc=0.4496 | best_val=1.2147@19 | bad=0/10 | dt=12.4s
2025-12-16 08:15:21 - INFO - [epoch 20/10000000000000000000] train_loss=1.2178 | val_loss=1.2236 | val_acc=0.4476 | best_val=1.2147@19 | bad=1/10 | dt=13.0s
2025-12-16 08:15:34 - INFO - [epoch 21/10000000000000000000] train_loss=1.2187 | val_loss=1.2126 | val_acc=0.4624 | best_val=1.2126@21 | bad=0/10 | dt=13.2s
2025-12-16 08:15:47 - INFO - [epoch 22/10000000000000000000] train_loss=1.2152 | val_loss=1.2231 | val_acc=0.4584 | best_val=1.2126@21 | bad=1/10 | dt=13.1s
2025-12-16 08:16:00 - INFO - [epoch 23/10000000000000000000] train_loss=1.2109 | val_loss=1.1957 | val_acc=0.4740 | best_val=1.1957@23 | bad=0/10 | dt=13.0s
2025-12-16 08:16:13 - INFO - [epoch 24/10000000000000000000] train_loss=1.2083 | val_loss=1.2306 | val_acc=0.4596 | best_val=1.1957@23 | bad=1/10 | dt=13.1s
2025-12-16 08:16:27 - INFO - [epoch 25/10000000000000000000] train_loss=1.2007 | val_loss=1.2014 | val_acc=0.4656 | best_val=1.1957@23 | bad=2/10 | dt=13.3s
2025-12-16 08:16:40 - INFO - [epoch 26/10000000000000000000] train_loss=1.1945 | val_loss=1.1857 | val_acc=0.4776 | best_val=1.1857@26 | bad=0/10 | dt=13.0s
2025-12-16 08:16:53 - INFO - [epoch 27/10000000000000000000] train_loss=1.1824 | val_loss=1.1677 | val_acc=0.4900 | best_val=1.1677@27 | bad=0/10 | dt=13.1s
2025-12-16 08:17:06 - INFO - [epoch 28/10000000000000000000] train_loss=1.1739 | val_loss=1.1662 | val_acc=0.4952 | best_val=1.1662@28 | bad=0/10 | dt=13.0s
2025-12-16 08:17:19 - INFO - [epoch 29/10000000000000000000] train_loss=1.1619 | val_loss=1.1423 | val_acc=0.5108 | best_val=1.1423@29 | bad=0/10 | dt=13.4s
2025-12-16 08:17:32 - INFO - [epoch 30/10000000000000000000] train_loss=1.1489 | val_loss=1.1321 | val_acc=0.5196 | best_val=1.1321@30 | bad=0/10 | dt=13.0s
