task,depth,candidate_index,width,architecture,parameter_count,log10_parameter_count,selected_for_run
anomaly,1,1,1,[1],165,2.217484,True
anomaly,1,2,2,[2],276,2.440909,True
anomaly,1,3,3,[3],387,2.587711,True
anomaly,1,4,4,[4],498,2.697229,True
anomaly,1,5,5,[5],609,2.784617,True
anomaly,1,6,6,[6],720,2.857332,True
anomaly,1,7,7,[7],831,2.919601,True
anomaly,1,8,8,[8],942,2.974051,True
anomaly,1,9,9,[9],1053,3.022428,True
anomaly,1,10,18,[18],2052,3.312177,True
anomaly,1,11,27,[27],3051,3.484442,True
anomaly,1,12,36,[36],4050,3.607455,True
anomaly,1,13,45,[45],5049,3.703205,True
anomaly,1,14,54,[54],6048,3.781612,True
anomaly,1,15,63,[63],7047,3.848004,True
anomaly,1,16,72,[72],8046,3.90558,True
anomaly,1,17,81,[81],9045,3.956409,True
anomaly,1,18,90,[90],10044,4.001907,True
anomaly,1,19,180,[180],20034,4.301768,True
anomaly,1,20,270,[270],30024,4.477469,True
anomaly,1,21,360,[360],40014,4.602212,True
anomaly,1,22,450,[450],50004,4.699005,True
anomaly,1,23,540,[540],59994,4.778108,True
anomaly,1,24,630,[630],69984,4.844999,True
anomaly,1,25,720,[720],79974,4.902949,True
anomaly,1,26,810,[810],89964,4.954069,True
anomaly,1,27,900,[900],99954,4.9998,True
anomaly,1,28,1801,[1801],199965,5.300954,True
anomaly,1,29,2702,[2702],299976,5.477087,True
anomaly,1,30,3603,[3603],399987,5.602046,True
anomaly,1,31,4504,[4504],499998,5.698968,True
anomaly,1,32,5405,[5405],600009,5.778158,True
anomaly,1,33,6306,[6306],700020,5.84511,True
anomaly,1,34,7207,[7207],800031,5.903107,True
anomaly,1,35,8108,[8108],900042,5.954263,True
anomaly,1,36,9009,[9009],1000053,6.000023,True
anomaly,1,37,10276,[10276],1140690,6.057168,True
anomaly,1,38,11544,[11544],1281438,6.107698,True
anomaly,1,39,12811,[12811],1422075,6.152923,True
anomaly,1,40,14079,[14079],1562823,6.19391,True
anomaly,1,41,15346,[15346],1703460,6.231332,True
anomaly,1,42,16614,[16614],1844208,6.26581,True
anomaly,1,43,17881,[17881],1984845,6.297727,True
anomaly,1,44,19149,[19149],2125593,6.32748,True
anomaly,1,45,20416,[20416],2266230,6.355304,True
anomaly,2,1,1,"[1, 1]",169,2.227887,True
anomaly,2,2,2,"[2, 2]",286,2.456366,True
anomaly,2,3,3,"[3, 3]",405,2.607455,True
anomaly,2,4,4,"[4, 4]",526,2.720986,True
anomaly,2,5,5,"[5, 5]",649,2.812245,True
anomaly,2,6,6,"[6, 6]",774,2.888741,True
anomaly,2,7,7,"[7, 7]",901,2.954725,True
anomaly,2,8,8,"[8, 8]",1030,3.012837,True
anomaly,2,9,15,"[15, 15]",1989,3.298635,True
anomaly,2,10,22,"[22, 22]",3046,3.48373,True
anomaly,2,11,28,"[28, 28]",4030,3.605305,True
anomaly,2,12,34,"[34, 34]",5086,3.706376,True
anomaly,2,13,39,"[39, 39]",6021,3.779669,True
anomaly,2,14,44,"[44, 44]",7006,3.84547,True
anomaly,2,15,49,"[49, 49]",8041,3.90531,True
anomaly,2,16,53,"[53, 53]",8905,3.949634,True
anomaly,2,17,58,"[58, 58]",10030,4.001301,True
anomaly,2,18,95,"[95, 95]",19909,4.299049,True
anomaly,2,19,125,"[125, 125]",29929,4.476092,True
anomaly,2,20,151,"[151, 151]",40069,4.602809,True
anomaly,2,21,174,"[174, 174]",50166,4.700409,True
anomaly,2,22,194,"[194, 194]",59806,4.776745,True
anomaly,2,23,214,"[214, 214]",70246,4.846622,True
anomaly,2,24,231,"[231, 231]",79749,4.901725,True
anomaly,2,25,248,"[248, 248]",89830,4.953421,True
anomaly,2,26,264,"[264, 264]",99846,4.999331,True
anomaly,2,27,394,"[394, 394]",200206,5.301477,True
anomaly,2,28,494,"[494, 494]",300406,5.477709,True
anomaly,2,29,578,"[578, 578]",400030,5.602093,True
anomaly,2,30,652,"[652, 652]",499486,5.698523,True
anomaly,2,31,720,"[720, 720]",600534,5.778538,True
anomaly,2,32,782,"[782, 782]",700726,5.845548,True
anomaly,2,33,839,"[839, 839]",799621,5.902884,True
anomaly,2,34,893,"[893, 893]",899305,5.953907,True
anomaly,2,35,945,"[945, 945]",1000809,6.000351,True
anomaly,2,36,1358,"[1358, 1358]",1999030,6.300819,True
anomaly,2,37,1676,"[1676, 1676]",3000094,6.477135,True
anomaly,2,38,1944,"[1944, 1944]",4000806,6.602147,True
anomaly,2,39,2180,"[2180, 2180]",5000974,6.699055,True
anomaly,2,40,2393,"[2393, 2393]",5999305,6.778101,True
anomaly,2,41,2589,"[2589, 2589]",6998121,6.844981,True
anomaly,2,42,2772,"[2772, 2772]",8000046,6.903092,True
anomaly,2,43,2944,"[2944, 2944]",9002806,6.954378,True
anomaly,2,44,3106,"[3106, 3106]",10001374,7.00006,True
anomaly,2,45,4415,"[4415, 4415]",19995589,7.300934,True
anomaly,2,46,5421,"[5421, 5421]",30005289,7.477198,True
anomaly,2,47,6268,"[6268, 6268]",40002430,7.602086,True
anomaly,2,48,7014,"[7014, 7014]",49995846,7.698934,True
anomaly,2,49,7689,"[7689, 7689]",59997321,7.778132,True
anomaly,2,50,8310,"[8310, 8310]",70003494,7.84512,True
anomaly,2,51,8887,"[8887, 8887]",79991941,7.903046,True
anomaly,2,52,9430,"[9430, 9430]",89999974,7.954242,True
anomaly,2,53,9943,"[9943, 9943]",99996805,7.999986,True
anomaly,2,54,10512,"[10512, 10512]",111700566,8.048055,True
anomaly,2,55,11052,"[11052, 11052]",123406686,8.091339,True
anomaly,2,56,11567,"[11567, 11567]",135114181,8.130701,True
anomaly,2,57,12060,"[12060, 12060]",146818494,8.166781,True
anomaly,2,58,12533,"[12533, 12533]",158504905,8.200043,True
anomaly,2,59,12990,"[12990, 12990]",170221014,8.231013,True
anomaly,2,60,13431,"[13431, 13431]",181922949,8.259887,True
anomaly,2,61,13858,"[13858, 13858]",193624030,8.286959,True
anomaly,2,62,14272,"[14272, 14272]",205317046,8.312425,True
