[2026-05-16 18:03:19] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 18:03:19] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_019_d2_w21/training_log.txt
[2026-05-16 18:03:19] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_019_d2_w21/training_stats.csv
[2026-05-16 18:03:21] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=1 train_loss=0.498230 val_loss=0.488453 best=0.488453 es=0/5
[2026-05-16 18:03:24] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=2 train_loss=0.479599 val_loss=0.480815 best=0.480815 es=0/5
[2026-05-16 18:03:26] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=3 train_loss=0.475124 val_loss=0.477760 best=0.477760 es=0/5
[2026-05-16 18:03:28] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=4 train_loss=0.472693 val_loss=0.475906 best=0.475906 es=0/5
[2026-05-16 18:03:31] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=5 train_loss=0.471042 val_loss=0.474433 best=0.474433 es=0/5
[2026-05-16 18:03:33] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=6 train_loss=0.469539 val_loss=0.472933 best=0.472933 es=0/5
[2026-05-16 18:03:36] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=7 train_loss=0.468099 val_loss=0.471332 best=0.471332 es=0/5
[2026-05-16 18:03:38] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=8 train_loss=0.466617 val_loss=0.469797 best=0.469797 es=0/5
[2026-05-16 18:03:40] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=9 train_loss=0.465037 val_loss=0.468323 best=0.468323 es=0/5
[2026-05-16 18:03:43] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=10 train_loss=0.463659 val_loss=0.466972 best=0.466972 es=0/5
[2026-05-16 18:03:45] [autoencoding][ae_width_to_depth][cand_019_d2_w21] epoch=11 train_loss=0.462391 val_loss=0.465844 best=0.465844 es=0/5
