[2026-05-16 17:43:52] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 17:43:52] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_010_d2_w12/training_log.txt
[2026-05-16 17:43:52] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_010_d2_w12/training_stats.csv
[2026-05-16 17:43:55] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=1 train_loss=0.700951 val_loss=0.680100 best=0.680100 es=0/5
[2026-05-16 17:43:58] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=2 train_loss=0.671822 val_loss=0.670733 best=0.670733 es=0/5
[2026-05-16 17:44:01] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=3 train_loss=0.663801 val_loss=0.666249 best=0.666249 es=0/5
[2026-05-16 17:44:04] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=4 train_loss=0.659848 val_loss=0.663689 best=0.663689 es=0/5
[2026-05-16 17:44:06] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=5 train_loss=0.657230 val_loss=0.661687 best=0.661687 es=0/5
[2026-05-16 17:44:09] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=6 train_loss=0.655406 val_loss=0.660202 best=0.660202 es=0/5
[2026-05-16 17:44:12] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=7 train_loss=0.653582 val_loss=0.658774 best=0.658774 es=0/5
[2026-05-16 17:44:15] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=8 train_loss=0.652202 val_loss=0.657354 best=0.657354 es=0/5
[2026-05-16 17:44:17] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=9 train_loss=0.650579 val_loss=0.655885 best=0.655885 es=0/5
[2026-05-16 17:44:20] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=10 train_loss=0.648967 val_loss=0.654266 best=0.654266 es=0/5
[2026-05-16 17:44:22] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=11 train_loss=0.647309 val_loss=0.652704 best=0.652704 es=0/5
[2026-05-16 17:44:25] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=12 train_loss=0.645713 val_loss=0.651224 best=0.651224 es=0/5
[2026-05-16 17:44:27] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=13 train_loss=0.644316 val_loss=0.649820 best=0.649820 es=0/5
[2026-05-16 17:44:29] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=14 train_loss=0.642969 val_loss=0.648562 best=0.648562 es=0/5
[2026-05-16 17:44:32] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=15 train_loss=0.641822 val_loss=0.647485 best=0.647485 es=0/5
[2026-05-16 17:44:34] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=16 train_loss=0.640798 val_loss=0.646451 best=0.646451 es=0/5
[2026-05-16 17:44:37] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=17 train_loss=0.639946 val_loss=0.645615 best=0.645615 es=0/5
[2026-05-16 17:44:39] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=18 train_loss=0.639041 val_loss=0.644844 best=0.644844 es=0/5
[2026-05-16 17:44:42] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=19 train_loss=0.638354 val_loss=0.644232 best=0.644232 es=0/5
[2026-05-16 17:44:44] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=20 train_loss=0.637807 val_loss=0.643712 best=0.643712 es=0/5
[2026-05-16 17:44:46] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=21 train_loss=0.637260 val_loss=0.643308 best=0.643308 es=0/5
[2026-05-16 17:44:49] [autoencoding][ae_width_to_depth][cand_010_d2_w12] epoch=22 train_loss=0.636843 val_loss=0.642872 best=0.642872 es=0/5
