task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
representation,ae_width_only,width_only,0.08835405926592402,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d4/representation/ae_width_only/cand_556_d4_w140/checkpoint_best.pt,cand_556_d4_w140
representation,stl_from_ae_width_only,stl_refit,0.1725695832343777,115,125,0.1720846033344474,0.9319805166864598,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d4/representation/stl_from_ae_width_only/cand_000_d4_w140/checkpoint_best.pt,cand_000_d4_w140
