[2026-05-16 20:09:21] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 20:09:21] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_073_d2_w75/training_log.txt
[2026-05-16 20:09:21] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_073_d2_w75/training_stats.csv
[2026-05-16 20:09:24] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=1 train_loss=0.008694 val_loss=0.005661 best=0.005661 es=0/5
[2026-05-16 20:09:27] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=2 train_loss=0.005267 val_loss=0.003991 best=0.003991 es=0/5
[2026-05-16 20:09:29] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=3 train_loss=0.004706 val_loss=0.003938 best=0.003991 es=1/5
[2026-05-16 20:09:32] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=4 train_loss=0.004305 val_loss=0.003648 best=0.003648 es=0/5
[2026-05-16 20:09:36] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=5 train_loss=0.004261 val_loss=0.003630 best=0.003648 es=1/5
[2026-05-16 20:09:39] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=6 train_loss=0.004190 val_loss=0.003653 best=0.003648 es=2/5
[2026-05-16 20:09:42] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=7 train_loss=0.004306 val_loss=0.003594 best=0.003648 es=3/5
[2026-05-16 20:09:45] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=8 train_loss=0.004081 val_loss=0.003441 best=0.003441 es=0/5
[2026-05-16 20:09:48] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=9 train_loss=0.004078 val_loss=0.003524 best=0.003441 es=1/5
[2026-05-16 20:09:51] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=10 train_loss=0.004085 val_loss=0.003390 best=0.003441 es=2/5
[2026-05-16 20:09:54] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=11 train_loss=0.004155 val_loss=0.003481 best=0.003441 es=3/5
[2026-05-16 20:09:57] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=12 train_loss=0.004097 val_loss=0.003330 best=0.003330 es=0/5
[2026-05-16 20:10:00] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=13 train_loss=0.004082 val_loss=0.003445 best=0.003330 es=1/5
[2026-05-16 20:10:03] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=14 train_loss=0.004048 val_loss=0.003290 best=0.003330 es=2/5
[2026-05-16 20:10:06] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=15 train_loss=0.004064 val_loss=0.003444 best=0.003330 es=3/5
[2026-05-16 20:10:09] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=16 train_loss=0.004323 val_loss=0.003434 best=0.003330 es=4/5
[2026-05-16 20:10:13] [autoencoding][ae_width_to_depth][cand_073_d2_w75] epoch=17 train_loss=0.004099 val_loss=0.003354 best=0.003330 es=5/5
