[2026-05-16 10:52:04] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 10:52:04] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_010_d2_w12/training_log.txt
[2026-05-16 10:52:04] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_010_d2_w12/training_stats.csv
[2026-05-16 10:52:07] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=1 train_loss=0.690777 val_loss=0.677282 best=0.677282 es=0/5
[2026-05-16 10:52:09] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=2 train_loss=0.665213 val_loss=0.667349 best=0.667349 es=0/5
[2026-05-16 10:52:12] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=3 train_loss=0.658380 val_loss=0.662962 best=0.662962 es=0/5
[2026-05-16 10:52:16] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=4 train_loss=0.654988 val_loss=0.660269 best=0.660269 es=0/5
[2026-05-16 10:52:19] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=5 train_loss=0.652788 val_loss=0.658300 best=0.658300 es=0/5
[2026-05-16 10:52:22] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=6 train_loss=0.651041 val_loss=0.656629 best=0.656629 es=0/5
[2026-05-16 10:52:26] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=7 train_loss=0.649387 val_loss=0.655075 best=0.655075 es=0/5
[2026-05-16 10:52:29] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=8 train_loss=0.647881 val_loss=0.653494 best=0.653494 es=0/5
[2026-05-16 10:52:32] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=9 train_loss=0.646407 val_loss=0.651987 best=0.651987 es=0/5
[2026-05-16 10:52:35] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=10 train_loss=0.644865 val_loss=0.650484 best=0.650484 es=0/5
[2026-05-16 10:52:39] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=11 train_loss=0.643449 val_loss=0.649020 best=0.649020 es=0/5
[2026-05-16 10:52:42] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=12 train_loss=0.642133 val_loss=0.647775 best=0.647775 es=0/5
[2026-05-16 10:52:45] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=13 train_loss=0.640962 val_loss=0.646599 best=0.646599 es=0/5
[2026-05-16 10:52:48] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=14 train_loss=0.639907 val_loss=0.645639 best=0.645639 es=0/5
[2026-05-16 10:52:52] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=15 train_loss=0.638962 val_loss=0.644770 best=0.644770 es=0/5
[2026-05-16 10:52:55] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=16 train_loss=0.638226 val_loss=0.644146 best=0.644146 es=0/5
[2026-05-16 10:52:59] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=17 train_loss=0.637656 val_loss=0.643599 best=0.643599 es=0/5
[2026-05-16 10:53:02] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=18 train_loss=0.637193 val_loss=0.643218 best=0.643218 es=0/5
[2026-05-16 10:53:05] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=19 train_loss=0.636843 val_loss=0.642890 best=0.642890 es=0/5
[2026-05-16 10:53:08] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=20 train_loss=0.636642 val_loss=0.642670 best=0.642670 es=0/5
[2026-05-16 10:53:12] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=21 train_loss=0.636348 val_loss=0.642573 best=0.642670 es=1/5
[2026-05-16 10:53:15] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=22 train_loss=0.636203 val_loss=0.642370 best=0.642370 es=0/5
[2026-05-16 10:53:18] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=23 train_loss=0.636063 val_loss=0.642191 best=0.642191 es=0/5
[2026-05-16 10:53:21] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=24 train_loss=0.635969 val_loss=0.642336 best=0.642191 es=1/5
[2026-05-16 10:53:24] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=25 train_loss=0.635857 val_loss=0.642079 best=0.642079 es=0/5
[2026-05-16 10:53:27] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=26 train_loss=0.635770 val_loss=0.641966 best=0.641966 es=0/5
[2026-05-16 10:53:29] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=27 train_loss=0.635617 val_loss=0.641939 best=0.641966 es=1/5
[2026-05-16 10:53:32] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=28 train_loss=0.635585 val_loss=0.641848 best=0.641848 es=0/5
[2026-05-16 10:53:34] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=29 train_loss=0.635622 val_loss=0.641930 best=0.641848 es=1/5
[2026-05-16 10:53:37] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=30 train_loss=0.635684 val_loss=0.641698 best=0.641698 es=0/5
[2026-05-16 10:53:39] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=31 train_loss=0.635378 val_loss=0.641585 best=0.641585 es=0/5
[2026-05-16 10:53:42] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=32 train_loss=0.635271 val_loss=0.641504 best=0.641585 es=1/5
[2026-05-16 10:53:44] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=33 train_loss=0.635221 val_loss=0.641525 best=0.641585 es=2/5
[2026-05-16 10:53:47] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=34 train_loss=0.635288 val_loss=0.641504 best=0.641585 es=3/5
[2026-05-16 10:53:49] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=35 train_loss=0.635124 val_loss=0.641521 best=0.641585 es=4/5
[2026-05-16 10:53:52] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=36 train_loss=0.635283 val_loss=0.641414 best=0.641414 es=0/5
[2026-05-16 10:53:54] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=37 train_loss=0.635006 val_loss=0.641283 best=0.641283 es=0/5
[2026-05-16 10:53:57] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=38 train_loss=0.634969 val_loss=0.641328 best=0.641283 es=1/5
[2026-05-16 10:53:59] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=39 train_loss=0.634932 val_loss=0.641261 best=0.641283 es=2/5
[2026-05-16 10:54:02] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=40 train_loss=0.634825 val_loss=0.641173 best=0.641173 es=0/5
[2026-05-16 10:54:04] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=41 train_loss=0.634813 val_loss=0.641151 best=0.641173 es=1/5
[2026-05-16 10:54:07] [representation][ae_width_to_depth][cand_010_d2_w12] epoch=42 train_loss=0.634842 val_loss=0.641195 best=0.641173 es=2/5
