[2026-05-16 21:11:28] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 21:11:28] Logs: DAE/DNN/results/search_suite_20260516/representation/random/cand_041_d2_w4/training_log.txt
[2026-05-16 21:11:28] CSV: DAE/DNN/results/search_suite_20260516/representation/random/cand_041_d2_w4/training_stats.csv
[2026-05-16 21:11:31] [representation][random][cand_041_d2_w4] epoch=1 train_loss=1.196443 val_loss=1.104278 best=1.104278 es=0/5
[2026-05-16 21:11:34] [representation][random][cand_041_d2_w4] epoch=2 train_loss=1.133528 val_loss=1.101392 best=1.101392 es=0/5
[2026-05-16 21:11:37] [representation][random][cand_041_d2_w4] epoch=3 train_loss=1.090497 val_loss=1.079502 best=1.079502 es=0/5
[2026-05-16 21:11:40] [representation][random][cand_041_d2_w4] epoch=4 train_loss=1.062393 val_loss=1.058135 best=1.058135 es=0/5
[2026-05-16 21:11:43] [representation][random][cand_041_d2_w4] epoch=5 train_loss=1.043547 val_loss=1.042001 best=1.042001 es=0/5
[2026-05-16 21:11:47] [representation][random][cand_041_d2_w4] epoch=6 train_loss=1.029452 val_loss=1.029721 best=1.029721 es=0/5
[2026-05-16 21:11:50] [representation][random][cand_041_d2_w4] epoch=7 train_loss=1.018412 val_loss=1.019938 best=1.019938 es=0/5
[2026-05-16 21:11:53] [representation][random][cand_041_d2_w4] epoch=8 train_loss=1.009449 val_loss=1.011959 best=1.011959 es=0/5
[2026-05-16 21:11:56] [representation][random][cand_041_d2_w4] epoch=9 train_loss=1.001894 val_loss=1.004890 best=1.004890 es=0/5
[2026-05-16 21:11:59] [representation][random][cand_041_d2_w4] epoch=10 train_loss=0.995115 val_loss=0.998447 best=0.998447 es=0/5
[2026-05-16 21:12:02] [representation][random][cand_041_d2_w4] epoch=11 train_loss=0.988862 val_loss=0.992431 best=0.992431 es=0/5
[2026-05-16 21:12:05] [representation][random][cand_041_d2_w4] epoch=12 train_loss=0.983035 val_loss=0.986820 best=0.986820 es=0/5
[2026-05-16 21:12:09] [representation][random][cand_041_d2_w4] epoch=13 train_loss=0.977617 val_loss=0.981635 best=0.981635 es=0/5
[2026-05-16 21:12:12] [representation][random][cand_041_d2_w4] epoch=14 train_loss=0.972554 val_loss=0.976769 best=0.976769 es=0/5
[2026-05-16 21:12:15] [representation][random][cand_041_d2_w4] epoch=15 train_loss=0.967851 val_loss=0.972215 best=0.972215 es=0/5
[2026-05-16 21:12:18] [representation][random][cand_041_d2_w4] epoch=16 train_loss=0.963406 val_loss=0.967868 best=0.967868 es=0/5
[2026-05-16 21:12:22] [representation][random][cand_041_d2_w4] epoch=17 train_loss=0.959111 val_loss=0.963648 best=0.963648 es=0/5
[2026-05-16 21:12:25] [representation][random][cand_041_d2_w4] epoch=18 train_loss=0.954999 val_loss=0.959619 best=0.959619 es=0/5
[2026-05-16 21:12:28] [representation][random][cand_041_d2_w4] epoch=19 train_loss=0.951041 val_loss=0.955737 best=0.955737 es=0/5
[2026-05-16 21:12:31] [representation][random][cand_041_d2_w4] epoch=20 train_loss=0.947255 val_loss=0.952067 best=0.952067 es=0/5
[2026-05-16 21:12:34] [representation][random][cand_041_d2_w4] epoch=21 train_loss=0.943671 val_loss=0.948559 best=0.948559 es=0/5
[2026-05-16 21:12:37] [representation][random][cand_041_d2_w4] epoch=22 train_loss=0.940251 val_loss=0.945201 best=0.945201 es=0/5
[2026-05-16 21:12:40] [representation][random][cand_041_d2_w4] epoch=23 train_loss=0.936972 val_loss=0.941959 best=0.941959 es=0/5
[2026-05-16 21:12:43] [representation][random][cand_041_d2_w4] epoch=24 train_loss=0.933802 val_loss=0.938791 best=0.938791 es=0/5
[2026-05-16 21:12:47] [representation][random][cand_041_d2_w4] epoch=25 train_loss=0.930666 val_loss=0.935629 best=0.935629 es=0/5
[2026-05-16 21:12:50] [representation][random][cand_041_d2_w4] epoch=26 train_loss=0.927550 val_loss=0.932568 best=0.932568 es=0/5
[2026-05-16 21:12:53] [representation][random][cand_041_d2_w4] epoch=27 train_loss=0.924537 val_loss=0.929550 best=0.929550 es=0/5
[2026-05-16 21:12:56] [representation][random][cand_041_d2_w4] epoch=28 train_loss=0.921543 val_loss=0.926532 best=0.926532 es=0/5
[2026-05-16 21:12:59] [representation][random][cand_041_d2_w4] epoch=29 train_loss=0.918586 val_loss=0.923587 best=0.923587 es=0/5
[2026-05-16 21:13:03] [representation][random][cand_041_d2_w4] epoch=30 train_loss=0.915731 val_loss=0.920770 best=0.920770 es=0/5
[2026-05-16 21:13:06] [representation][random][cand_041_d2_w4] epoch=31 train_loss=0.913013 val_loss=0.918070 best=0.918070 es=0/5
[2026-05-16 21:13:09] [representation][random][cand_041_d2_w4] epoch=32 train_loss=0.910398 val_loss=0.915485 best=0.915485 es=0/5
[2026-05-16 21:13:12] [representation][random][cand_041_d2_w4] epoch=33 train_loss=0.907915 val_loss=0.913068 best=0.913068 es=0/5
[2026-05-16 21:13:15] [representation][random][cand_041_d2_w4] epoch=34 train_loss=0.905557 val_loss=0.910713 best=0.910713 es=0/5
[2026-05-16 21:13:18] [representation][random][cand_041_d2_w4] epoch=35 train_loss=0.903303 val_loss=0.908495 best=0.908495 es=0/5
[2026-05-16 21:13:22] [representation][random][cand_041_d2_w4] epoch=36 train_loss=0.901164 val_loss=0.906335 best=0.906335 es=0/5
[2026-05-16 21:13:25] [representation][random][cand_041_d2_w4] epoch=37 train_loss=0.899096 val_loss=0.904302 best=0.904302 es=0/5
[2026-05-16 21:13:28] [representation][random][cand_041_d2_w4] epoch=38 train_loss=0.897122 val_loss=0.902352 best=0.902352 es=0/5
[2026-05-16 21:13:31] [representation][random][cand_041_d2_w4] epoch=39 train_loss=0.895228 val_loss=0.900435 best=0.900435 es=0/5
[2026-05-16 21:13:34] [representation][random][cand_041_d2_w4] epoch=40 train_loss=0.893393 val_loss=0.898620 best=0.898620 es=0/5
[2026-05-16 21:13:37] [representation][random][cand_041_d2_w4] epoch=41 train_loss=0.891607 val_loss=0.896826 best=0.896826 es=0/5
[2026-05-16 21:13:40] [representation][random][cand_041_d2_w4] epoch=42 train_loss=0.889871 val_loss=0.895096 best=0.895096 es=0/5
[2026-05-16 21:13:44] [representation][random][cand_041_d2_w4] epoch=43 train_loss=0.888181 val_loss=0.893379 best=0.893379 es=0/5
[2026-05-16 21:13:47] [representation][random][cand_041_d2_w4] epoch=44 train_loss=0.886498 val_loss=0.891661 best=0.891661 es=0/5
[2026-05-16 21:13:50] [representation][random][cand_041_d2_w4] epoch=45 train_loss=0.884872 val_loss=0.890028 best=0.890028 es=0/5
[2026-05-16 21:13:53] [representation][random][cand_041_d2_w4] epoch=46 train_loss=0.883230 val_loss=0.888326 best=0.888326 es=0/5
[2026-05-16 21:13:56] [representation][random][cand_041_d2_w4] epoch=47 train_loss=0.881548 val_loss=0.886659 best=0.886659 es=0/5
[2026-05-16 21:13:59] [representation][random][cand_041_d2_w4] epoch=48 train_loss=0.879909 val_loss=0.884969 best=0.884969 es=0/5
[2026-05-16 21:14:02] [representation][random][cand_041_d2_w4] epoch=49 train_loss=0.878241 val_loss=0.883228 best=0.883228 es=0/5
[2026-05-16 21:14:06] [representation][random][cand_041_d2_w4] epoch=50 train_loss=0.876645 val_loss=0.881773 best=0.881773 es=0/5
[2026-05-16 21:14:09] [representation][random][cand_041_d2_w4] epoch=51 train_loss=0.875219 val_loss=0.880246 best=0.880246 es=0/5
[2026-05-16 21:14:12] [representation][random][cand_041_d2_w4] epoch=52 train_loss=0.873680 val_loss=0.878822 best=0.878822 es=0/5
[2026-05-16 21:14:15] [representation][random][cand_041_d2_w4] epoch=53 train_loss=0.872301 val_loss=0.877528 best=0.877528 es=0/5
[2026-05-16 21:14:18] [representation][random][cand_041_d2_w4] epoch=54 train_loss=0.871016 val_loss=0.876256 best=0.876256 es=0/5
[2026-05-16 21:14:22] [representation][random][cand_041_d2_w4] epoch=55 train_loss=0.869806 val_loss=0.875146 best=0.875146 es=0/5
