[2026-05-20 14:21:19] Initialized ContinuousLogger for autoencoding_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-20 14:21:19] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-20 14:21:19] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-20 14:21:19] [CANDIDATE] task=autoencoding phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-20 14:22:42] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=31 architecture=[1] train_loss=1.040718 val_loss=1.047122 best=1.047122 es=0/5
[2026-05-20 14:22:45] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=32 architecture=[1] train_loss=1.037472 val_loss=1.043984 best=1.043984 es=0/5
[2026-05-20 14:22:48] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=33 architecture=[1] train_loss=1.034425 val_loss=1.041039 best=1.041039 es=0/5
[2026-05-20 14:22:50] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=34 architecture=[1] train_loss=1.031562 val_loss=1.038273 best=1.038273 es=0/5
[2026-05-20 14:22:53] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=35 architecture=[1] train_loss=1.028879 val_loss=1.035671 best=1.035671 es=0/5
[2026-05-20 14:22:56] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=36 architecture=[1] train_loss=1.026355 val_loss=1.033234 best=1.033234 es=0/5
[2026-05-20 14:22:58] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=37 architecture=[1] train_loss=1.023983 val_loss=1.030936 best=1.030936 es=0/5
[2026-05-20 14:23:01] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=38 architecture=[1] train_loss=1.021752 val_loss=1.028774 best=1.028774 es=0/5
[2026-05-20 14:23:04] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=39 architecture=[1] train_loss=1.019652 val_loss=1.026741 best=1.026741 es=0/5
[2026-05-20 14:23:07] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=40 architecture=[1] train_loss=1.017679 val_loss=1.024828 best=1.024828 es=0/5
[2026-05-20 14:23:09] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=41 architecture=[1] train_loss=1.015819 val_loss=1.023023 best=1.023023 es=0/5
[2026-05-20 14:23:12] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=42 architecture=[1] train_loss=1.014067 val_loss=1.021326 best=1.021326 es=0/5
[2026-05-20 14:23:15] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=43 architecture=[1] train_loss=1.012416 val_loss=1.019723 best=1.019723 es=0/5
[2026-05-20 14:23:18] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=44 architecture=[1] train_loss=1.010858 val_loss=1.018210 best=1.018210 es=0/5
[2026-05-20 14:23:20] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=45 architecture=[1] train_loss=1.009385 val_loss=1.016780 best=1.016780 es=0/5
[2026-05-20 14:23:23] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=46 architecture=[1] train_loss=1.007996 val_loss=1.015432 best=1.015432 es=0/5
[2026-05-20 14:23:26] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=47 architecture=[1] train_loss=1.006682 val_loss=1.014154 best=1.014154 es=0/5
[2026-05-20 14:23:28] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=48 architecture=[1] train_loss=1.005441 val_loss=1.012945 best=1.012945 es=0/5
[2026-05-20 14:23:31] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=49 architecture=[1] train_loss=1.004263 val_loss=1.011800 best=1.011800 es=0/5
[2026-05-20 14:23:34] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=50 architecture=[1] train_loss=1.003144 val_loss=1.010712 best=1.010712 es=0/5
[2026-05-20 14:23:36] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=51 architecture=[1] train_loss=1.002085 val_loss=1.009680 best=1.009680 es=0/5
[2026-05-20 14:23:39] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=52 architecture=[1] train_loss=1.001080 val_loss=1.008698 best=1.008698 es=0/5
[2026-05-20 14:23:42] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=53 architecture=[1] train_loss=1.000124 val_loss=1.007766 best=1.007766 es=0/5
[2026-05-20 14:23:45] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=54 architecture=[1] train_loss=0.999211 val_loss=1.006878 best=1.006878 es=0/5
[2026-05-20 14:23:47] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=55 architecture=[1] train_loss=0.998345 val_loss=1.006029 best=1.006029 es=0/5
[2026-05-20 14:23:50] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=56 architecture=[1] train_loss=0.997513 val_loss=1.005219 best=1.005219 es=0/5
[2026-05-20 14:23:53] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=57 architecture=[1] train_loss=0.996721 val_loss=1.004442 best=1.004442 es=0/5
[2026-05-20 14:23:56] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=58 architecture=[1] train_loss=0.995961 val_loss=1.003703 best=1.003703 es=0/5
[2026-05-20 14:23:58] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=59 architecture=[1] train_loss=0.995234 val_loss=1.002988 best=1.002988 es=0/5
[2026-05-20 14:24:01] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=60 architecture=[1] train_loss=0.994536 val_loss=1.002304 best=1.002304 es=0/5
[2026-05-20 14:24:04] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=61 architecture=[1] train_loss=0.993861 val_loss=1.001640 best=1.001640 es=0/5
[2026-05-20 14:24:06] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=62 architecture=[1] train_loss=0.993211 val_loss=1.001003 best=1.001003 es=0/5
[2026-05-20 14:24:09] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=63 architecture=[1] train_loss=0.992584 val_loss=1.000390 best=1.000390 es=0/5
[2026-05-20 14:24:12] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=64 architecture=[1] train_loss=0.991978 val_loss=0.999789 best=0.999789 es=0/5
[2026-05-20 14:24:15] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=65 architecture=[1] train_loss=0.991387 val_loss=0.999210 best=0.999210 es=0/5
[2026-05-20 14:24:17] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=66 architecture=[1] train_loss=0.990815 val_loss=0.998646 best=0.998646 es=0/5
[2026-05-20 14:24:20] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=67 architecture=[1] train_loss=0.990257 val_loss=0.998098 best=0.998098 es=0/5
[2026-05-20 14:24:23] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=68 architecture=[1] train_loss=0.989715 val_loss=0.997560 best=0.997560 es=0/5
[2026-05-20 14:24:26] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=69 architecture=[1] train_loss=0.989180 val_loss=0.997036 best=0.997036 es=0/5
[2026-05-20 14:24:28] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=70 architecture=[1] train_loss=0.988659 val_loss=0.996517 best=0.996517 es=0/5
[2026-05-20 14:24:31] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=71 architecture=[1] train_loss=0.988145 val_loss=0.996011 best=0.996011 es=0/5
[2026-05-20 14:24:34] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=72 architecture=[1] train_loss=0.987639 val_loss=0.995508 best=0.995508 es=0/5
[2026-05-20 14:24:37] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=73 architecture=[1] train_loss=0.987142 val_loss=0.995013 best=0.995013 es=0/5
[2026-05-20 14:24:39] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=74 architecture=[1] train_loss=0.986644 val_loss=0.994524 best=0.994524 es=0/5
[2026-05-20 14:24:42] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=75 architecture=[1] train_loss=0.986156 val_loss=0.994037 best=0.994037 es=0/5
[2026-05-20 14:24:45] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=76 architecture=[1] train_loss=0.985671 val_loss=0.993553 best=0.993553 es=0/5
[2026-05-20 14:24:48] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=77 architecture=[1] train_loss=0.985183 val_loss=0.993070 best=0.993070 es=0/5
[2026-05-20 14:24:50] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=78 architecture=[1] train_loss=0.984700 val_loss=0.992586 best=0.992586 es=0/5
[2026-05-20 14:24:53] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=79 architecture=[1] train_loss=0.984214 val_loss=0.992103 best=0.992103 es=0/5
[2026-05-20 14:24:56] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=80 architecture=[1] train_loss=0.983727 val_loss=0.991621 best=0.991621 es=0/5
[2026-05-20 14:24:59] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=81 architecture=[1] train_loss=0.983242 val_loss=0.991133 best=0.991133 es=0/5
[2026-05-20 14:25:01] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=82 architecture=[1] train_loss=0.982749 val_loss=0.990645 best=0.990645 es=0/5
[2026-05-20 14:25:04] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=83 architecture=[1] train_loss=0.982254 val_loss=0.990153 best=0.990153 es=0/5
[2026-05-20 14:25:07] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=84 architecture=[1] train_loss=0.981757 val_loss=0.989659 best=0.989659 es=0/5
[2026-05-20 14:25:09] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=85 architecture=[1] train_loss=0.981257 val_loss=0.989158 best=0.989158 es=0/5
[2026-05-20 14:25:12] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=86 architecture=[1] train_loss=0.980752 val_loss=0.988653 best=0.988653 es=0/5
[2026-05-20 14:25:15] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=87 architecture=[1] train_loss=0.980242 val_loss=0.988142 best=0.988142 es=0/5
[2026-05-20 14:25:18] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=88 architecture=[1] train_loss=0.979722 val_loss=0.987626 best=0.987626 es=0/5
[2026-05-20 14:25:21] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=89 architecture=[1] train_loss=0.979197 val_loss=0.987103 best=0.987103 es=0/5
[2026-05-20 14:25:23] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=90 architecture=[1] train_loss=0.978669 val_loss=0.986574 best=0.986574 es=0/5
[2026-05-20 14:25:27] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=91 architecture=[1] train_loss=0.978135 val_loss=0.986041 best=0.986041 es=0/5
[2026-05-20 14:25:30] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=92 architecture=[1] train_loss=0.977591 val_loss=0.985500 best=0.985500 es=0/5
[2026-05-20 14:25:33] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=93 architecture=[1] train_loss=0.977043 val_loss=0.984952 best=0.984952 es=0/5
[2026-05-20 14:25:35] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=94 architecture=[1] train_loss=0.976495 val_loss=0.984399 best=0.984399 es=0/5
[2026-05-20 14:25:38] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=95 architecture=[1] train_loss=0.975925 val_loss=0.983839 best=0.983839 es=0/5
[2026-05-20 14:25:41] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=96 architecture=[1] train_loss=0.975358 val_loss=0.983271 best=0.983271 es=0/5
[2026-05-20 14:25:43] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=97 architecture=[1] train_loss=0.974781 val_loss=0.982697 best=0.982697 es=0/5
[2026-05-20 14:25:46] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=98 architecture=[1] train_loss=0.974199 val_loss=0.982117 best=0.982117 es=0/5
[2026-05-20 14:25:49] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=99 architecture=[1] train_loss=0.973609 val_loss=0.981530 best=0.981530 es=0/5
[2026-05-20 14:25:51] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=100 architecture=[1] train_loss=0.973013 val_loss=0.980935 best=0.980935 es=0/5
[2026-05-20 14:25:54] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=101 architecture=[1] train_loss=0.972412 val_loss=0.980335 best=0.980335 es=0/5
[2026-05-20 14:25:57] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=102 architecture=[1] train_loss=0.971803 val_loss=0.979729 best=0.979729 es=0/5
[2026-05-20 14:26:00] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=103 architecture=[1] train_loss=0.971191 val_loss=0.979113 best=0.979113 es=0/5
[2026-05-20 14:26:03] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=104 architecture=[1] train_loss=0.970563 val_loss=0.978493 best=0.978493 es=0/5
[2026-05-20 14:26:05] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=105 architecture=[1] train_loss=0.969937 val_loss=0.977868 best=0.977868 es=0/5
[2026-05-20 14:26:08] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=106 architecture=[1] train_loss=0.969302 val_loss=0.977235 best=0.977235 es=0/5
[2026-05-20 14:26:11] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=107 architecture=[1] train_loss=0.968667 val_loss=0.976599 best=0.976599 es=0/5
[2026-05-20 14:26:14] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=108 architecture=[1] train_loss=0.968017 val_loss=0.975960 best=0.975960 es=0/5
[2026-05-20 14:26:16] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=109 architecture=[1] train_loss=0.967369 val_loss=0.975316 best=0.975316 es=0/5
[2026-05-20 14:26:19] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=110 architecture=[1] train_loss=0.966720 val_loss=0.974665 best=0.974665 es=0/5
