[2026-05-16 10:29:38] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 10:29:38] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_005_d2_w7/training_log.txt
[2026-05-16 10:29:38] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_005_d2_w7/training_stats.csv
[2026-05-16 10:29:41] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=1 train_loss=0.875195 val_loss=0.813887 best=0.813887 es=0/5
[2026-05-16 10:29:44] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=2 train_loss=0.806784 val_loss=0.797123 best=0.797123 es=0/5
[2026-05-16 10:29:46] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=3 train_loss=0.785808 val_loss=0.786534 best=0.786534 es=0/5
[2026-05-16 10:29:49] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=4 train_loss=0.776655 val_loss=0.781083 best=0.781083 es=0/5
[2026-05-16 10:29:51] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=5 train_loss=0.772569 val_loss=0.778289 best=0.778289 es=0/5
[2026-05-16 10:29:54] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=6 train_loss=0.770419 val_loss=0.776671 best=0.776671 es=0/5
[2026-05-16 10:29:56] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=7 train_loss=0.768900 val_loss=0.775305 best=0.775305 es=0/5
[2026-05-16 10:29:59] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=8 train_loss=0.767688 val_loss=0.774192 best=0.774192 es=0/5
[2026-05-16 10:30:01] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=9 train_loss=0.766604 val_loss=0.773201 best=0.773201 es=0/5
[2026-05-16 10:30:04] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=10 train_loss=0.765652 val_loss=0.772271 best=0.772271 es=0/5
[2026-05-16 10:30:06] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=11 train_loss=0.764685 val_loss=0.771379 best=0.771379 es=0/5
[2026-05-16 10:30:09] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=12 train_loss=0.763818 val_loss=0.770552 best=0.770552 es=0/5
[2026-05-16 10:30:11] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=13 train_loss=0.762933 val_loss=0.769740 best=0.769740 es=0/5
[2026-05-16 10:30:14] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=14 train_loss=0.762115 val_loss=0.768980 best=0.768980 es=0/5
[2026-05-16 10:30:16] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=15 train_loss=0.761410 val_loss=0.768215 best=0.768215 es=0/5
[2026-05-16 10:30:19] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=16 train_loss=0.760618 val_loss=0.767467 best=0.767467 es=0/5
[2026-05-16 10:30:21] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=17 train_loss=0.759842 val_loss=0.766809 best=0.766809 es=0/5
[2026-05-16 10:30:24] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=18 train_loss=0.759190 val_loss=0.766141 best=0.766141 es=0/5
[2026-05-16 10:30:26] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=19 train_loss=0.758547 val_loss=0.765530 best=0.765530 es=0/5
[2026-05-16 10:30:29] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=20 train_loss=0.757916 val_loss=0.764932 best=0.764932 es=0/5
[2026-05-16 10:30:31] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=21 train_loss=0.757367 val_loss=0.764388 best=0.764388 es=0/5
[2026-05-16 10:30:34] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=22 train_loss=0.756830 val_loss=0.763898 best=0.763898 es=0/5
[2026-05-16 10:30:36] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=23 train_loss=0.756358 val_loss=0.763466 best=0.763466 es=0/5
[2026-05-16 10:30:39] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=24 train_loss=0.755969 val_loss=0.763030 best=0.763030 es=0/5
[2026-05-16 10:30:41] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=25 train_loss=0.755541 val_loss=0.762675 best=0.762675 es=0/5
[2026-05-16 10:30:44] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=26 train_loss=0.755207 val_loss=0.762354 best=0.762354 es=0/5
[2026-05-16 10:30:47] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=27 train_loss=0.754889 val_loss=0.762036 best=0.762036 es=0/5
[2026-05-16 10:30:49] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=28 train_loss=0.754622 val_loss=0.761789 best=0.761789 es=0/5
[2026-05-16 10:30:52] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=29 train_loss=0.754412 val_loss=0.761560 best=0.761560 es=0/5
[2026-05-16 10:30:54] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=30 train_loss=0.754170 val_loss=0.761364 best=0.761364 es=0/5
[2026-05-16 10:30:57] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=31 train_loss=0.753950 val_loss=0.761165 best=0.761165 es=0/5
[2026-05-16 10:31:00] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=32 train_loss=0.753797 val_loss=0.761026 best=0.761026 es=0/5
[2026-05-16 10:31:02] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=33 train_loss=0.753622 val_loss=0.760864 best=0.760864 es=0/5
[2026-05-16 10:31:05] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=34 train_loss=0.753489 val_loss=0.760734 best=0.760734 es=0/5
[2026-05-16 10:31:07] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=35 train_loss=0.753448 val_loss=0.760664 best=0.760734 es=1/5
[2026-05-16 10:31:10] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=36 train_loss=0.753307 val_loss=0.760556 best=0.760556 es=0/5
[2026-05-16 10:31:12] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=37 train_loss=0.753198 val_loss=0.760417 best=0.760417 es=0/5
[2026-05-16 10:31:15] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=38 train_loss=0.753018 val_loss=0.760291 best=0.760291 es=0/5
[2026-05-16 10:31:17] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=39 train_loss=0.752956 val_loss=0.760255 best=0.760291 es=1/5
[2026-05-16 10:31:20] [representation][ae_width_to_depth][cand_005_d2_w7] epoch=40 train_loss=0.752904 val_loss=0.760164 best=0.760164 es=0/5
