,Model Name,Case Name,Time Taken,Total_Neurons,Train Samples,Test Samples,Mean MSE,Mean Gap Objective %,Max_Max Real Power Residual,Max_Mean Real Power Residual,Mean_Max Real Power Residual,Mean_Mean Real Power Residual ,Max_Max Reactive Power Residual,Max_Mean Reactive Power Residual,Mean_Max Reactive Power Residual,Mean_Mean Reactive Power Residual ,Max_Max Inequality PG,Max_Mean Inequality PG,Mean_Max Inequality PG,Mean_Mean Inequality PG,Max_Max Inequality QG,Max_Mean Inequality QG,Mean_Max Inequality QG,Mean_Mean Inequality QG,Max_Max Inequality VM,Max_Mean Inequality VM,Mean_Max Inequality VM,Mean_Mean Inequality VM
10,ADP-DEN,pglib_opf_case14_ieee,21.96s,1000,250,1500,0.0001257783005712,0.8400593996047974,0.4681786298751831,0.1749948561191558,0.2072295993566513,0.0732878074049949,0.4681786298751831,0.1669380515813827,0.2072295993566513,0.0774211660027504,0.0123019069433212,0.0050916308537125,0.0036869551986455,0.0015816456871107,0.0127836763858795,0.0025567351840436,0.0013734340900555,0.0002747375692706,0.0381946563720703,0.0121316146105527,0.0060498979873955,0.0011752990540117
11,ADP-DEN,pglib_opf_case14_ieee,31.66s,1000,500,1500,0.0001389554527122,1.1773333549499512,0.5650535821914673,0.164721131324768,0.2019915580749511,0.0704489573836326,0.5650535821914673,0.1985812485218048,0.2019915580749511,0.0783571451902389,0.0138736404478549,0.0035552605986595,0.0054662893526256,0.001691619399935,0.0068747103214263,0.0022785603068768,0.0005017603980377,0.00010474017472,0.0374317169189453,0.0085478769615292,0.0049050622619688,0.0007772175595164
12,ADP-DEN,pglib_opf_case14_ieee,56.08s,960,1000,1500,6.044584370101802e-05,0.5888134837150574,0.5876278281211853,0.132887989282608,0.1608373075723648,0.0492626689374446,0.5876278281211853,0.1803836971521377,0.1608373075723648,0.0616281852126121,0.0068387240171432,0.0035956017673015,0.0025727662723511,0.0011941558914259,0.0210268199443817,0.0053065242245793,0.0015118212904781,0.0003377446264494,0.0113358497619628,0.0017980167176574,0.0015151213156059,0.0001844885700847
13,ADP-DEN,pglib_opf_case14_ieee,35.54s,280,1500,1500,5.886396684218198e-05,0.5175853371620178,0.4449580907821655,0.1325748711824417,0.2036168426275253,0.0563982389867305,0.4449580907821655,0.1349832862615585,0.2036168426275253,0.0465193279087543,0.007091611623764,0.0030048713088035,0.0022150611039251,0.0008819151553325,0.01312156021595,0.0027762367390096,0.0012723208637908,0.00027002353454,0.0125273466110229,0.0022451025433838,0.0016117866616696,0.000222259084694
14,ADP-DEN,pglib_opf_case14_ieee,2m 1.31s,1640,2000,1500,6.460734584834427e-05,0.7398866415023804,0.5021994113922119,0.2330622225999832,0.2881120145320892,0.0874058827757835,0.5021994113922119,0.1452736109495163,0.2881120145320892,0.059227630496025,0.0092422440648078,0.0040718931704759,0.0037636638153344,0.0014491747133433,0.0279951393604278,0.0063013075850903,0.0029604663141071,0.0006507989019155,0.0233829021453857,0.0032803246285766,0.0047363978810608,0.0004770528175868
15,ADP-DEN,pglib_opf_case14_ieee,40.32s,220,2500,1500,6.256618507904932e-05,0.732319176197052,0.9298893809318542,0.0865886434912681,0.1313842833042144,0.0401407927274704,0.9298893809318542,0.1576123088598251,0.1313842833042144,0.0730302259325981,0.0041921287775039,0.0016481978818774,0.0020256966818124,0.0009076301939785,0.0323919951915741,0.0070936381816864,0.001863355981186,0.0003859995922539,0.0093040466308593,0.0017790539423003,0.0013647202868014,0.000230698075029
16,ADP-DEN,pglib_opf_case14_ieee,44.23s,160,5000,1500,5.02658513141796e-05,0.4611298739910126,0.2722155153751373,0.0845753625035286,0.0971918106079101,0.0324038490653038,0.2722155153751373,0.0800452157855033,0.0971918106079101,0.0314664803445339,0.0085390359163284,0.0029599478002637,0.0027214540168642,0.0010624979622662,0.0224868059158325,0.0051169814541935,0.0017484232084825,0.0003689808945637,0.0144232511520385,0.0026230812072753,0.0016947059193626,0.0002331431314814
17,ADP-DEN,pglib_opf_case14_ieee,55.58s,60,10000,1500,5.013171539758332e-05,0.4660804867744446,0.1789330840110778,0.0884124487638473,0.090991273522377,0.0253078788518905,0.1789330840110778,0.0502398200333118,0.090991273522377,0.019699852913618,0.0028457720763981,0.001059188041836,0.0007064210367389,0.0002968153858091,0.0212748050689697,0.0044918716885149,0.0011484568240121,0.0002367800916545,0.0130857229232788,0.0017769677797332,0.001163650653325,0.000143196011777
18,ADP-DEN,pglib_opf_case14_ieee,59.42s,60,15000,1500,4.528164572548121e-05,0.4028951227664947,0.656071126461029,0.0971132516860961,0.1166525557637214,0.0368887446820735,0.656071126461029,0.1224227994680404,0.1166525557637214,0.0481420941650867,0.0052097514271736,0.0024115606211125,0.0018301204545423,0.000788225675933,0.0232689380645751,0.0054024993441998,0.0013961135409772,0.000298236060189,0.0115785598754882,0.0020899602677673,0.0020797618199139,0.0002862124238163
19,ADP-DEN,pglib_opf_case14_ieee,1m 2.22s,60,20000,1500,4.4280495785642415e-05,0.354409247636795,0.1871879696846008,0.0486737973988056,0.0747929736971855,0.0224057864397764,0.1871879696846008,0.054082553833723,0.0747929736971855,0.0183016695082187,0.0016377866268157,0.0008307084208354,0.0006735803326591,0.0002910470066126,0.0255335569381713,0.0056220889091491,0.0015051874797791,0.000313268013997,0.0095291137695312,0.0017991235945373,0.0010063826339319,0.0001781943574314
20,ADP-DEN,pglib_opf_case14_ieee,1m 8.04s,60,25000,1500,3.827718683169224e-05,0.2499883323907852,0.3136698603630066,0.0602918937802314,0.0787557810544967,0.0269738305360078,0.3136698603630066,0.0860905200242996,0.0787557810544967,0.0269236527383327,0.0045685768127441,0.0017849400173872,0.0016769069479778,0.0006562938215211,0.0240802764892578,0.0048160552978515,0.0011571900686249,0.0002366163680562,0.0124638080596923,0.0016672100173309,0.0012748092412948,0.0001530187146272
120,STL,pglib_opf_case14_ieee,8.77s,6,250,1500,0.0004977410426363,1.972175121307373,1.4892024993896484,0.3990587890148163,0.4083073735237121,0.1407420337200164,1.4892024993896484,0.3428388237953186,0.4083073735237121,0.1476921141147613,0.0285173952579498,0.0155121088027954,0.0080317361280322,0.0040200781077146,0.0534005165100097,0.0106801036745309,0.0081612709909677,0.0016322543378919,0.0825005769729614,0.0265772938728332,0.012948527932167,0.0023057584185153
