,Model Name,Case Name,Train Samples,Test Samples,Total_Neurons,Mean MSE,Mean Gap Objective %,Max_Max Real Power Residual,Max_Mean Real Power Residual,Mean_Max Real Power Residual,Mean_Mean Real Power Residual ,Max_Max Reactive Power Residual,Max_Mean Reactive Power Residual,Mean_Max Reactive Power Residual,Mean_Mean Reactive Power Residual ,Max_Max Inequality PG,Max_Mean Inequality PG,Mean_Max Inequality PG,Mean_Mean Inequality PG,Max_Max Inequality QG,Max_Mean Inequality QG,Mean_Max Inequality QG,Mean_Mean Inequality QG,Max_Max Inequality VM,Max_Mean Inequality VM,Mean_Max Inequality VM,Mean_Mean Inequality VM
2,ADP-DEN,pglib_opf_case14_ieee,250,1500,388.0,0.00039556364354206,2.398963379859924,0.5775252342224121,0.18212287724018092,0.21941773593425745,0.07017734050750726,0.5775252342224121,0.18611696958541865,0.21941773593425745,0.0786360919475555,0.01705821529030796,0.00677515082061284,0.0055754570756107,0.0021508492296561,0.0124624133110045,0.0024924826109781,0.0016531167668289,0.0003306334969237,0.0606739044189453,0.0257584488019346,0.0098993788473307,0.0023646127199753
3,ADP-DEN,pglib_opf_case14_ieee,500,1500,364.0,0.00046172725269566,2.7641703605651857,0.5691566556692124,0.2063111618161201,0.28996983170509333,0.0863256257027387,0.5691566556692124,0.187480566650629,0.28996983170509333,0.07513169720768927,0.013859423995017939,0.00438709182781162,0.0053514606202951,0.0018884049088228,0.0081707179546355,0.0018148672534152,0.0011319142766296,0.0002272604615427,0.0485772371292113,0.0187793253513518,0.0076812337152659,0.0018022018775809
4,ADP-DEN,pglib_opf_case14_ieee,1000,1500,544.0,0.0003118544111202636,1.9483096957206727,0.7772056341171265,0.12820672839879985,0.18937045931816096,0.055889971554279286,0.7772056341171265,0.23762216269969935,0.18937045931816096,0.08472834080457683,0.010246281325817081,0.0037356936372816203,0.0041403708048164,0.0015257958555593,0.0110177099704742,0.0024237740319221,0.0011290896276477,0.0002328939881408,0.0511959552764892,0.0188541156705468,0.0080780688906088,0.0016904157761018
5,ADP-DEN,pglib_opf_case14_ieee,1500,1500,288.0,7.075861940393224e-05,0.721592128276825,0.5641432642936707,0.12878037095069883,0.1640884697437286,0.05177284181118008,0.5641432642936707,0.16453132331371306,0.1640884697437286,0.05937733501195902,0.0072819478809833,0.0034527852199971202,0.0023626790614798,0.0010378114180639,0.022423069179058,0.0048547250218689,0.0017189719656016,0.0003859783217193,0.0228002071380614,0.0040334820281713,0.0032066859770565,0.0004423513310029
6,ADP-DEN,pglib_opf_case14_ieee,2000,1500,796.0,7.97224405687221e-05,0.7723300457000732,0.5716278493404389,0.13553023338317866,0.16421767026185988,0.054280446469783764,0.5716278493404389,0.179545484483242,0.16421767026185988,0.06773392558097834,0.0095821063034236,0.0038589039817452002,0.0033139734761789,0.0013457968714646,0.0181135147809981,0.0044277905486523,0.0016523418249561,0.0003594699388485,0.0250959634780883,0.0047913892194628,0.0042313071899115,0.0005271935544442
7,ADP-DEN,pglib_opf_case14_ieee,2500,1500,140.0,7.394277490675449e-05,0.7567827820777893,0.5586007237434387,0.09871978312730786,0.12349410504102702,0.0407565917819738,0.5586007237434387,0.16695578545331952,0.12349410504102702,0.06414190046489235,0.006393327564001019,0.00264809476211664,0.0023306393064558,0.0009556886507197,0.0213081777095794,0.0047806072514503,0.0014287258847616,0.0002992177585838,0.0215881347656249,0.0038626109220785,0.0036884310422464,0.0004310013850044
8,ADP-DEN,pglib_opf_case14_ieee,5000,1500,128.0,5.937554742558859e-05,0.5218617796897889,0.6220593869686126,0.10062927156686781,0.11945669054985045,0.03825716897845266,0.6220593869686126,0.15237432867288583,0.11945669054985045,0.05608765184879298,0.007308665104210341,0.0027692471863701397,0.0021978254895656,0.0008919498533941,0.0213551003485917,0.0045149604789912,0.0016373555292374,0.0003378702502231,0.0187445640563964,0.0030531730037182,0.002556650317274,0.0003478953381999
9,ADP-DEN,pglib_opf_case14_ieee,10000,1500,64.0,0.00019598028302424543,1.398859441280365,0.34077939689159387,0.07662588730454438,0.0959222465753555,0.0277061820030212,0.34077939689159387,0.08669609334319826,0.0959222465753555,0.03277279119938608,0.0038422525743953204,0.0014349769357067722,0.0009225506393704,0.0003510215108689,0.0153266608715057,0.0031557595822959,0.0007866370957344,0.0001615155488252,0.0143302202224731,0.0021714193710067,0.0019978695781901,0.0002404959421255
10,ADP-DEN,pglib_opf_case14_ieee,15000,1500,64.0,4.954714604537003e-05,0.4885501146316528,0.3883521229028702,0.08223587572574607,0.09253362119197837,0.0299951903522014,0.3883521229028702,0.08685977607965464,0.09253362119197837,0.03319737538695332,0.0037221670150756397,0.00149202955653886,0.0011701681884005,0.0004657840501749,0.0237915068864821,0.0050741201266645,0.0014575132168829,0.0003033084212802,0.0111224889755248,0.0020365493372082,0.0016284634475595,0.0002496355504262
11,ADP-DEN,pglib_opf_case14_ieee,20000,1500,60.0,4.655105803976767e-05,0.39921763539314264,0.21715282499790187,0.07521187290549274,0.089580725133419,0.028128946572542158,0.21715282499790187,0.0667144194245338,0.089580725133419,0.0233688592910766,0.0036682888865470402,0.00165403934661294,0.0011688503436743,0.0004773703578393,0.0240420877933501,0.0052960837259888,0.0013950261520221,0.0002927068155258,0.0132972955703734,0.0024086628342046,0.001564706431236,0.000249905703822
