[2026-05-19 18:25:06] Initialized ContinuousLogger for autoencoding_ae_alt_depth (Mode: ae_alt_depth)
[2026-05-19 18:25:06] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_000_d1_w1/training_log.txt
[2026-05-19 18:25:06] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_000_d1_w1/training_stats.csv
[2026-05-19 18:25:06] [CANDIDATE] task=autoencoding phase=ae_alt_depth index=0 search_phase=depth architecture=[1]
[2026-05-19 18:27:02] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=42 architecture=[1] train_loss=1.014447 val_loss=1.021038 best=1.021038 es=0/5
[2026-05-19 18:27:04] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=43 architecture=[1] train_loss=1.012298 val_loss=1.018957 best=1.018957 es=0/5
[2026-05-19 18:27:07] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=44 architecture=[1] train_loss=1.010259 val_loss=1.016997 best=1.016997 es=0/5
[2026-05-19 18:27:09] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=45 architecture=[1] train_loss=1.008342 val_loss=1.015146 best=1.015146 es=0/5
[2026-05-19 18:27:12] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=46 architecture=[1] train_loss=1.006533 val_loss=1.013398 best=1.013398 es=0/5
[2026-05-19 18:27:15] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=47 architecture=[1] train_loss=1.004821 val_loss=1.011750 best=1.011750 es=0/5
[2026-05-19 18:27:18] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=48 architecture=[1] train_loss=1.003212 val_loss=1.010200 best=1.010200 es=0/5
[2026-05-19 18:27:20] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=49 architecture=[1] train_loss=1.001695 val_loss=1.008736 best=1.008736 es=0/5
[2026-05-19 18:27:23] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=50 architecture=[1] train_loss=1.000262 val_loss=1.007355 best=1.007355 es=0/5
[2026-05-19 18:27:25] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=51 architecture=[1] train_loss=0.998913 val_loss=1.006054 best=1.006054 es=0/5
[2026-05-19 18:27:28] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=52 architecture=[1] train_loss=0.997643 val_loss=1.004825 best=1.004825 es=0/5
[2026-05-19 18:27:30] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=53 architecture=[1] train_loss=0.996442 val_loss=1.003670 best=1.003670 es=0/5
[2026-05-19 18:27:33] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=54 architecture=[1] train_loss=0.995315 val_loss=1.002579 best=1.002579 es=0/5
[2026-05-19 18:27:35] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=55 architecture=[1] train_loss=0.994247 val_loss=1.001549 best=1.001549 es=0/5
[2026-05-19 18:27:38] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=56 architecture=[1] train_loss=0.993238 val_loss=1.000579 best=1.000579 es=0/5
[2026-05-19 18:27:41] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=57 architecture=[1] train_loss=0.992288 val_loss=0.999664 best=0.999664 es=0/5
[2026-05-19 18:27:44] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=58 architecture=[1] train_loss=0.991390 val_loss=0.998795 best=0.998795 es=0/5
[2026-05-19 18:27:46] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=59 architecture=[1] train_loss=0.990542 val_loss=0.997976 best=0.997976 es=0/5
[2026-05-19 18:27:49] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=60 architecture=[1] train_loss=0.989739 val_loss=0.997201 best=0.997201 es=0/5
[2026-05-19 18:27:51] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=61 architecture=[1] train_loss=0.988977 val_loss=0.996463 best=0.996463 es=0/5
[2026-05-19 18:27:54] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=62 architecture=[1] train_loss=0.988254 val_loss=0.995764 best=0.995764 es=0/5
[2026-05-19 18:27:57] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=63 architecture=[1] train_loss=0.987574 val_loss=0.995102 best=0.995102 es=0/5
[2026-05-19 18:27:59] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=64 architecture=[1] train_loss=0.986918 val_loss=0.994474 best=0.994474 es=0/5
[2026-05-19 18:28:02] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=65 architecture=[1] train_loss=0.986300 val_loss=0.993878 best=0.993878 es=0/5
[2026-05-19 18:28:04] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=66 architecture=[1] train_loss=0.985708 val_loss=0.993301 best=0.993301 es=0/5
[2026-05-19 18:28:07] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=67 architecture=[1] train_loss=0.985145 val_loss=0.992752 best=0.992752 es=0/5
[2026-05-19 18:28:10] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=68 architecture=[1] train_loss=0.984601 val_loss=0.992226 best=0.992226 es=0/5
[2026-05-19 18:28:12] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=69 architecture=[1] train_loss=0.984080 val_loss=0.991720 best=0.991720 es=0/5
[2026-05-19 18:28:15] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=70 architecture=[1] train_loss=0.983581 val_loss=0.991229 best=0.991229 es=0/5
[2026-05-19 18:28:18] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=71 architecture=[1] train_loss=0.983097 val_loss=0.990758 best=0.990758 es=0/5
[2026-05-19 18:28:20] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=72 architecture=[1] train_loss=0.982623 val_loss=0.990300 best=0.990300 es=0/5
[2026-05-19 18:28:23] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=73 architecture=[1] train_loss=0.982169 val_loss=0.989853 best=0.989853 es=0/5
[2026-05-19 18:28:25] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=74 architecture=[1] train_loss=0.981722 val_loss=0.989416 best=0.989416 es=0/5
[2026-05-19 18:28:28] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=75 architecture=[1] train_loss=0.981286 val_loss=0.988990 best=0.988990 es=0/5
[2026-05-19 18:28:30] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=76 architecture=[1] train_loss=0.980856 val_loss=0.988570 best=0.988570 es=0/5
[2026-05-19 18:28:32] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=77 architecture=[1] train_loss=0.980433 val_loss=0.988152 best=0.988152 es=0/5
[2026-05-19 18:28:35] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=78 architecture=[1] train_loss=0.980012 val_loss=0.987741 best=0.987741 es=0/5
[2026-05-19 18:28:37] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=79 architecture=[1] train_loss=0.979597 val_loss=0.987329 best=0.987329 es=0/5
[2026-05-19 18:28:39] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=80 architecture=[1] train_loss=0.979182 val_loss=0.986921 best=0.986921 es=0/5
[2026-05-19 18:28:41] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=81 architecture=[1] train_loss=0.978764 val_loss=0.986509 best=0.986509 es=0/5
[2026-05-19 18:28:43] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=82 architecture=[1] train_loss=0.978345 val_loss=0.986096 best=0.986096 es=0/5
[2026-05-19 18:28:46] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=83 architecture=[1] train_loss=0.977928 val_loss=0.985682 best=0.985682 es=0/5
[2026-05-19 18:28:48] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=84 architecture=[1] train_loss=0.977503 val_loss=0.985256 best=0.985256 es=0/5
[2026-05-19 18:28:50] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=85 architecture=[1] train_loss=0.977070 val_loss=0.984831 best=0.984831 es=0/5
[2026-05-19 18:28:53] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=86 architecture=[1] train_loss=0.976638 val_loss=0.984399 best=0.984399 es=0/5
[2026-05-19 18:28:55] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=87 architecture=[1] train_loss=0.976193 val_loss=0.983959 best=0.983959 es=0/5
[2026-05-19 18:28:57] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=88 architecture=[1] train_loss=0.975742 val_loss=0.983511 best=0.983511 es=0/5
[2026-05-19 18:29:00] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=89 architecture=[1] train_loss=0.975284 val_loss=0.983058 best=0.983058 es=0/5
[2026-05-19 18:29:02] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=90 architecture=[1] train_loss=0.974817 val_loss=0.982592 best=0.982592 es=0/5
[2026-05-19 18:29:04] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=91 architecture=[1] train_loss=0.974336 val_loss=0.982120 best=0.982120 es=0/5
[2026-05-19 18:29:06] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=92 architecture=[1] train_loss=0.973848 val_loss=0.981636 best=0.981636 es=0/5
[2026-05-19 18:29:09] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=93 architecture=[1] train_loss=0.973349 val_loss=0.981140 best=0.981140 es=0/5
[2026-05-19 18:29:11] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=94 architecture=[1] train_loss=0.972841 val_loss=0.980639 best=0.980639 es=0/5
[2026-05-19 18:29:13] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=95 architecture=[1] train_loss=0.972320 val_loss=0.980124 best=0.980124 es=0/5
[2026-05-19 18:29:15] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=96 architecture=[1] train_loss=0.971789 val_loss=0.979599 best=0.979599 es=0/5
[2026-05-19 18:29:18] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=97 architecture=[1] train_loss=0.971250 val_loss=0.979063 best=0.979063 es=0/5
[2026-05-19 18:29:20] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=98 architecture=[1] train_loss=0.970695 val_loss=0.978520 best=0.978520 es=0/5
[2026-05-19 18:29:22] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=99 architecture=[1] train_loss=0.970136 val_loss=0.977966 best=0.977966 es=0/5
[2026-05-19 18:29:24] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=100 architecture=[1] train_loss=0.969565 val_loss=0.977406 best=0.977406 es=0/5
[2026-05-19 18:29:27] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=101 architecture=[1] train_loss=0.968984 val_loss=0.976837 best=0.976837 es=0/5
[2026-05-19 18:29:29] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=102 architecture=[1] train_loss=0.968398 val_loss=0.976257 best=0.976257 es=0/5
[2026-05-19 18:29:31] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=103 architecture=[1] train_loss=0.967804 val_loss=0.975673 best=0.975673 es=0/5
[2026-05-19 18:29:33] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=104 architecture=[1] train_loss=0.967201 val_loss=0.975080 best=0.975080 es=0/5
