[2026-06-15 08:20:30] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-15 08:20:30] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_606_d6_w116/training_log.txt
[2026-06-15 08:20:30] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_606_d6_w116/training_stats.csv
[2026-06-15 08:20:30] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.010332 val_loss=0.004892 best=0.004892 es=0/10
[2026-06-15 08:20:30] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.006621 val_loss=0.005835 best=0.005835 es=0/10
[2026-06-15 08:20:31] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.005888 val_loss=0.006374 best=0.006374 es=0/10
[2026-06-15 08:20:31] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.002720 val_loss=0.008030 best=0.008030 es=0/10
[2026-06-15 08:20:31] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.002662 val_loss=0.009801 best=0.009801 es=0/10
[2026-06-15 08:20:31] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.002508 val_loss=0.009290 best=0.009290 es=0/10
[2026-06-15 08:20:32] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.003210 val_loss=0.009393 best=0.009393 es=0/10
[2026-06-15 08:20:32] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.004406 val_loss=0.010063 best=0.010063 es=0/10
[2026-06-15 08:20:32] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.002567 val_loss=0.006427 best=0.006427 es=0/10
[2026-06-15 08:20:32] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.001031 val_loss=0.007064 best=0.007064 es=0/10
[2026-06-15 08:20:33] Epoch 1 | architecture=[116, 116, 116, 116, 116, 27] train_loss=0.002349 val_loss=0.005569 best=0.005569 es=0/10
