[2026-05-20 07:58:15] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 07:58:15] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_002_d1_w3/training_log.txt
[2026-05-20 07:58:15] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_002_d1_w3/training_stats.csv
[2026-05-20 07:58:15] [CANDIDATE] task=autoencoding phase=ae_alt_width index=2 search_phase=width architecture=[3]
[2026-05-20 07:58:17] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=1 architecture=[3] train_loss=0.949489 val_loss=0.937524 best=0.907880 es=0/5
[2026-05-20 07:58:19] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=2 architecture=[3] train_loss=0.927468 val_loss=0.927401 best=0.907880 es=0/5
[2026-05-20 07:58:21] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=3 architecture=[3] train_loss=0.913786 val_loss=0.917836 best=0.907880 es=0/5
[2026-05-20 07:58:23] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=4 architecture=[3] train_loss=0.905997 val_loss=0.911838 best=0.907880 es=0/5
[2026-05-20 07:58:26] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=5 architecture=[3] train_loss=0.901467 val_loss=0.908162 best=0.907880 es=0/5
[2026-05-20 07:58:28] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=6 architecture=[3] train_loss=0.898547 val_loss=0.905724 best=0.905724 es=0/5
[2026-05-20 07:58:30] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=7 architecture=[3] train_loss=0.896513 val_loss=0.903975 best=0.903975 es=0/5
[2026-05-20 07:58:32] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=8 architecture=[3] train_loss=0.894993 val_loss=0.902644 best=0.902644 es=0/5
[2026-05-20 07:58:34] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=9 architecture=[3] train_loss=0.893802 val_loss=0.901583 best=0.901583 es=0/5
[2026-05-20 07:58:37] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=10 architecture=[3] train_loss=0.892852 val_loss=0.900713 best=0.900713 es=0/5
[2026-05-20 07:58:39] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=11 architecture=[3] train_loss=0.892055 val_loss=0.899963 best=0.899963 es=0/5
[2026-05-20 07:58:41] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=12 architecture=[3] train_loss=0.891345 val_loss=0.899286 best=0.899286 es=0/5
[2026-05-20 07:58:43] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=13 architecture=[3] train_loss=0.890705 val_loss=0.898657 best=0.898657 es=0/5
[2026-05-20 07:58:45] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=14 architecture=[3] train_loss=0.890118 val_loss=0.898111 best=0.898111 es=0/5
[2026-05-20 07:58:48] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=15 architecture=[3] train_loss=0.889569 val_loss=0.897571 best=0.897571 es=0/5
[2026-05-20 07:58:50] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=16 architecture=[3] train_loss=0.889039 val_loss=0.897032 best=0.897032 es=0/5
[2026-05-20 07:58:52] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=17 architecture=[3] train_loss=0.888492 val_loss=0.896449 best=0.896449 es=0/5
[2026-05-20 07:58:54] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=18 architecture=[3] train_loss=0.887866 val_loss=0.895798 best=0.895798 es=0/5
[2026-05-20 07:58:56] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=19 architecture=[3] train_loss=0.887216 val_loss=0.895206 best=0.895206 es=0/5
[2026-05-20 07:58:58] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=20 architecture=[3] train_loss=0.886655 val_loss=0.894668 best=0.894668 es=0/5
[2026-05-20 07:59:00] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=21 architecture=[3] train_loss=0.886131 val_loss=0.894153 best=0.894153 es=0/5
[2026-05-20 07:59:03] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=22 architecture=[3] train_loss=0.885632 val_loss=0.893663 best=0.893663 es=0/5
[2026-05-20 07:59:05] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=23 architecture=[3] train_loss=0.885151 val_loss=0.893176 best=0.893176 es=0/5
[2026-05-20 07:59:07] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=24 architecture=[3] train_loss=0.884669 val_loss=0.892708 best=0.892708 es=0/5
[2026-05-20 07:59:09] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=25 architecture=[3] train_loss=0.884202 val_loss=0.892242 best=0.892242 es=0/5
[2026-05-20 07:59:12] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=26 architecture=[3] train_loss=0.883734 val_loss=0.891773 best=0.891773 es=0/5
[2026-05-20 07:59:14] [autoencoding][ae_alt_width][cand_002_d1_w3] epoch=27 architecture=[3] train_loss=0.883274 val_loss=0.891335 best=0.891335 es=0/5
