[2026-05-18 02:47:01] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:47:01] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_150_d1_w151/training_log.txt
[2026-05-18 02:47:01] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_150_d1_w151/training_stats.csv
[2026-05-18 02:47:01] [CANDIDATE] task=representation phase=ae_alt_width index=150 search_phase=width architecture=[151]
[2026-05-18 02:47:08] [representation][ae_alt_width][cand_150_d1_w151] epoch=1 architecture=[151] train_loss=0.339177 val_loss=0.325864 best=0.321877 es=0/5
[2026-05-18 02:47:10] [representation][ae_alt_width][cand_150_d1_w151] epoch=2 architecture=[151] train_loss=0.320916 val_loss=0.322945 best=0.321877 es=0/5
[2026-05-18 02:47:13] [representation][ae_alt_width][cand_150_d1_w151] epoch=3 architecture=[151] train_loss=0.318084 val_loss=0.324839 best=0.321877 es=1/5
[2026-05-18 02:47:15] [representation][ae_alt_width][cand_150_d1_w151] epoch=4 architecture=[151] train_loss=0.318392 val_loss=0.324910 best=0.321877 es=2/5
[2026-05-18 02:47:21] [representation][ae_alt_width][cand_150_d1_w151] epoch=5 architecture=[151] train_loss=0.317929 val_loss=0.323660 best=0.321877 es=3/5
[2026-05-18 02:47:24] [representation][ae_alt_width][cand_150_d1_w151] epoch=6 architecture=[151] train_loss=0.317249 val_loss=0.322162 best=0.321877 es=0/5
[2026-05-18 02:47:26] [representation][ae_alt_width][cand_150_d1_w151] epoch=7 architecture=[151] train_loss=0.317274 val_loss=0.322911 best=0.321877 es=1/5
[2026-05-18 02:47:28] [representation][ae_alt_width][cand_150_d1_w151] epoch=8 architecture=[151] train_loss=0.318542 val_loss=0.323537 best=0.321877 es=2/5
[2026-05-18 02:47:31] [representation][ae_alt_width][cand_150_d1_w151] epoch=9 architecture=[151] train_loss=0.317103 val_loss=0.320942 best=0.320942 es=0/5
[2026-05-18 02:47:37] [representation][ae_alt_width][cand_150_d1_w151] epoch=10 architecture=[151] train_loss=0.316523 val_loss=0.324287 best=0.320942 es=1/5
[2026-05-18 02:47:40] [representation][ae_alt_width][cand_150_d1_w151] epoch=11 architecture=[151] train_loss=0.317100 val_loss=0.321571 best=0.320942 es=2/5
[2026-05-18 02:47:42] [representation][ae_alt_width][cand_150_d1_w151] epoch=12 architecture=[151] train_loss=0.316144 val_loss=0.324923 best=0.320942 es=3/5
[2026-05-18 02:47:44] [representation][ae_alt_width][cand_150_d1_w151] epoch=13 architecture=[151] train_loss=0.318383 val_loss=0.321756 best=0.320942 es=4/5
[2026-05-18 02:47:47] [representation][ae_alt_width][cand_150_d1_w151] epoch=14 architecture=[151] train_loss=0.317055 val_loss=0.322682 best=0.320942 es=5/5
