[2026-05-18 01:38:21] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 01:38:21] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_056_d1_w57/training_log.txt
[2026-05-18 01:38:21] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_056_d1_w57/training_stats.csv
[2026-05-18 01:38:21] [CANDIDATE] task=representation phase=ae_alt_width index=56 search_phase=width architecture=[57]
[2026-05-18 01:38:25] [representation][ae_alt_width][cand_056_d1_w57] epoch=1 architecture=[57] train_loss=0.415059 val_loss=0.413070 best=0.410625 es=0/5
[2026-05-18 01:38:28] [representation][ae_alt_width][cand_056_d1_w57] epoch=2 architecture=[57] train_loss=0.409544 val_loss=0.412395 best=0.410625 es=0/5
[2026-05-18 01:38:30] [representation][ae_alt_width][cand_056_d1_w57] epoch=3 architecture=[57] train_loss=0.408627 val_loss=0.411542 best=0.410625 es=0/5
[2026-05-18 01:38:32] [representation][ae_alt_width][cand_056_d1_w57] epoch=4 architecture=[57] train_loss=0.408437 val_loss=0.410999 best=0.410625 es=0/5
[2026-05-18 01:38:37] [representation][ae_alt_width][cand_056_d1_w57] epoch=5 architecture=[57] train_loss=0.408484 val_loss=0.410152 best=0.410152 es=0/5
[2026-05-18 01:38:39] [representation][ae_alt_width][cand_056_d1_w57] epoch=6 architecture=[57] train_loss=0.407647 val_loss=0.409673 best=0.409673 es=0/5
[2026-05-18 01:38:41] [representation][ae_alt_width][cand_056_d1_w57] epoch=7 architecture=[57] train_loss=0.407912 val_loss=0.411179 best=0.409673 es=1/5
[2026-05-18 01:38:43] [representation][ae_alt_width][cand_056_d1_w57] epoch=8 architecture=[57] train_loss=0.407803 val_loss=0.410563 best=0.409673 es=2/5
[2026-05-18 01:38:45] [representation][ae_alt_width][cand_056_d1_w57] epoch=9 architecture=[57] train_loss=0.407093 val_loss=0.410178 best=0.409673 es=3/5
[2026-05-18 01:38:50] [representation][ae_alt_width][cand_056_d1_w57] epoch=10 architecture=[57] train_loss=0.407330 val_loss=0.409930 best=0.409673 es=4/5
[2026-05-18 01:38:52] [representation][ae_alt_width][cand_056_d1_w57] epoch=11 architecture=[57] train_loss=0.407604 val_loss=0.410220 best=0.409673 es=5/5
