timestamp,model,mode,epoch,width,depth,train_loss,val_loss,neurons,train_acc,val_acc,best_val,es_counter,improved,grid
2025-12-19 21:01:57,mlp_cls_stl,grid,1,16,2,1.3807892332783451,0.9408402512868246,42,0.7722222222222223,0.8778333333333334,0.9408402512868246,0,True,True
2025-12-19 21:02:15,mlp_cls_stl,grid,2,16,2,0.6980595784099014,0.5248615554173788,42,0.8975,0.909,0.5248615554173788,0,True,True
2025-12-19 21:02:35,mlp_cls_stl,grid,3,16,2,0.43044101240016797,0.3716442766189575,42,0.917537037037037,0.9173333333333333,0.3716442766189575,0,True,True
2025-12-19 21:02:51,mlp_cls_stl,grid,4,16,2,0.3215933270719316,0.29847860932350156,42,0.9286481481481481,0.9238333333333333,0.29847860932350156,0,True,True
2025-12-19 21:03:06,mlp_cls_stl,grid,5,16,2,0.26043105302033603,0.25474773756663005,42,0.9375,0.933,0.25474773756663005,0,True,True
2025-12-19 21:03:19,mlp_cls_stl,grid,6,16,2,0.2223557889196608,0.22269135121504466,42,0.9443888888888889,0.9393333333333334,0.22269135121504466,0,True,True
2025-12-19 21:03:39,mlp_cls_stl,grid,7,16,2,0.1974498268807376,0.20829403281211853,42,0.9479814814814815,0.9405,0.20829403281211853,0,True,True
2025-12-19 21:03:54,mlp_cls_stl,grid,8,16,2,0.18065731591648526,0.19517133740584056,42,0.9512777777777778,0.9446666666666667,0.19517133740584056,0,True,True
2025-12-19 21:04:08,mlp_cls_stl,grid,9,16,2,0.16732265284326342,0.18509862367312113,42,0.9534259259259259,0.9458333333333333,0.18509862367312113,0,True,True
2025-12-19 21:04:23,mlp_cls_stl,grid,10,16,2,0.156479952233809,0.1804887984196345,42,0.9573888888888888,0.9453333333333334,0.1804887984196345,0,True,True
2025-12-19 21:04:40,mlp_cls_stl,grid,11,16,2,0.14712681805645977,0.17582208494345347,42,0.9586296296296296,0.9481666666666667,0.17582208494345347,0,True,True
2025-12-19 21:04:54,mlp_cls_stl,grid,12,16,2,0.14050045663780636,0.1763909717798233,42,0.9598518518518518,0.9456666666666667,0.17582208494345347,1,False,True
2025-12-19 21:05:06,mlp_cls_stl,grid,13,16,2,0.13454464770025676,0.17821923859914143,42,0.9619074074074074,0.945,0.17582208494345347,2,False,True
2025-12-19 21:05:22,mlp_cls_stl,grid,14,16,2,0.12944666400220659,0.16901219348112742,42,0.9628518518518518,0.948,0.16901219348112742,0,True,True
2025-12-19 21:05:36,mlp_cls_stl,grid,15,16,2,0.12481324172019959,0.17172775936126708,42,0.9639444444444445,0.9478333333333333,0.16901219348112742,1,False,True
2025-12-19 21:05:51,mlp_cls_stl,grid,16,16,2,0.12031599438631976,0.16214976127942404,42,0.964462962962963,0.951,0.16214976127942404,0,True,True
2025-12-19 21:06:05,mlp_cls_stl,grid,17,16,2,0.11571972904823445,0.1778996884425481,42,0.9658148148148148,0.9445,0.16214976127942404,1,False,True
2025-12-19 21:06:18,mlp_cls_stl,grid,18,16,2,0.11305791339057464,0.16204653636614483,42,0.9664814814814815,0.9515,0.16204653636614483,0,True,True
2025-12-19 21:06:29,mlp_cls_stl,grid,19,16,2,0.10974859881401063,0.16590448506673178,42,0.9678703703703704,0.9488333333333333,0.16204653636614483,1,False,True
2025-12-19 21:06:38,mlp_cls_stl,grid,20,16,2,0.10863464507791731,0.16801310205459594,42,0.968,0.949,0.16204653636614483,2,False,True
2025-12-19 21:06:48,mlp_cls_stl,grid,21,16,2,0.10544497087045952,0.15778228330612182,42,0.9683703703703703,0.9516666666666667,0.15778228330612182,0,True,True
2025-12-19 21:06:57,mlp_cls_stl,grid,22,16,2,0.10257592680277648,0.16822256143887837,42,0.9691481481481482,0.949,0.15778228330612182,1,False,True
2025-12-19 21:07:07,mlp_cls_stl,grid,23,16,2,0.0995270539301413,0.16406894262631735,42,0.9696296296296296,0.9513333333333334,0.15778228330612182,2,False,True
2025-12-19 21:07:16,mlp_cls_stl,grid,24,16,2,0.09831720924818957,0.16067916254202524,42,0.9699629629629629,0.9518333333333333,0.15778228330612182,3,False,True
2025-12-19 21:07:26,mlp_cls_stl,grid,25,16,2,0.09438367312705075,0.1650964694619179,42,0.9719074074074074,0.949,0.15778228330612182,4,False,True
2025-12-19 21:07:35,mlp_cls_stl,grid,26,16,2,0.09297435068863409,0.16606418601671855,42,0.9720740740740741,0.9485,0.15778228330612182,5,False,True
2025-12-19 21:07:45,mlp_cls_stl,grid,27,16,2,0.09224638697615377,0.16381087426344554,42,0.972,0.9511666666666667,0.15778228330612182,6,False,True
2025-12-19 21:07:55,mlp_cls_stl,grid,28,16,2,0.0903258827008583,0.15941410092512767,42,0.9725370370370371,0.949,0.15778228330612182,7,False,True
2025-12-19 21:08:05,mlp_cls_stl,grid,29,16,2,0.08839595762005559,0.16613676289717355,42,0.9734259259259259,0.9481666666666667,0.15778228330612182,8,False,True
2025-12-19 21:08:14,mlp_cls_stl,grid,30,16,2,0.0871910327275594,0.16478881698846817,42,0.9733148148148149,0.951,0.15778228330612182,9,False,True
2025-12-19 21:08:24,mlp_cls_stl,grid,31,16,2,0.08723949601032116,0.16737830793857575,42,0.9734814814814815,0.9496666666666667,0.15778228330612182,10,False,True
